,Title,Type,Release Year,Rating,Seasons,Genres,Vote Average
235,Teen Titans,SHOW,2003,TV-Y7,5.0,"['action', 'animation', 'comedy', 'family', 'fantasy', 'scifi', 'thriller']",8.3
236,Justice League Unlimited,SHOW,2004,TV-Y7,3.0,"['action', 'animation', 'family', 'fantasy', 'scifi']",8.296
237,Justice League Unlimited,SHOW,2004,TV-Y7,3.0,"['action', 'animation', 'family', 'fantasy', 'scifi']",8.296
238,Justice League Unlimited,SHOW,2004,TV-Y7,3.0,"['action', 'animation', 'family', 'fantasy', 'scifi']",8.296
239,Justice League Unlimited,SHOW,2004,TV-Y7,3.0,"['action', 'animation', 'family', 'fantasy', 'scifi']",8.296
240,Justice League Unlimited,SHOW,2004,TV-Y7,3.0,"['action', 'animation', 'family', 'fantasy', 'scifi']",8.296
241,The West Wing,SHOW,1999,TV-14,7.0,['drama'],8.292
242,True Detective,SHOW,2014,TV-MA,4.0,"['drama', 'crime', 'thriller']",8.289
243,True Detective,SHOW,2014,TV-MA,4.0,"['drama', 'crime', 'thriller']",8.289
244,True Detective,SHOW,2014,TV-MA,4.0,"['drama', 'crime', 'thriller']",8.289
245,Katy Keene,SHOW,2020,TV-14,1.0,"['comedy', 'drama']",8.287
246,Katy Keene,SHOW,2020,TV-14,1.0,"['comedy', 'drama']",8.287
247,Rome,SHOW,2005,TV-MA,2.0,"['action', 'drama', 'romance', 'war', 'history', 'european']",8.28
248,Rome,SHOW,2005,TV-MA,2.0,"['action', 'drama', 'romance', 'war', 'history', 'european']",8.28
249,Rome,SHOW,2005,TV-MA,2.0,"['action', 'drama', 'romance', 'war', 'history', 'european']",8.28
250,Rome,SHOW,2005,TV-MA,2.0,"['action', 'drama', 'romance', 'war', 'history', 'european']",8.28
251,Rome,SHOW,2005,TV-MA,2.0,"['action', 'drama', 'romance', 'war', 'history', 'european']",8.28
252,Rome,SHOW,2005,TV-MA,2.0,"['action', 'drama', 'romance', 'war', 'history', 'european']",8.28
253,Chowder,SHOW,2007,TV-Y7,4.0,"['animation', 'comedy', 'family', 'fantasy']",8.279
254,Chowder,SHOW,2007,TV-Y7,4.0,"['animation', 'comedy', 'family', 'fantasy']",8.279
255,Chowder,SHOW,2007,TV-Y7,4.0,"['animation', 'comedy', 'family', 'fantasy']",8.279
256,Chowder,SHOW,2007,TV-Y7,4.0,"['animation', 'comedy', 'family', 'fantasy']",8.279
257,Mare of Easttown,SHOW,2021,TV-MA,1.0,"['crime', 'drama']",8.268
258,Mare of Easttown,SHOW,2021,TV-MA,1.0,"['crime', 'drama']",8.268
259,"The Way Down: God, Greed, and the Cult of Gwen Shamblin",SHOW,2021,TV-MA,2.0,['documentation'],8.25
260,Capadocia,SHOW,2008,TV-MA,3.0,['drama'],8.244
261,To Your Eternity,SHOW,2021,TV-MA,2.0,"['action', 'animation', 'drama', 'fantasy']",8.244
262,To Your Eternity,SHOW,2021,TV-MA,2.0,"['action', 'animation', 'drama', 'fantasy']",8.244
263,To Your Eternity,SHOW,2021,TV-MA,2.0,"['action', 'animation', 'drama', 'fantasy']",8.244
264,To Your Eternity,SHOW,2021,TV-MA,2.0,"['action', 'animation', 'drama', 'fantasy']",8.244
265,Scooby-Doo! Mystery Incorporated,SHOW,2010,TV-PG,4.0,"['animation', 'horror', 'drama', 'thriller', 'comedy', 'crime', 'action', 'family', 'fantasy']",8.218
266,Scooby-Doo! Mystery Incorporated,SHOW,2010,TV-PG,4.0,"['animation', 'horror', 'drama', 'thriller', 'comedy', 'crime', 'action', 'family', 'fantasy']",8.218
267,Scooby-Doo! Mystery Incorporated,SHOW,2010,TV-PG,4.0,"['animation', 'horror', 'drama', 'thriller', 'comedy', 'crime', 'action', 'family', 'fantasy']",8.218
268,Scooby-Doo! Mystery Incorporated,SHOW,2010,TV-PG,4.0,"['animation', 'horror', 'drama', 'thriller', 'comedy', 'crime', 'action', 'family', 'fantasy']",8.218
269,Scooby-Doo! Mystery Incorporated,SHOW,2010,TV-PG,4.0,"['animation', 'horror', 'drama', 'thriller', 'comedy', 'crime', 'action', 'family', 'fantasy']",8.218
270,Scooby-Doo! Mystery Incorporated,SHOW,2010,TV-PG,4.0,"['animation', 'horror', 'drama', 'thriller', 'comedy', 'crime', 'action', 'family', 'fantasy']",8.218
271,Scooby-Doo! Mystery Incorporated,SHOW,2010,TV-PG,4.0,"['animation', 'horror', 'drama', 'thriller', 'comedy', 'crime', 'action', 'family', 'fantasy']",8.218
272,Scooby-Doo! Mystery Incorporated,SHOW,2010,TV-PG,4.0,"['animation', 'horror', 'drama', 'thriller', 'comedy', 'crime', 'action', 'family', 'fantasy']",8.218
273,Scooby-Doo! Mystery Incorporated,SHOW,2010,TV-PG,4.0,"['animation', 'horror', 'drama', 'thriller', 'comedy', 'crime', 'action', 'family', 'fantasy']",8.218
274,Tacoma FD,SHOW,2019,TV-14,3.0,['comedy'],8.216
275,Codename: Kids Next Door,SHOW,2002,TV-Y7,6.0,"['animation', 'action', 'comedy', 'family', 'scifi']",8.204
276,Codename: Kids Next Door,SHOW,2002,TV-Y7,6.0,"['animation', 'action', 'comedy', 'family', 'scifi']",8.204
277,Codename: Kids Next Door,SHOW,2002,TV-Y7,6.0,"['animation', 'action', 'comedy', 'family', 'scifi']",8.204
278,Codename: Kids Next Door,SHOW,2002,TV-Y7,6.0,"['animation', 'action', 'comedy', 'family', 'scifi']",8.204
279,Codename: Kids Next Door,SHOW,2002,TV-Y7,6.0,"['animation', 'action', 'comedy', 'family', 'scifi']",8.204
280,Ben 10: Omniverse,SHOW,2012,TV-Y7,8.0,"['action', 'scifi', 'family', 'animation', 'comedy']",8.202
281,Ben 10: Omniverse,SHOW,2012,TV-Y7,8.0,"['action', 'scifi', 'family', 'animation', 'comedy']",8.202
282,Ben 10: Omniverse,SHOW,2012,TV-Y7,8.0,"['action', 'scifi', 'family', 'animation', 'comedy']",8.202
283,Ben 10: Omniverse,SHOW,2012,TV-Y7,8.0,"['action', 'scifi', 'family', 'animation', 'comedy']",8.202
284,Ben 10: Omniverse,SHOW,2012,TV-Y7,8.0,"['action', 'scifi', 'family', 'animation', 'comedy']",8.202
285,The Shop: Uninterrupted,SHOW,2018,TV-PG,5.0,"['comedy', 'documentation']",8.2
286,The Shop: Uninterrupted,SHOW,2018,TV-PG,5.0,"['comedy', 'documentation']",8.2
287,Bob Hearts Abishola,SHOW,2019,TV-PG,5.0,"['romance', 'comedy']",8.2
288,Bob Hearts Abishola,SHOW,2019,TV-PG,5.0,"['romance', 'comedy']",8.2
289,Nuclear Family,SHOW,2016,TV-MA,1.0,['documentation'],8.2
290,Property Brothers: Forever Home,SHOW,2019,TV-G,7.0,['reality'],8.2
291,Las Bravas F.C.,SHOW,2022,TV-MA,1.0,"['comedy', 'action', 'sport']",8.2
292,Las Bravas F.C.,SHOW,2022,TV-MA,1.0,"['comedy', 'action', 'sport']",8.2
293,Las Bravas F.C.,SHOW,2022,TV-MA,1.0,"['comedy', 'action', 'sport']",8.2
294,Ben 10: Ultimate Alien,SHOW,2010,TV-Y7,3.0,"['scifi', 'family', 'animation', 'action']",8.2
295,Ben 10: Ultimate Alien,SHOW,2010,TV-Y7,3.0,"['scifi', 'family', 'animation', 'action']",8.2
296,Ben 10: Ultimate Alien,SHOW,2010,TV-Y7,3.0,"['scifi', 'family', 'animation', 'action']",8.2
297,Ben 10: Ultimate Alien,SHOW,2010,TV-Y7,3.0,"['scifi', 'family', 'animation', 'action']",8.2
298,Succession,SHOW,2018,TV-MA,4.0,"['drama', 'reality']",8.2
299,Succession,SHOW,2018,TV-MA,4.0,"['drama', 'reality']",8.2
300,Painting With John,SHOW,2021,TV-MA,2.0,"['documentation', 'comedy', 'reality']",8.2
301,Painting With John,SHOW,2021,TV-MA,2.0,"['documentation', 'comedy', 'reality']",8.2
302,Painting With John,SHOW,2021,TV-MA,2.0,"['documentation', 'comedy', 'reality']",8.2
303,Mr. Pickles,SHOW,2014,TV-MA,4.0,"['animation', 'comedy', 'horror']",8.2
304,Mr. Pickles,SHOW,2014,TV-MA,4.0,"['animation', 'comedy', 'horror']",8.2
305,Mr. Pickles,SHOW,2014,TV-MA,4.0,"['animation', 'comedy', 'horror']",8.2
306,How To with John Wilson,SHOW,2020,TV-MA,2.0,"['documentation', 'comedy']",8.2
307,How To with John Wilson,SHOW,2020,TV-MA,2.0,"['documentation', 'comedy']",8.2
308,Steven Universe Future,SHOW,2019,TV-PG,1.0,"['fantasy', 'scifi', 'comedy', 'drama', 'family', 'action', 'animation']",8.181
309,Steven Universe Future,SHOW,2019,TV-PG,1.0,"['fantasy', 'scifi', 'comedy', 'drama', 'family', 'action', 'animation']",8.181
310,Steven Universe Future,SHOW,2019,TV-PG,1.0,"['fantasy', 'scifi', 'comedy', 'drama', 'family', 'action', 'animation']",8.181
311,Steven Universe Future,SHOW,2019,TV-PG,1.0,"['fantasy', 'scifi', 'comedy', 'drama', 'family', 'action', 'animation']",8.181
312,Steven Universe Future,SHOW,2019,TV-PG,1.0,"['fantasy', 'scifi', 'comedy', 'drama', 'family', 'action', 'animation']",8.181
313,Steven Universe Future,SHOW,2019,TV-PG,1.0,"['fantasy', 'scifi', 'comedy', 'drama', 'family', 'action', 'animation']",8.181
314,Steven Universe Future,SHOW,2019,TV-PG,1.0,"['fantasy', 'scifi', 'comedy', 'drama', 'family', 'action', 'animation']",8.181
315,Courage the Cowardly Dog,SHOW,1999,TV-Y7,4.0,"['scifi', 'comedy', 'horror', 'animation', 'family', 'fantasy']",8.169
316,Courage the Cowardly Dog,SHOW,1999,TV-Y7,4.0,"['scifi', 'comedy', 'horror', 'animation', 'family', 'fantasy']",8.169
317,Courage the Cowardly Dog,SHOW,1999,TV-Y7,4.0,"['scifi', 'comedy', 'horror', 'animation', 'family', 'fantasy']",8.169
318,Courage the Cowardly Dog,SHOW,1999,TV-Y7,4.0,"['scifi', 'comedy', 'horror', 'animation', 'family', 'fantasy']",8.169
319,Courage the Cowardly Dog,SHOW,1999,TV-Y7,4.0,"['scifi', 'comedy', 'horror', 'animation', 'family', 'fantasy']",8.169
320,Courage the Cowardly Dog,SHOW,1999,TV-Y7,4.0,"['scifi', 'comedy', 'horror', 'animation', 'family', 'fantasy']",8.169
321,Batman Beyond,SHOW,1999,TV-Y7,3.0,"['action', 'scifi', 'thriller', 'animation', 'crime', 'drama']",8.164
322,Batman Beyond,SHOW,1999,TV-Y7,3.0,"['action', 'scifi', 'thriller', 'animation', 'crime', 'drama']",8.164
323,Batman Beyond,SHOW,1999,TV-Y7,3.0,"['action', 'scifi', 'thriller', 'animation', 'crime', 'drama']",8.164
324,Batman Beyond,SHOW,1999,TV-Y7,3.0,"['action', 'scifi', 'thriller', 'animation', 'crime', 'drama']",8.164
325,Batman Beyond,SHOW,1999,TV-Y7,3.0,"['action', 'scifi', 'thriller', 'animation', 'crime', 'drama']",8.164
326,Batman Beyond,SHOW,1999,TV-Y7,3.0,"['action', 'scifi', 'thriller', 'animation', 'crime', 'drama']",8.164
327,"Harvey Birdman, Attorney at Law",SHOW,2000,TV-14,4.0,"['action', 'crime', 'scifi', 'animation', 'comedy']",8.158
328,"Harvey Birdman, Attorney at Law",SHOW,2000,TV-14,4.0,"['action', 'crime', 'scifi', 'animation', 'comedy']",8.158
329,"Harvey Birdman, Attorney at Law",SHOW,2000,TV-14,4.0,"['action', 'crime', 'scifi', 'animation', 'comedy']",8.158
330,"Harvey Birdman, Attorney at Law",SHOW,2000,TV-14,4.0,"['action', 'crime', 'scifi', 'animation', 'comedy']",8.158
331,"Harvey Birdman, Attorney at Law",SHOW,2000,TV-14,4.0,"['action', 'crime', 'scifi', 'animation', 'comedy']",8.158
332,Ben 10,SHOW,2005,TV-Y7,4.0,"['comedy', 'scifi', 'action', 'family', 'animation']",8.144
333,Ben 10,SHOW,2016,TV-Y7,5.0,"['comedy', 'action', 'scifi', 'animation', 'family', 'documentation']",6.259
334,Ben 10,SHOW,2005,TV-Y7,4.0,"['comedy', 'scifi', 'action', 'family', 'animation']",8.144
335,Ben 10,SHOW,2016,TV-Y7,5.0,"['comedy', 'action', 'scifi', 'animation', 'family', 'documentation']",6.259
336,Ben 10,SHOW,2005,TV-Y7,4.0,"['comedy', 'scifi', 'action', 'family', 'animation']",8.144
337,Ben 10,SHOW,2016,TV-Y7,5.0,"['comedy', 'action', 'scifi', 'animation', 'family', 'documentation']",6.259
338,Ben 10,SHOW,2005,TV-Y7,4.0,"['comedy', 'scifi', 'action', 'family', 'animation']",8.144
339,Ben 10,SHOW,2016,TV-Y7,5.0,"['comedy', 'action', 'scifi', 'animation', 'family', 'documentation']",6.259
340,Ben 10,SHOW,2005,TV-Y7,4.0,"['comedy', 'scifi', 'action', 'family', 'animation']",8.144
341,Ben 10,SHOW,2016,TV-Y7,5.0,"['comedy', 'action', 'scifi', 'animation', 'family', 'documentation']",6.259
342,The Newsroom,SHOW,2012,TV-MA,3.0,['drama'],8.131
343,Valley of Tears,SHOW,2020,Unknown,1.0,['war'],8.13
344,Silicon Valley,SHOW,2014,TV-MA,6.0,['comedy'],8.129
345,Fringe,SHOW,2008,TV-14,5.0,"['scifi', 'drama', 'thriller']",8.107
346,Fringe,SHOW,2008,TV-14,5.0,"['scifi', 'drama', 'thriller']",8.107
347,Fringe,SHOW,2008,TV-14,5.0,"['scifi', 'drama', 'thriller']",8.107
348,Space Ghost Coast to Coast,SHOW,1994,TV-PG,12.0,"['comedy', 'animation', 'scifi', 'family']",8.106
349,Space Ghost Coast to Coast,SHOW,1994,TV-PG,12.0,"['comedy', 'animation', 'scifi', 'family']",8.106
350,Space Ghost Coast to Coast,SHOW,1994,TV-PG,12.0,"['comedy', 'animation', 'scifi', 'family']",8.106
351,Space Ghost Coast to Coast,SHOW,1994,TV-PG,12.0,"['comedy', 'animation', 'scifi', 'family']",8.106
352,Superman & Lois,SHOW,2021,TV-14,3.0,"['scifi', 'action', 'drama', 'romance']",8.103
353,Superman & Lois,SHOW,2021,TV-14,3.0,"['scifi', 'action', 'drama', 'romance']",8.103
354,Superman & Lois,SHOW,2021,TV-14,3.0,"['scifi', 'action', 'drama', 'romance']",8.103
355,Superman & Lois,SHOW,2021,TV-14,3.0,"['scifi', 'action', 'drama', 'romance']",8.103
356,The Nanny,SHOW,1993,TV-PG,6.0,"['comedy', 'family', 'romance']",8.1
357,The Nanny,SHOW,1993,TV-PG,6.0,"['comedy', 'family', 'romance']",8.1
358,The Nanny,SHOW,1993,TV-PG,6.0,"['comedy', 'family', 'romance']",8.1
359,Young Sheldon,SHOW,2017,TV-PG,6.0,['comedy'],8.1
360,Impractical Jokers: Inside Jokes,SHOW,2016,TV-14,1.0,"['reality', 'comedy']",8.1
361,Impractical Jokers: Inside Jokes,SHOW,2016,TV-14,1.0,"['reality', 'comedy']",8.1
362,Deadwood,SHOW,2004,TV-MA,3.0,"['western', 'drama', 'crime', 'history']",8.1
363,Deadwood,SHOW,2004,TV-MA,3.0,"['western', 'drama', 'crime', 'history']",8.1
364,Deadwood,SHOW,2004,TV-MA,3.0,"['western', 'drama', 'crime', 'history']",8.1
365,Deadwood,SHOW,2004,TV-MA,3.0,"['western', 'drama', 'crime', 'history']",8.1
366,Sr. Ávila,SHOW,2013,TV-MA,4.0,"['action', 'crime', 'drama', 'thriller']",8.1
367,Sr. Ávila,SHOW,2013,TV-MA,4.0,"['action', 'crime', 'drama', 'thriller']",8.1
368,Sr. Ávila,SHOW,2013,TV-MA,4.0,"['action', 'crime', 'drama', 'thriller']",8.1
369,Sr. Ávila,SHOW,2013,TV-MA,4.0,"['action', 'crime', 'drama', 'thriller']",8.1
370,Six Feet Under,SHOW,2001,TV-MA,5.0,"['drama', 'comedy']",8.1
371,Six Feet Under,SHOW,2001,TV-MA,5.0,"['drama', 'comedy']",8.1
372,Nathan For You,SHOW,2013,TV-14,4.0,"['documentation', 'comedy']",8.1
373,Nathan For You,SHOW,2013,TV-14,4.0,"['documentation', 'comedy']",8.1
374,Justice League,SHOW,2001,TV-PG,2.0,"['action', 'scifi', 'thriller', 'family', 'fantasy', 'animation', 'romance', 'drama']",8.094
375,Justice League,SHOW,2001,TV-PG,2.0,"['action', 'scifi', 'thriller', 'family', 'fantasy', 'animation', 'romance', 'drama']",8.094
376,Justice League,SHOW,2001,TV-PG,2.0,"['action', 'scifi', 'thriller', 'family', 'fantasy', 'animation', 'romance', 'drama']",8.094
377,Justice League,SHOW,2001,TV-PG,2.0,"['action', 'scifi', 'thriller', 'family', 'fantasy', 'animation', 'romance', 'drama']",8.094
378,Justice League,SHOW,2001,TV-PG,2.0,"['action', 'scifi', 'thriller', 'family', 'fantasy', 'animation', 'romance', 'drama']",8.094
379,Justice League,SHOW,2001,TV-PG,2.0,"['action', 'scifi', 'thriller', 'family', 'fantasy', 'animation', 'romance', 'drama']",8.094
380,Justice League,SHOW,2001,TV-PG,2.0,"['action', 'scifi', 'thriller', 'family', 'fantasy', 'animation', 'romance', 'drama']",8.094
381,Justice League,SHOW,2001,TV-PG,2.0,"['action', 'scifi', 'thriller', 'family', 'fantasy', 'animation', 'romance', 'drama']",8.094
382,Curb Your Enthusiasm,SHOW,2000,TV-MA,11.0,['comedy'],8.09
383,Gomorrah,SHOW,2014,TV-MA,5.0,"['drama', 'thriller', 'crime', 'european']",8.09
384,Gomorrah,SHOW,2014,TV-MA,5.0,"['drama', 'thriller', 'crime', 'european']",8.09
385,Gomorrah,SHOW,2014,TV-MA,5.0,"['drama', 'thriller', 'crime', 'european']",8.09
386,Gomorrah,SHOW,2014,TV-MA,5.0,"['drama', 'thriller', 'crime', 'european']",8.09
387,The Marvelous Misadventures of Flapjack,SHOW,2008,TV-Y7,3.0,"['scifi', 'comedy', 'horror', 'animation', 'family', 'fantasy']",8.086
388,The Marvelous Misadventures of Flapjack,SHOW,2008,TV-Y7,3.0,"['scifi', 'comedy', 'horror', 'animation', 'family', 'fantasy']",8.086
389,The Marvelous Misadventures of Flapjack,SHOW,2008,TV-Y7,3.0,"['scifi', 'comedy', 'horror', 'animation', 'family', 'fantasy']",8.086
390,The Marvelous Misadventures of Flapjack,SHOW,2008,TV-Y7,3.0,"['scifi', 'comedy', 'horror', 'animation', 'family', 'fantasy']",8.086
391,The Marvelous Misadventures of Flapjack,SHOW,2008,TV-Y7,3.0,"['scifi', 'comedy', 'horror', 'animation', 'family', 'fantasy']",8.086
392,The Marvelous Misadventures of Flapjack,SHOW,2008,TV-Y7,3.0,"['scifi', 'comedy', 'horror', 'animation', 'family', 'fantasy']",8.086
393,The Rehearsal,SHOW,2022,TV-MA,1.0,"['comedy', 'documentation']",8.076
394,The Rehearsal,SHOW,2022,TV-MA,1.0,"['comedy', 'documentation']",8.076
395,The Crime of the Century,SHOW,2021,TV-MA,1.0,"['crime', 'documentation']",8.067
396,The Crime of the Century,SHOW,2021,TV-MA,1.0,"['crime', 'documentation']",8.067
397,Oz,SHOW,1997,TV-MA,6.0,"['drama', 'crime', 'thriller', 'scifi', 'animation']",8.063
398,Oz,SHOW,1997,TV-MA,6.0,"['drama', 'crime', 'thriller', 'scifi', 'animation']",8.063
399,Oz,SHOW,1997,TV-MA,6.0,"['drama', 'crime', 'thriller', 'scifi', 'animation']",8.063
400,Oz,SHOW,1997,TV-MA,6.0,"['drama', 'crime', 'thriller', 'scifi', 'animation']",8.063
401,Oz,SHOW,1997,TV-MA,6.0,"['drama', 'crime', 'thriller', 'scifi', 'animation']",8.063
402,Static Shock,SHOW,2000,TV-Y7,4.0,"['animation', 'action', 'family', 'scifi', 'crime', 'drama']",8.058
403,Static Shock,SHOW,2000,TV-Y7,4.0,"['animation', 'action', 'family', 'scifi', 'crime', 'drama']",8.058
404,Static Shock,SHOW,2000,TV-Y7,4.0,"['animation', 'action', 'family', 'scifi', 'crime', 'drama']",8.058
405,Static Shock,SHOW,2000,TV-Y7,4.0,"['animation', 'action', 'family', 'scifi', 'crime', 'drama']",8.058
406,Static Shock,SHOW,2000,TV-Y7,4.0,"['animation', 'action', 'family', 'scifi', 'crime', 'drama']",8.058
407,Static Shock,SHOW,2000,TV-Y7,4.0,"['animation', 'action', 'family', 'scifi', 'crime', 'drama']",8.058
408,The Boondocks,SHOW,2005,TV-MA,4.0,"['animation', 'action', 'comedy', 'drama']",8.058
409,The Boondocks,SHOW,2005,TV-MA,4.0,"['animation', 'action', 'comedy', 'drama']",8.058
410,The Boondocks,SHOW,2005,TV-MA,4.0,"['animation', 'action', 'comedy', 'drama']",8.058
411,The Boondocks,SHOW,2005,TV-MA,4.0,"['animation', 'action', 'comedy', 'drama']",8.058
412,The Grim Adventures of Billy and Mandy,SHOW,2001,TV-Y7,7.0,"['comedy', 'animation', 'horror', 'family', 'fantasy']",8.053
413,The Grim Adventures of Billy and Mandy,SHOW,2001,TV-Y7,7.0,"['comedy', 'animation', 'horror', 'family', 'fantasy']",8.053
414,The Grim Adventures of Billy and Mandy,SHOW,2001,TV-Y7,7.0,"['comedy', 'animation', 'horror', 'family', 'fantasy']",8.053
415,The Grim Adventures of Billy and Mandy,SHOW,2001,TV-Y7,7.0,"['comedy', 'animation', 'horror', 'family', 'fantasy']",8.053
416,The Grim Adventures of Billy and Mandy,SHOW,2001,TV-Y7,7.0,"['comedy', 'animation', 'horror', 'family', 'fantasy']",8.053
417,We Are Who We Are,SHOW,2020,TV-MA,1.0,['drama'],8.043
418,Ghosts,SHOW,2019,TV-14,4.0,"['comedy', 'scifi', 'fantasy']",8.03
419,Ghosts,SHOW,2019,TV-14,4.0,"['comedy', 'scifi', 'fantasy']",8.03
420,Ghosts,SHOW,2019,TV-14,4.0,"['comedy', 'scifi', 'fantasy']",8.03
421,Titans,SHOW,2018,TV-MA,4.0,"['action', 'scifi', 'drama', 'fantasy', 'crime']",8.028
422,Titans,SHOW,2018,TV-MA,4.0,"['action', 'scifi', 'drama', 'fantasy', 'crime']",8.028
423,Titans,SHOW,2018,TV-MA,4.0,"['action', 'scifi', 'drama', 'fantasy', 'crime']",8.028
424,Titans,SHOW,2018,TV-MA,4.0,"['action', 'scifi', 'drama', 'fantasy', 'crime']",8.028
425,Titans,SHOW,2018,TV-MA,4.0,"['action', 'scifi', 'drama', 'fantasy', 'crime']",8.028
426,Carnivàle,SHOW,2003,TV-MA,2.0,"['scifi', 'thriller', 'drama', 'fantasy']",8.026
427,Carnivàle,SHOW,2003,TV-MA,2.0,"['scifi', 'thriller', 'drama', 'fantasy']",8.026
428,Carnivàle,SHOW,2003,TV-MA,2.0,"['scifi', 'thriller', 'drama', 'fantasy']",8.026
429,Carnivàle,SHOW,2003,TV-MA,2.0,"['scifi', 'thriller', 'drama', 'fantasy']",8.026
430,Pretty Little Liars,SHOW,2010,TV-14,7.0,"['drama', 'thriller', 'romance']",8.024
431,Pretty Little Liars,SHOW,2010,TV-14,7.0,"['drama', 'thriller', 'romance']",8.024
432,Pretty Little Liars,SHOW,2010,TV-14,7.0,"['drama', 'thriller', 'romance']",8.024
433,The Jinx: The Life and Deaths of Robert Durst,SHOW,2015,TV-MA,1.0,"['documentation', 'crime']",8.021
434,The Jinx: The Life and Deaths of Robert Durst,SHOW,2015,TV-MA,1.0,"['documentation', 'crime']",8.021
435,Smiling Friends,SHOW,2020,TV-MA,1.0,"['animation', 'comedy']",8.02
436,Smiling Friends,SHOW,2020,TV-MA,1.0,"['animation', 'comedy']",8.02
437,Treme,SHOW,2010,TV-MA,4.0,"['drama', 'music']",8.011
438,Treme,SHOW,2010,TV-MA,4.0,"['drama', 'music']",8.011
439,Pennyworth: The Origin of Batman's Butler,SHOW,2019,TV-MA,3.0,"['drama', 'action', 'crime']",8.004
440,Pennyworth: The Origin of Batman's Butler,SHOW,2019,TV-MA,3.0,"['drama', 'action', 'crime']",8.004
441,Pennyworth: The Origin of Batman's Butler,SHOW,2019,TV-MA,3.0,"['drama', 'action', 'crime']",8.004
442,The Alzheimer's Project,SHOW,2009,TV-PG,1.0,['documentation'],8.0
443,Kindergarten,SHOW,2001,Unknown,1.0,"['documentation', 'animation', 'reality']",8.0
444,Kindergarten,SHOW,2001,Unknown,1.0,"['documentation', 'animation', 'reality']",8.0
445,Kindergarten,SHOW,2001,Unknown,1.0,"['documentation', 'animation', 'reality']",8.0
446,Sons of Carnaval,SHOW,2006,Unknown,2.0,['drama'],8.0
447,Boardwalk Empire,SHOW,2010,TV-MA,5.0,"['drama', 'history', 'crime']",8.0
448,Boardwalk Empire,SHOW,2010,TV-MA,5.0,"['drama', 'history', 'crime']",8.0
449,Boardwalk Empire,SHOW,2010,TV-MA,5.0,"['drama', 'history', 'crime']",8.0
450,On the Job,SHOW,2021,Unknown,1.0,"['action', 'drama']",8.0
451,On the Job,SHOW,2021,Unknown,1.0,"['action', 'drama']",8.0
452,Gentleman Jack,SHOW,2019,TV-MA,2.0,"['drama', 'history', 'romance']",8.0
453,Gentleman Jack,SHOW,2019,TV-MA,2.0,"['drama', 'history', 'romance']",8.0
454,Gentleman Jack,SHOW,2019,TV-MA,2.0,"['drama', 'history', 'romance']",8.0
455,Fixer Upper: Welcome Home,SHOW,2021,TV-G,1.0,['reality'],8.0
456,Long Live the Royals,SHOW,2015,TV-PG,1.0,"['animation', 'comedy', 'family']",8.0
457,Long Live the Royals,SHOW,2015,TV-PG,1.0,"['animation', 'comedy', 'family']",8.0
458,Long Live the Royals,SHOW,2015,TV-PG,1.0,"['animation', 'comedy', 'family']",8.0
459,Winning Time: The Rise of the Lakers Dynasty,SHOW,2022,TV-MA,2.0,"['comedy', 'drama', 'sport']",8.0
460,Winning Time: The Rise of the Lakers Dynasty,SHOW,2022,TV-MA,2.0,"['comedy', 'drama', 'sport']",8.0
461,Winning Time: The Rise of the Lakers Dynasty,SHOW,2022,TV-MA,2.0,"['comedy', 'drama', 'sport']",8.0
462,Impractical Jokers: After Party,SHOW,2017,TV-14,4.0,"['reality', 'comedy']",8.0
463,Impractical Jokers: After Party,SHOW,2017,TV-14,4.0,"['reality', 'comedy']",8.0
464,On the Spectrum,SHOW,2018,TV-MA,1.0,"['comedy', 'drama']",8.0
465,On the Spectrum,SHOW,2018,TV-MA,1.0,"['comedy', 'drama']",8.0
466,The Looney Tunes Show,SHOW,2011,TV-PG,2.0,"['animation', 'family', 'comedy']",8.0
467,The Looney Tunes Show,SHOW,2011,TV-PG,2.0,"['animation', 'family', 'comedy']",8.0
468,The Looney Tunes Show,SHOW,2011,TV-PG,2.0,"['animation', 'family', 'comedy']",8.0
469,Magnifica 70,SHOW,2015,Unknown,3.0,['drama'],8.0
470,Moral Orel,SHOW,2005,TV-MA,4.0,"['comedy', 'drama', 'animation']",8.0
471,Moral Orel,SHOW,2005,TV-MA,4.0,"['comedy', 'drama', 'animation']",8.0
472,Moral Orel,SHOW,2005,TV-MA,4.0,"['comedy', 'drama', 'animation']",8.0
473,Hot Streets,SHOW,2018,TV-MA,2.0,"['comedy', 'animation', 'horror', 'scifi', 'action', 'crime']",8.0
474,Hot Streets,SHOW,2018,TV-MA,2.0,"['comedy', 'animation', 'horror', 'scifi', 'action', 'crime']",8.0
475,Hot Streets,SHOW,2018,TV-MA,2.0,"['comedy', 'animation', 'horror', 'scifi', 'action', 'crime']",8.0
476,Hot Streets,SHOW,2018,TV-MA,2.0,"['comedy', 'animation', 'horror', 'scifi', 'action', 'crime']",8.0
477,Hot Streets,SHOW,2018,TV-MA,2.0,"['comedy', 'animation', 'horror', 'scifi', 'action', 'crime']",8.0
478,Hot Streets,SHOW,2018,TV-MA,2.0,"['comedy', 'animation', 'horror', 'scifi', 'action', 'crime']",8.0
479,The Fresh Prince of Bel-Air,SHOW,1990,TV-PG,6.0,"['comedy', 'drama']",8.0
480,The Fresh Prince of Bel-Air,SHOW,1990,TV-PG,6.0,"['comedy', 'drama']",8.0
