,Title,Type,Release Year,Rating,Duration,Genres,Vote Average
66,Under The Grapefruit Tree: The CC Sabathia Story,MOVIE,2020,Unknown,67,['documentation'],8.4
67,Life of Crime: 1984-2020,MOVIE,2021,Unknown,121,"['documentation', 'crime']",8.4
68,Life of Crime: 1984-2020,MOVIE,2021,Unknown,121,"['documentation', 'crime']",8.4
69,The Lord of the Rings: The Fellowship of the Ring,MOVIE,2001,PG-13,178,"['fantasy', 'action', 'drama']",8.394
70,The Lord of the Rings: The Fellowship of the Ring,MOVIE,2001,PG-13,178,"['fantasy', 'action', 'drama']",8.394
71,The Lord of the Rings: The Fellowship of the Ring,MOVIE,2001,PG-13,178,"['fantasy', 'action', 'drama']",8.394
72,The Lord of the Rings: The Two Towers,MOVIE,2002,PG-13,179,"['action', 'fantasy', 'drama']",8.375
73,The Lord of the Rings: The Two Towers,MOVIE,2002,PG-13,179,"['action', 'fantasy', 'drama']",8.375
74,The Lord of the Rings: The Two Towers,MOVIE,2002,PG-13,179,"['action', 'fantasy', 'drama']",8.375
75,The Great Dictator,MOVIE,1940,Unknown,125,"['comedy', 'drama', 'war']",8.35
76,The Great Dictator,MOVIE,1940,Unknown,125,"['comedy', 'drama', 'war']",8.35
77,The Great Dictator,MOVIE,1940,Unknown,125,"['comedy', 'drama', 'war']",8.35
78,Ikiru,MOVIE,1952,Unknown,143,['drama'],8.35
79,The Silence of the Lambs,MOVIE,1991,R,118,"['drama', 'thriller', 'horror', 'crime']",8.344
80,The Silence of the Lambs,MOVIE,1991,R,118,"['drama', 'thriller', 'horror', 'crime']",8.344
81,The Silence of the Lambs,MOVIE,1991,R,118,"['drama', 'thriller', 'horror', 'crime']",8.344
82,The Silence of the Lambs,MOVIE,1991,R,118,"['drama', 'thriller', 'horror', 'crime']",8.344
83,City Lights,MOVIE,1931,G,87,"['comedy', 'drama', 'romance']",8.341
84,City Lights,MOVIE,1931,G,87,"['comedy', 'drama', 'romance']",8.341
85,City Lights,MOVIE,1931,G,87,"['comedy', 'drama', 'romance']",8.341
86,High and Low,MOVIE,1963,Unknown,143,"['drama', 'thriller', 'crime']",8.324
87,High and Low,MOVIE,1963,Unknown,143,"['drama', 'thriller', 'crime']",8.324
88,High and Low,MOVIE,1963,Unknown,143,"['drama', 'thriller', 'crime']",8.324
89,Modern Times,MOVIE,1936,G,87,"['drama', 'comedy', 'romance', 'family']",8.314
90,Modern Times,MOVIE,1936,G,87,"['drama', 'comedy', 'romance', 'family']",8.314
91,Modern Times,MOVIE,1936,G,87,"['drama', 'comedy', 'romance', 'family']",8.314
