,Title,Type,Country,Director,Cast,Release Year,Rating,Duration,Genre,Vote Average
26,The Next Karate Kid,Movie,United States,Christopher Cain,"Pat Morita, Hilary Swank, Michael Ironside, Constance Towers, Chris Conrad, Arsenio ""Sonny"" Trinidad, Michael Cavalieri, Walton Goggins",1994,PG,107 min, Sports Movies,10.0
27,Cats & Dogs: The Revenge of Kitty Galore,Movie,"United States, Australia",Brad Peyton,"James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Neil Patrick Harris, Sean Hayes, Wallace Shawn, Roger Moore, Joe Pantoliano, Michael Clarke Duncan, Chris O'Donnell, Jack McBrayer, Kiernan Shipka",2010,PG,82 min,Children & Family Movies,10.0
28,Cats & Dogs: The Revenge of Kitty Galore,Movie,"United States, Australia",Brad Peyton,"James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Neil Patrick Harris, Sean Hayes, Wallace Shawn, Roger Moore, Joe Pantoliano, Michael Clarke Duncan, Chris O'Donnell, Jack McBrayer, Kiernan Shipka",2010,PG,82 min, Comedies,10.0
29,Bhai: Vyakti Ki Valli - Uttarardh,Movie,India,Mahesh Manjrekar,"Sagar Deshmukh, Iravati Harshe, Vijay Kenkre, Shubhangi Damle, Ashwini Giri, Nina Kulkarni, Dalip Tahil, Girish Kulkarni",2019,TV-PG,112 min,Dramas,10.0
30,Bhai: Vyakti Ki Valli - Uttarardh,Movie,India,Mahesh Manjrekar,"Sagar Deshmukh, Iravati Harshe, Vijay Kenkre, Shubhangi Damle, Ashwini Giri, Nina Kulkarni, Dalip Tahil, Girish Kulkarni",2019,TV-PG,112 min, International Movies,10.0
31,Someone Great,Movie,United States,Jennifer Kaytin Robinson,"Gina Rodriguez, Brittany Snow, DeWanda Wise, Lakeith Stanfield, RuPaul Charles, Peter Vack, Alex Moffat, Rosario Dawson, Rebecca Naomi Jones, Jaboukie Young-White, Michelle Buteau, Questlove",2019,R,92 min,Comedies,9.5
32,Someone Great,Movie,United States,Jennifer Kaytin Robinson,"Gina Rodriguez, Brittany Snow, DeWanda Wise, Lakeith Stanfield, RuPaul Charles, Peter Vack, Alex Moffat, Rosario Dawson, Rebecca Naomi Jones, Jaboukie Young-White, Michelle Buteau, Questlove",2019,R,92 min, Romantic Movies,9.5
33,Gumrah,Movie,India,Mahesh Bhatt,"Sanjay Dutt, Sridevi, Anupam Kher, Rahul Roy, Soni Razdan, Reema Lagoo, Kunika, Tom Alter, Bob Christo, Anang Desai",1993,TV-14,149 min,Action & Adventure,9.5
34,Gumrah,Movie,India,Mahesh Bhatt,"Sanjay Dutt, Sridevi, Anupam Kher, Rahul Roy, Soni Razdan, Reema Lagoo, Kunika, Tom Alter, Bob Christo, Anang Desai",1993,TV-14,149 min, Dramas,9.5
35,Gumrah,Movie,India,Mahesh Bhatt,"Sanjay Dutt, Sridevi, Anupam Kher, Rahul Roy, Soni Razdan, Reema Lagoo, Kunika, Tom Alter, Bob Christo, Anang Desai",1993,TV-14,149 min, International Movies,9.5
36,Blaze,Movie,United States,Ethan Hawke,"Benjamin Dickey, Alia Shawkat, Josh Hamilton, Charlie Sexton, Sam Rockwell, Wyatt Russell, Steve Zahn, Kris Kristofferson, Richard Linklater, David Kallaway, Ritchie Montgomery",2018,R,129 min,Dramas,9.333
37,Blaze,Movie,United States,Ethan Hawke,"Benjamin Dickey, Alia Shawkat, Josh Hamilton, Charlie Sexton, Sam Rockwell, Wyatt Russell, Steve Zahn, Kris Kristofferson, Richard Linklater, David Kallaway, Ritchie Montgomery",2018,R,129 min, Independent Movies,9.333
38,Blaze,Movie,United States,Ethan Hawke,"Benjamin Dickey, Alia Shawkat, Josh Hamilton, Charlie Sexton, Sam Rockwell, Wyatt Russell, Steve Zahn, Kris Kristofferson, Richard Linklater, David Kallaway, Ritchie Montgomery",2018,R,129 min, Music & Musicals,9.333
39,The Babysitter,Movie,United States,McG,"Samara Weaving, Hana Mae Lee, Judah Lewis, Robbie Amell, Bella Thorne, Andrew Bachelor, Emily Alyn Lind, Leslie Bibb, Ken Marino",2017,TV-MA,85 min,Comedies,9.3
40,The Babysitter,Movie,United States,McG,"Samara Weaving, Hana Mae Lee, Judah Lewis, Robbie Amell, Bella Thorne, Andrew Bachelor, Emily Alyn Lind, Leslie Bibb, Ken Marino",2017,TV-MA,85 min, Horror Movies,9.3
41,Bigger Fatter Liar,Movie,United States,Ron Oliver,"Ricky Garcia, Jodelle Ferland, Barry Bostwick, Fiona Vroom, Kevin O'Grady, Karen Holness",2017,PG,95 min,Children & Family Movies,9.2
42,Bigger Fatter Liar,Movie,United States,Ron Oliver,"Ricky Garcia, Jodelle Ferland, Barry Bostwick, Fiona Vroom, Kevin O'Grady, Karen Holness",2017,PG,95 min, Comedies,9.2
43,Black Mirror: Bandersnatch,Movie,United States,Unknown,"Fionn Whitehead, Will Poulter, Craig Parkinson, Alice Lowe, Asim Chaudhry",2018,TV-MA,312 min,Dramas,9.19
44,Black Mirror: Bandersnatch,Movie,United States,Unknown,"Fionn Whitehead, Will Poulter, Craig Parkinson, Alice Lowe, Asim Chaudhry",2018,TV-MA,312 min, International Movies,9.19
45,Black Mirror: Bandersnatch,Movie,United States,Unknown,"Fionn Whitehead, Will Poulter, Craig Parkinson, Alice Lowe, Asim Chaudhry",2018,TV-MA,312 min, Sci-Fi & Fantasy,9.19
46,Love Off the Cuff,Movie,"China, Hong Kong",Pang Ho-cheung,"Miriam Chin Wah Yeung, Shawn Yue, Paul Chun, Jiang Mengjie, Wang Xiao Chen, Siu Yam Yam, Kwok Cheung Tsang, Toby Lee, Dada Chan, Hugo Ng",2017,TV-MA,120 min,Comedies,9.1
47,Love Off the Cuff,Movie,"China, Hong Kong",Pang Ho-cheung,"Miriam Chin Wah Yeung, Shawn Yue, Paul Chun, Jiang Mengjie, Wang Xiao Chen, Siu Yam Yam, Kwok Cheung Tsang, Toby Lee, Dada Chan, Hugo Ng",2017,TV-MA,120 min, Dramas,9.1
48,Love Off the Cuff,Movie,"China, Hong Kong",Pang Ho-cheung,"Miriam Chin Wah Yeung, Shawn Yue, Paul Chun, Jiang Mengjie, Wang Xiao Chen, Siu Yam Yam, Kwok Cheung Tsang, Toby Lee, Dada Chan, Hugo Ng",2017,TV-MA,120 min, International Movies,9.1
49,Oh My God,Movie,India,Umesh Shukla,"Akshay Kumar, Paresh Rawal, Mithun Chakraborty, Om Puri, Apoorva Arora, Arun Bali, Honey Chaaya, Poonam Jhawer, Mahesh Manjrekar, Govind Namdeo",2012,TV-PG,129 min,Comedies,9.0
50,Oh My God,Movie,India,Umesh Shukla,"Akshay Kumar, Paresh Rawal, Mithun Chakraborty, Om Puri, Apoorva Arora, Arun Bali, Honey Chaaya, Poonam Jhawer, Mahesh Manjrekar, Govind Namdeo",2012,TV-PG,129 min, Dramas,9.0
51,Oh My God,Movie,India,Umesh Shukla,"Akshay Kumar, Paresh Rawal, Mithun Chakraborty, Om Puri, Apoorva Arora, Arun Bali, Honey Chaaya, Poonam Jhawer, Mahesh Manjrekar, Govind Namdeo",2012,TV-PG,129 min, International Movies,9.0
52,Justin Timberlake + the Tennessee Kids,Movie,United States,Jonathan Demme,Justin Timberlake,2016,TV-MA,90 min,Music & Musicals,9.0
53,A.M.I.,Movie,Canada,Rusty Nixon,"Debs Howard, Philip Granger, Sam Robert Muik, Havana Guppy, Bonnie Hay, Veronica Hampson, Lori Triolo, Andrew Coghlan, Laura Mitchell, Elinet Louicius",2019,TV-MA,77 min,Horror Movies,9.0
54,The Four Seasons,Movie,United States,Alan Alda,"Alan Alda, Carol Burnett, Len Cariou, Sandy Dennis, Rita Moreno, Jack Weston, Bess Armstrong, Elizabeth Alda, Beatrice Alda",1981,PG,108 min,Comedies,9.0
55,The Four Seasons,Movie,United States,Alan Alda,"Alan Alda, Carol Burnett, Len Cariou, Sandy Dennis, Rita Moreno, Jack Weston, Bess Armstrong, Elizabeth Alda, Beatrice Alda",1981,PG,108 min, Romantic Movies,9.0
56,Undercover Brother 2,Movie,United States,Leslie Small,"Michael Jai White, Vince Swann, Barry Bostwick, Laila Odom, Gary Owen, Affion Crockett, Steven Lee Johnson, Lindsay Lamb, Zac Zedalis, Cj Sykes",2019,R,85 min,Comedies,9.0
57,"Faith, Hope & Love",Movie,United States,Robert Krantz,"Robert Krantz, Peta Murgatroyd, Corbin Bernsen, Michael Richards, Nancy Stafford",2019,PG,106 min,Comedies,9.0
58,"Faith, Hope & Love",Movie,United States,Robert Krantz,"Robert Krantz, Peta Murgatroyd, Corbin Bernsen, Michael Richards, Nancy Stafford",2019,PG,106 min, Faith & Spirituality,9.0
59,"Faith, Hope & Love",Movie,United States,Robert Krantz,"Robert Krantz, Peta Murgatroyd, Corbin Bernsen, Michael Richards, Nancy Stafford",2019,PG,106 min, Romantic Movies,9.0
60,Monster High: Fright On!,Movie,United States,"Victor Dal Chele, Alfred Gimeno","Kate Higgins, Debi Derryberry, Salli Saffioti, Laura Bailey, Yuri Lowenthal, Audu Paden, Cindy Robinson, Erin Fitzgerald, America Young, Ogie Banks",2011,TV-Y7,46 min,Children & Family Movies,8.992
61,Legend,Movie,"United Kingdom, France, United States",Brian Helgeland,"Tom Hardy, Emily Browning, David Thewlis, Duffy, Christopher Eccleston, Chazz Palminteri, Paul Bettany, Taron Egerton, Colin Morgan, Tara Fitzgerald",2015,R,132 min,Dramas,8.905
62,Legend,Movie,"United Kingdom, France, United States",Brian Helgeland,"Tom Hardy, Emily Browning, David Thewlis, Duffy, Christopher Eccleston, Chazz Palminteri, Paul Bettany, Taron Egerton, Colin Morgan, Tara Fitzgerald",2015,R,132 min, International Movies,8.905
63,Legend,Movie,"United Kingdom, France, United States",Brian Helgeland,"Tom Hardy, Emily Browning, David Thewlis, Duffy, Christopher Eccleston, Chazz Palminteri, Paul Bettany, Taron Egerton, Colin Morgan, Tara Fitzgerald",2015,R,132 min, Thrillers,8.905
64,Road Trip: Beer Pong,Movie,United States,Steve Rash,"Nestor Aaron Absera, Julianna Guill, Preston Jones, Julia Levy-Boeken, Danny Pudi, Michael Trotter, Daniel Newman, DJ Qualls",2009,R,97 min,Comedies,8.9
65,'89,Movie,United Kingdom,Unknown,"Lee Dixon, Ian Wright, Paul Merson",2017,TV-PG,87 min,Sports Movies,8.9
66,Bobbleheads The Movie,Movie,United States,Kirk Wise,"Jennifer Coolidge, Karen Fukuhara, Khary Payton, Julian Sands, Brenda Song, Luke Wilson, Cher",2020,PG,83 min,Children & Family Movies,8.75
67,Bobbleheads The Movie,Movie,United States,Kirk Wise,"Jennifer Coolidge, Karen Fukuhara, Khary Payton, Julian Sands, Brenda Song, Luke Wilson, Cher",2020,PG,83 min, Comedies,8.75
68,Roped,Movie,United States,Shaun Paul Piccinino,"Josh Swickard, Casper Van Dien, Lorynn York, Christina Moore, John Schneider, Michael Roark, Shane Graham, Cooper Lundeen, Javicia Leslie, Spencer Neville",2020,PG,90 min,Children & Family Movies,8.729
69,Roped,Movie,United States,Shaun Paul Piccinino,"Josh Swickard, Casper Van Dien, Lorynn York, Christina Moore, John Schneider, Michael Roark, Shane Graham, Cooper Lundeen, Javicia Leslie, Spencer Neville",2020,PG,90 min, Dramas,8.729
70,Roped,Movie,United States,Shaun Paul Piccinino,"Josh Swickard, Casper Van Dien, Lorynn York, Christina Moore, John Schneider, Michael Roark, Shane Graham, Cooper Lundeen, Javicia Leslie, Spencer Neville",2020,PG,90 min, Romantic Movies,8.729
71,Cracked Up: The Darrell Hammond Story,Movie,United States,Michelle Esrick,Darrell Hammond,2018,TV-MA,97 min,Documentaries,8.7
72,The Ghost and the Tout,Movie,Nigeria,Charles Uwagbai,"Toyin Abraham, Sambasa Nzeribe, Chioma Chukwuka Akpotha, Chioma Omeruah, Chiwetalu Agu, Dele Odule, Femi Adebayo, Bayray McNwizu, Biodun Stephen",2018,TV-14,100 min,Comedies,8.6
73,The Ghost and the Tout,Movie,Nigeria,Charles Uwagbai,"Toyin Abraham, Sambasa Nzeribe, Chioma Chukwuka Akpotha, Chioma Omeruah, Chiwetalu Agu, Dele Odule, Femi Adebayo, Bayray McNwizu, Biodun Stephen",2018,TV-14,100 min, International Movies,8.6
74,Virsa,Movie,"India, Pakistan",Pankaj Batra,"Arya Babbar, Kanwaljeet Singh, Gulshan Grover, Mehreen Raheel, Aparna Sharma, Aman Dhaliwal, Noman Ijaz",2010,TV-14,127 min,Dramas,8.6
75,Virsa,Movie,"India, Pakistan",Pankaj Batra,"Arya Babbar, Kanwaljeet Singh, Gulshan Grover, Mehreen Raheel, Aparna Sharma, Aman Dhaliwal, Noman Ijaz",2010,TV-14,127 min, International Movies,8.6
76,Virsa,Movie,"India, Pakistan",Pankaj Batra,"Arya Babbar, Kanwaljeet Singh, Gulshan Grover, Mehreen Raheel, Aparna Sharma, Aman Dhaliwal, Noman Ijaz",2010,TV-14,127 min, Music & Musicals,8.6
77,Barbie in Princess Power,Movie,United States,Zeke Norton,"Kelly Sheridan, Britt Irvin, Michael Kopsa, Rebecca Husain, Kira Tozer",2015,TV-Y,74 min,Children & Family Movies,8.6
78,French Toast,Movie,South Africa,"Paul Krüger, Anél Stolp","Lika Berning, Thierry Ballarin, Deon Lotz, Heléne Lombard, Paul du Toit, Roberta Fox, Trudi Conradie, Rod Alexander, Lochner De Kock, Tony Caprari",2015,TV-PG,86 min,Comedies,8.6
79,French Toast,Movie,South Africa,"Paul Krüger, Anél Stolp","Lika Berning, Thierry Ballarin, Deon Lotz, Heléne Lombard, Paul du Toit, Roberta Fox, Trudi Conradie, Rod Alexander, Lochner De Kock, Tony Caprari",2015,TV-PG,86 min, International Movies,8.6
80,French Toast,Movie,South Africa,"Paul Krüger, Anél Stolp","Lika Berning, Thierry Ballarin, Deon Lotz, Heléne Lombard, Paul du Toit, Roberta Fox, Trudi Conradie, Rod Alexander, Lochner De Kock, Tony Caprari",2015,TV-PG,86 min, Romantic Movies,8.6
81,Bareilly Ki Barfi,Movie,India,Ashwiny Iyer Tiwari,"Ayushmann Khurrana, Kriti Sanon, Rajkummar Rao, Pankaj Tripathi, Seema Pahwa, Rohit Chaudhury, Swati Semwal",2017,TV-14,110 min,Comedies,8.586
82,Bareilly Ki Barfi,Movie,India,Ashwiny Iyer Tiwari,"Ayushmann Khurrana, Kriti Sanon, Rajkummar Rao, Pankaj Tripathi, Seema Pahwa, Rohit Chaudhury, Swati Semwal",2017,TV-14,110 min, Dramas,8.586
83,Bareilly Ki Barfi,Movie,India,Ashwiny Iyer Tiwari,"Ayushmann Khurrana, Kriti Sanon, Rajkummar Rao, Pankaj Tripathi, Seema Pahwa, Rohit Chaudhury, Swati Semwal",2017,TV-14,110 min, International Movies,8.586
84,Catwalk: Tales from the Cat Show Circuit,Movie,Canada,"Aaron Hancox, Michael McNamara",Unknown,2018,TV-PG,75 min,Documentaries,8.545
85,Catwalk: Tales from the Cat Show Circuit,Movie,Canada,"Aaron Hancox, Michael McNamara",Unknown,2018,TV-PG,75 min, International Movies,8.545
86,Riot,Movie,,John Lyde,"Matthew Reese, Dolph Lundgren, Danielle Chuchran, Chuck Liddell, Michael Flynn, Renny Grames, Eve Mauro, Melanie Stone, Michaela McAllister, Amy Sturdivant",2015,TV-MA,88 min,Action & Adventure,8.5
87,Avengers: Infinity War,Movie,United States,"Anthony Russo, Joe Russo","Robert Downey Jr., Josh Brolin, Mark Ruffalo, Tom Hiddleston, Chris Evans, Chris Hemsworth, Jeremy Renner, Chris Pratt, Elizabeth Olsen, Sebastian Stan, Benedict Cumberbatch, Paul Bettany, Cobie Smulders, Benedict Wong, Zoe Saldana, Karen Gillan, Vin Diesel, Dave Bautista, Bradley Cooper, Pom Klementieff, Scarlett Johansson, Benicio Del Toro, Anthony Mackie, Chadwick Boseman, Danai Gurira, Paul Rudd, Don Cheadle, Tom Holland",2018,PG-13,150 min,Action & Adventure,8.5
88,Avengers: Infinity War,Movie,United States,"Anthony Russo, Joe Russo","Robert Downey Jr., Josh Brolin, Mark Ruffalo, Tom Hiddleston, Chris Evans, Chris Hemsworth, Jeremy Renner, Chris Pratt, Elizabeth Olsen, Sebastian Stan, Benedict Cumberbatch, Paul Bettany, Cobie Smulders, Benedict Wong, Zoe Saldana, Karen Gillan, Vin Diesel, Dave Bautista, Bradley Cooper, Pom Klementieff, Scarlett Johansson, Benicio Del Toro, Anthony Mackie, Chadwick Boseman, Danai Gurira, Paul Rudd, Don Cheadle, Tom Holland",2018,PG-13,150 min, Sci-Fi & Fantasy,8.5
89,Jani Dueñas: Grandes fracasos de ayer y hoy,Movie,Chile,"Raúl Campos, Jan Suter",Jani Dueñas,2018,TV-MA,77 min,Stand-Up Comedy,8.5
