,Title,Type,Cast,Release Year,Date Added,Rating,Duration,Genre,Vote Average
886,The Avengers: United They Stand,TV Show,"Martin Roach, Rod Wilson, Lenore Zann, Ron Rubin, Hamish McEwan, Lynda Ballantyne",1999,"November 12, 2019",TV-Y7,1 Season, Animation,5.9
887,The Avengers: United They Stand,TV Show,"Martin Roach, Rod Wilson, Lenore Zann, Ron Rubin, Hamish McEwan, Lynda Ballantyne",1999,"November 12, 2019",TV-Y7,1 Season, Kids,5.9
888,"Mira, Royal Detective",TV Show,"Leela Ladnier, Utkarsh Ambudkar, Roshni Edwards, Kal Penn, Kamran Lucas",2020,"September 8, 2021",TV-Y,2 Seasons,Animation,5.9
889,"Mira, Royal Detective",TV Show,"Leela Ladnier, Utkarsh Ambudkar, Roshni Edwards, Kal Penn, Kamran Lucas",2020,"September 8, 2021",TV-Y,2 Seasons, Fantasy,5.9
890,"Mira, Royal Detective",TV Show,"Leela Ladnier, Utkarsh Ambudkar, Roshni Edwards, Kal Penn, Kamran Lucas",2020,"September 8, 2021",TV-Y,2 Seasons, Kids,5.9
891,MUPPET BABIES,TV Show,"Matt Danner, Melanie Harrison, Ben Diskin, Eric Bauza, Dee Baker, Jessica DiCicco",2017,"June 4, 2021",TV-Y,3 Seasons,Animation,5.7
892,MUPPET BABIES,TV Show,"Matt Danner, Melanie Harrison, Ben Diskin, Eric Bauza, Dee Baker, Jessica DiCicco",2017,"June 4, 2021",TV-Y,3 Seasons, Kids,5.7
893,Goldie & Bear,TV Show,"Georgie Kidder, Justine Huxley, Natalie Lander, Jim Cummings, David Kaufman, David Lodge",2015,"November 6, 2020",TV-Y,2 Seasons,Action-Adventure,5.7
894,Goldie & Bear,TV Show,"Georgie Kidder, Justine Huxley, Natalie Lander, Jim Cummings, David Kaufman, David Lodge",2015,"November 6, 2020",TV-Y,2 Seasons, Animation,5.7
895,Goldie & Bear,TV Show,"Georgie Kidder, Justine Huxley, Natalie Lander, Jim Cummings, David Kaufman, David Lodge",2015,"November 6, 2020",TV-Y,2 Seasons, Buddy,5.7
896,Earth to Ned,TV Show,Unknown,2020,"September 4, 2020",TV-PG,1 Season,Comedy,5.667
897,Earth to Ned,TV Show,Unknown,2020,"September 4, 2020",TV-PG,1 Season, Parody,5.667
898,Earth to Ned,TV Show,Unknown,2020,"September 4, 2020",TV-PG,1 Season, Science Fiction,5.667
899,The Big Fib,TV Show,Unknown,2019,"May 22, 2020",TV-PG,1 Season,Family,5.6
900,The Big Fib,TV Show,Unknown,2019,"May 22, 2020",TV-PG,1 Season, Game Show / Competition,5.6
901,Muppets Now,TV Show,"Dave Goelz, Matt Vogel, David Rudman, Peter Linz, Bill Barretta, Eric Jacobson",2020,"July 31, 2020",TV-PG,1 Season,Comedy,5.542
902,Muppets Now,TV Show,"Dave Goelz, Matt Vogel, David Rudman, Peter Linz, Bill Barretta, Eric Jacobson",2020,"July 31, 2020",TV-PG,1 Season, Family,5.542
903,Muppets Now,TV Show,"Dave Goelz, Matt Vogel, David Rudman, Peter Linz, Bill Barretta, Eric Jacobson",2020,"July 31, 2020",TV-PG,1 Season, Lifestyle,5.542
904,Fury Files,TV Show,Chi McBride,2013,"May 21, 2021",TV-Y7,1 Season,Animation,5.5
905,Fury Files,TV Show,Chi McBride,2013,"May 21, 2021",TV-Y7,1 Season, Superhero,5.5
906,Marvel Funko Shorts,TV Show,Unknown,2016,"July 31, 2020",TV-Y7,2 Seasons,Action-Adventure,5.5
907,Marvel Funko Shorts,TV Show,Unknown,2016,"July 31, 2020",TV-Y7,2 Seasons, Animation,5.5
908,Marvel Funko Shorts,TV Show,Unknown,2016,"July 31, 2020",TV-Y7,2 Seasons, Anthology,5.5
909,The Greeks,TV Show,Toby Moore,2016,"June 5, 2020",TV-PG,1 Season,Docuseries,5.5
910,The Greeks,TV Show,Toby Moore,2016,"June 5, 2020",TV-PG,1 Season, Historical,5.5
911,Wild Congo,TV Show,Corey Johnson,2014,"July 24, 2020",TV-PG,1 Season,Animals & Nature,5.5
912,Wild Congo,TV Show,Corey Johnson,2014,"July 24, 2020",TV-PG,1 Season, Docuseries,5.5
913,Wild Congo,TV Show,Corey Johnson,2014,"July 24, 2020",TV-PG,1 Season, Family,5.5
914,Star Wars Forces of Destiny (Shorts),TV Show,"Ashley Eckstein, Matt Lanter, C1-10P a.k.a. ""Chopper"" , John Boyega, Vanessa Marshall, Felicity Jones",2016,"November 12, 2019",TV-Y7,2 Seasons,Action-Adventure,5.3
915,Star Wars Forces of Destiny (Shorts),TV Show,"Ashley Eckstein, Matt Lanter, C1-10P a.k.a. ""Chopper"" , John Boyega, Vanessa Marshall, Felicity Jones",2016,"November 12, 2019",TV-Y7,2 Seasons, Animation,5.3
916,Star Wars Forces of Destiny (Shorts),TV Show,"Ashley Eckstein, Matt Lanter, C1-10P a.k.a. ""Chopper"" , John Boyega, Vanessa Marshall, Felicity Jones",2016,"November 12, 2019",TV-Y7,2 Seasons, Anthology,5.3
917,Billy Dilley's Super-Duper Subterranean Summer,TV Show,"Aaron Springer, Catherine Wayne, Tom Kenny",2016,"January 1, 2020",TV-Y7,1 Season,Animation,5.3
