,Title,Type,Country,Director,Cast,Release Year,Rating,Duration,Vote Average
25,Black Mirror: Bandersnatch,Movie,United States,Unknown,"Fionn Whitehead, Will Poulter, Craig Parkinson, Alice Lowe, Asim Chaudhry",2018,TV-MA,312 min,9.19
26,Love Off the Cuff,Movie,China,Pang Ho-cheung,"Miriam Chin Wah Yeung, Shawn Yue, Paul Chun, Jiang Mengjie, Wang Xiao Chen, Siu Yam Yam, Kwok Cheung Tsang, Toby Lee, Dada Chan, Hugo Ng",2017,TV-MA,120 min,9.1
27,Love Off the Cuff,Movie, Hong Kong,Pang Ho-cheung,"Miriam Chin Wah Yeung, Shawn Yue, Paul Chun, Jiang Mengjie, Wang Xiao Chen, Siu Yam Yam, Kwok Cheung Tsang, Toby Lee, Dada Chan, Hugo Ng",2017,TV-MA,120 min,9.1
28,Oh My God,Movie,India,Umesh Shukla,"Akshay Kumar, Paresh Rawal, Mithun Chakraborty, Om Puri, Apoorva Arora, Arun Bali, Honey Chaaya, Poonam Jhawer, Mahesh Manjrekar, Govind Namdeo",2012,TV-PG,129 min,9.0
29,Justin Timberlake + the Tennessee Kids,Movie,United States,Jonathan Demme,Justin Timberlake,2016,TV-MA,90 min,9.0
30,A.M.I.,Movie,Canada,Rusty Nixon,"Debs Howard, Philip Granger, Sam Robert Muik, Havana Guppy, Bonnie Hay, Veronica Hampson, Lori Triolo, Andrew Coghlan, Laura Mitchell, Elinet Louicius",2019,TV-MA,77 min,9.0
31,The Four Seasons,Movie,United States,Alan Alda,"Alan Alda, Carol Burnett, Len Cariou, Sandy Dennis, Rita Moreno, Jack Weston, Bess Armstrong, Elizabeth Alda, Beatrice Alda",1981,PG,108 min,9.0
32,Undercover Brother 2,Movie,United States,Leslie Small,"Michael Jai White, Vince Swann, Barry Bostwick, Laila Odom, Gary Owen, Affion Crockett, Steven Lee Johnson, Lindsay Lamb, Zac Zedalis, Cj Sykes",2019,R,85 min,9.0
33,"Faith, Hope & Love",Movie,United States,Robert Krantz,"Robert Krantz, Peta Murgatroyd, Corbin Bernsen, Michael Richards, Nancy Stafford",2019,PG,106 min,9.0
34,Monster High: Fright On!,Movie,United States,"Victor Dal Chele, Alfred Gimeno","Kate Higgins, Debi Derryberry, Salli Saffioti, Laura Bailey, Yuri Lowenthal, Audu Paden, Cindy Robinson, Erin Fitzgerald, America Young, Ogie Banks",2011,TV-Y7,46 min,8.992
35,Legend,Movie,United Kingdom,Brian Helgeland,"Tom Hardy, Emily Browning, David Thewlis, Duffy, Christopher Eccleston, Chazz Palminteri, Paul Bettany, Taron Egerton, Colin Morgan, Tara Fitzgerald",2015,R,132 min,8.905
36,Legend,Movie, France,Brian Helgeland,"Tom Hardy, Emily Browning, David Thewlis, Duffy, Christopher Eccleston, Chazz Palminteri, Paul Bettany, Taron Egerton, Colin Morgan, Tara Fitzgerald",2015,R,132 min,8.905
37,Legend,Movie, United States,Brian Helgeland,"Tom Hardy, Emily Browning, David Thewlis, Duffy, Christopher Eccleston, Chazz Palminteri, Paul Bettany, Taron Egerton, Colin Morgan, Tara Fitzgerald",2015,R,132 min,8.905
38,Road Trip: Beer Pong,Movie,United States,Steve Rash,"Nestor Aaron Absera, Julianna Guill, Preston Jones, Julia Levy-Boeken, Danny Pudi, Michael Trotter, Daniel Newman, DJ Qualls",2009,R,97 min,8.9
39,'89,Movie,United Kingdom,Unknown,"Lee Dixon, Ian Wright, Paul Merson",2017,TV-PG,87 min,8.9
40,Bobbleheads The Movie,Movie,United States,Kirk Wise,"Jennifer Coolidge, Karen Fukuhara, Khary Payton, Julian Sands, Brenda Song, Luke Wilson, Cher",2020,PG,83 min,8.75
41,Roped,Movie,United States,Shaun Paul Piccinino,"Josh Swickard, Casper Van Dien, Lorynn York, Christina Moore, John Schneider, Michael Roark, Shane Graham, Cooper Lundeen, Javicia Leslie, Spencer Neville",2020,PG,90 min,8.729
42,Cracked Up: The Darrell Hammond Story,Movie,United States,Michelle Esrick,Darrell Hammond,2018,TV-MA,97 min,8.7
43,The Ghost and the Tout,Movie,Nigeria,Charles Uwagbai,"Toyin Abraham, Sambasa Nzeribe, Chioma Chukwuka Akpotha, Chioma Omeruah, Chiwetalu Agu, Dele Odule, Femi Adebayo, Bayray McNwizu, Biodun Stephen",2018,TV-14,100 min,8.6
44,Virsa,Movie,India,Pankaj Batra,"Arya Babbar, Kanwaljeet Singh, Gulshan Grover, Mehreen Raheel, Aparna Sharma, Aman Dhaliwal, Noman Ijaz",2010,TV-14,127 min,8.6
45,Virsa,Movie, Pakistan,Pankaj Batra,"Arya Babbar, Kanwaljeet Singh, Gulshan Grover, Mehreen Raheel, Aparna Sharma, Aman Dhaliwal, Noman Ijaz",2010,TV-14,127 min,8.6
46,Barbie in Princess Power,Movie,United States,Zeke Norton,"Kelly Sheridan, Britt Irvin, Michael Kopsa, Rebecca Husain, Kira Tozer",2015,TV-Y,74 min,8.6
47,French Toast,Movie,South Africa,"Paul Krüger, Anél Stolp","Lika Berning, Thierry Ballarin, Deon Lotz, Heléne Lombard, Paul du Toit, Roberta Fox, Trudi Conradie, Rod Alexander, Lochner De Kock, Tony Caprari",2015,TV-PG,86 min,8.6
48,Bareilly Ki Barfi,Movie,India,Ashwiny Iyer Tiwari,"Ayushmann Khurrana, Kriti Sanon, Rajkummar Rao, Pankaj Tripathi, Seema Pahwa, Rohit Chaudhury, Swati Semwal",2017,TV-14,110 min,8.586
49,Catwalk: Tales from the Cat Show Circuit,Movie,Canada,"Aaron Hancox, Michael McNamara",Unknown,2018,TV-PG,75 min,8.545
50,Riot,Movie,nan,John Lyde,"Matthew Reese, Dolph Lundgren, Danielle Chuchran, Chuck Liddell, Michael Flynn, Renny Grames, Eve Mauro, Melanie Stone, Michaela McAllister, Amy Sturdivant",2015,TV-MA,88 min,8.5
