,Title,Type,Country,Release Year,Rating,Seasons,Vote Average
373,I'm Sorry,SHOW,['US'],2017,TV-MA,3.0,7.1
374,The Investigation,SHOW,['DK'],2020,TV-14,1.0,7.1
375,Lois & Clark: The New Adventures of Superman,SHOW,['US'],1993,TV-PG,4.0,7.098
376,Epitaphs,SHOW,['AR'],2004,TV-MA,2.0,7.089
377,Falling Skies,SHOW,['US'],2011,TV-14,5.0,7.074
378,Tom and Jerry in New York,SHOW,['US'],2021,TV-PG,2.0,7.068
379,Jellystone,SHOW,['US'],2021,TV-Y7,2.0,7.058
380,Tiger,SHOW,['US'],2020,TV-MA,1.0,7.056
381,Industry,SHOW,['US'],2020,TV-MA,3.0,7.036
382,Vice Principals,SHOW,['US'],2016,TV-MA,2.0,7.028
383,Station Eleven,SHOW,['US'],2021,TV-MA,1.0,7.027
384,Big Love,SHOW,['US'],2006,TV-MA,5.0,7.025
385,Miracle Workers,SHOW,['US'],2019,TV-14,4.0,7.02
386,Catherine the Great,SHOW,['GB'],2019,TV-MA,1.0,7.012
387,Sesame Street,SHOW,['US'],1969,TV-Y,53.0,7.008
388,Love Spells,SHOW,['MX'],2021,TV-MA,1.0,7.0
389,Para - We Are King,SHOW,['DE'],2021,Unknown,1.0,7.0
390,Rich & Shameless,SHOW,['US'],2022,TV-14,1.0,7.0
391,Good Behavior,SHOW,['US'],2016,TV-MA,2.0,7.0
392,On the Record with Bob Costas,SHOW,['US'],2001,TV-14,5.0,7.0
393,The Parent 'Hood,SHOW,['US'],1995,TV-PG,5.0,7.0
394,Tropical Cop Tales,SHOW,['US'],2019,TV-MA,1.0,7.0
395,Grace,SHOW,['SG'],2014,Unknown,2.0,7.0
396,Folklore,SHOW,['SG'],2018,Unknown,2.0,7.0
397,Who's By Your Side,SHOW,['TW'],2021,Unknown,1.0,7.0
398,Obama: In Pursuit of a More Perfect Union,SHOW,['US'],2021,TV-14,1.0,7.0
399,David Makes Man,SHOW,['US'],2019,Unknown,2.0,7.0
400,Ten Year Old Tom,SHOW,['US'],2021,TV-14,1.0,7.0
401,The Great Soul Food Cook-Off,SHOW,[],2021,Unknown,1.0,7.0
402,The Staircase,SHOW,['US'],2022,TV-MA,1.0,7.0
403,Hard Knocks,SHOW,['US'],2001,TV-MA,18.0,7.0
404,Wonder Woman,SHOW,['US'],1975,TV-PG,3.0,7.0
405,The Smurfs,SHOW,['US'],1981,TV-Y,9.0,6.999
406,Jett,SHOW,['US'],2019,TV-MA,1.0,6.993
407,Happy Endings,SHOW,['US'],2011,TV-14,3.0,6.992
408,Search Party,SHOW,['US'],2016,TV-MA,5.0,6.959
409,Visitors,SHOW,['FR'],2022,TV-MA,1.0,6.957
410,Tenacious D,SHOW,['US'],1997,TV-14,1.0,6.947
411,Mortal Kombat: Conquest,SHOW,['US'],1998,TV-PG,1.0,6.939
412,The Invisible Pilot,SHOW,['US'],2022,TV-MA,1.0,6.938
413,High Maintenance,SHOW,['US'],2016,TV-MA,4.0,6.924
414,Agents of Chaos,SHOW,['US'],2020,TV-MA,1.0,6.917
415,The Prince,SHOW,['US'],2021,TV-MA,1.0,6.917
416,Irma Vep,SHOW,['US'],2022,TV-MA,1.0,6.906
417,The No. 1 Ladies' Detective Agency,SHOW,['GB'],2009,Unknown,1.0,6.905
418,The Girl Before,SHOW,['GB'],2021,TV-MA,1.0,6.9
419,El Hipnotizador,SHOW,['AR',2015,TV-MA,2.0,6.9
420,El Hipnotizador,SHOW, 'BR',2015,TV-MA,2.0,6.9
421,El Hipnotizador,SHOW, 'UY'],2015,TV-MA,2.0,6.9
422,C.B. Strike,SHOW,['GB'],2017,TV-MA,5.0,6.9
423,Squidbillies,SHOW,['US'],2004,TV-14,13.0,6.9
424,Togetherness,SHOW,['US'],2015,TV-MA,2.0,6.9
425,Tom Goes to the Mayor,SHOW,['US'],2004,TV-PG,2.0,6.9
426,Mortal Kombat: Legacy,SHOW,['CA',2011,TV-MA,2.0,6.9
427,Mortal Kombat: Legacy,SHOW, 'US'],2011,TV-MA,2.0,6.9
428,Perfect Life,SHOW,['ES'],2019,TV-MA,2.0,6.9
429,Arliss,SHOW,['US'],1996,TV-MA,7.0,6.9
430,Catch and Kill: The Podcast Tapes,SHOW,['US'],2021,TV-MA,1.0,6.9
431,"I Love You, Now Die: The Commonwealth v. Michelle Carter",SHOW,['US'],2019,TV-MA,1.0,6.879
432,The Plot Against America,SHOW,['US'],2020,TV-MA,1.0,6.845
433,Parade's End,SHOW,['GB'],2012,TV-MA,1.0,6.837
434,Los Espookys,SHOW,['US'],2019,TV-MA,2.0,6.818
435,The Last Movie Stars,SHOW,['US'],2022,TV-MA,1.0,6.8
436,I Hate Suzie,SHOW,['GB'],2020,TV-MA,2.0,6.8
437,Landscapers,SHOW,['US'],2021,TV-MA,1.0,6.8
438,Gunpowder,SHOW,['GB'],2017,TV-MA,1.0,6.8
439,Tell Me You Love Me,SHOW,['US'],2007,TV-MA,1.0,6.8
440,Starstruck,SHOW,['GB'],2021,TV-MA,2.0,6.8
441,Teen Titans Go!,SHOW,['US'],2013,TV-PG,8.0,6.8
442,Hello Ladies,SHOW,['US'],2013,TV-MA,1.0,6.8
443,Tanner '88,SHOW,['US'],1988,Unknown,2.0,6.8
444,Heaven's Gate: The Cult of Cults,SHOW,['US'],2020,TV-MA,1.0,6.792
445,Stath Lets Flats,SHOW,['GB'],2018,TV-MA,3.0,6.789
446,Trixie Motel,SHOW,['US'],2022,TV-14,1.0,6.75
447,Family Matters,SHOW,['US'],1989,TV-G,9.0,6.746
448,Ballers,SHOW,['US'],2015,TV-MA,5.0,6.712
449,Mike & Molly,SHOW,['US'],2010,TV-14,6.0,6.704
450,The Jamie Foxx Show,SHOW,['US'],1996,TV-14,5.0,6.7
451,Billy on the Street,SHOW,['US'],2011,TV-14,6.0,6.7
452,A Different World,SHOW,['US'],1987,TV-14,6.0,6.7
453,Getting On,SHOW,['US'],2013,TV-MA,3.0,6.68
454,Isabel,SHOW,['CL'],2021,TV-MA,1.0,6.679
455,Birdgirl,SHOW,['US'],2021,TV-MA,2.0,6.667
456,This Is Luna,SHOW,['BR'],2022,TV-MA,1.0,6.667
457,Luck,SHOW,['US'],2012,TV-MA,2.0,6.656
458,100 Foot Wave,SHOW,['US'],2021,TV-14,2.0,6.6
459,Mind Over Murder,SHOW,['US'],2022,TV-MA,1.0,6.6
460,DMZ,SHOW,['US'],2022,TV-MA,1.0,6.6
461,The Third Day,SHOW,['US'],2020,TV-MA,1.0,6.6
462,If God Is Willing and da Creek Don't Rise,SHOW,['US'],2010,TV-MA,1.0,6.6
463,Avenue 5,SHOW,['US'],2020,TV-MA,2.0,6.594
464,We're Here,SHOW,['US'],2020,TV-MA,3.0,6.548
465,Family Tree,SHOW,['US',2013,TV-MA,1.0,6.536
466,Family Tree,SHOW, 'GB'],2013,TV-MA,1.0,6.536
467,Adult Material,SHOW,['GB'],2020,TV-MA,1.0,6.526
468,Garfunkel and Oates,SHOW,['US'],2012,TV-MA,1.0,6.5
469,Dolores: The Truth About the Wanninkhof Case,SHOW,['ES'],2021,TV-14,1.0,6.5
470,Delocated,SHOW,['US'],2008,TV-MA,3.0,6.5
471,Small Town News: KPVM Pahrump,SHOW,['US'],2021,TV-14,1.0,6.5
472,Mostly 4 Millennials,SHOW,['US'],2018,TV-MA,1.0,6.5
473,Expecting Amy,SHOW,['US'],2020,TV-MA,1.0,6.5
474,"China, IL",SHOW,['US'],2011,TV-14,3.0,6.5
475,Phoenix Rising,SHOW,['US'],2022,TV-MA,1.0,6.5
476,The Casual Vacancy,SHOW,['GB'],2015,TV-14,1.0,6.5
477,Allen v. Farrow,SHOW,['US'],2021,TV-MA,1.0,6.48
478,John from Cincinnati,SHOW,['US'],2007,TV-MA,1.0,6.45
479,YOLO,SHOW,['US'],2020,TV-14,2.0,6.444
480,Saving the King,SHOW,['ES'],2022,Unknown,1.0,6.4
481,Wipeout,SHOW,['US'],2008,TV-14,7.0,6.4
482,Divorce,SHOW,['US'],2016,TV-MA,3.0,6.4
483,Edge of the Earth,SHOW,['US'],2022,TV-MA,1.0,6.4
484,Random Acts of Flyness,SHOW,['US'],2018,TV-MA,2.0,6.4
485,Naomi,SHOW,['US'],2022,TV-PG,1.0,6.4
486,Laetitia,SHOW,['FR'],2020,Unknown,1.0,6.35
487,The Baby,SHOW,['US'],2022,TV-MA,1.0,6.33
488,Hung,SHOW,['US'],2009,Unknown,3.0,6.3
489,María Marta: The Country Club Crime,SHOW,['AR'],2022,Unknown,1.0,6.3
490,Call Me Kat,SHOW,['US',2021,TV-14,3.0,6.3
491,Call Me Kat,SHOW, 'GB'],2021,TV-14,3.0,6.3
492,A World of Calm,SHOW,['US'],2020,TV-G,1.0,6.3
493,Profugos,SHOW,['CL'],2011,TV-MA,2.0,6.3
494,Paradise,SHOW,['ES'],2021,TV-MA,2.0,6.3
495,The Thaw,SHOW,['PL'],2022,TV-14,1.0,6.278
496,Ben 10,SHOW,['US'],2005,TV-Y7,4.0,8.144
497,Ben 10,SHOW,['US'],2016,TV-Y7,5.0,6.259
498,The Sylvester & Tweety Mysteries,SHOW,['US'],1995,TV-Y7,5.0,6.253
499,Animals.,SHOW,['US'],2016,TV-MA,3.0,6.235
500,Gaming Wall St,SHOW,['US'],2022,TV-MA,1.0,6.222
501,Girls,SHOW,['US'],2012,TV-MA,6.0,6.2
502,Sort Of,SHOW,['CA'],2021,TV-MA,3.0,6.2
503,Full Frontal with Samantha Bee,SHOW,['US'],2016,TV-MA,8.0,6.2
504,15: A Quinceañera Story,SHOW,['US'],2017,TV-PG,1.0,6.2
505,"What Happened, Brittany Murphy?",SHOW,['US'],2021,TV-MA,1.0,6.158
506,Five Days,SHOW,['GB'],2007,TV-MA,2.0,6.143
507,Leaving Neverland,SHOW,['US'],2019,TV-MA,1.0,6.137
508,García!,SHOW,['ES'],2022,TV-MA,1.0,6.1
509,Project Greenlight,SHOW,['US'],2001,TV-MA,4.0,6.1
510,Vote for Juan,SHOW,['ES'],2019,TV-14,3.0,6.067
511,The Teenage Psychic,SHOW,['TW'],2017,Unknown,2.0,6.05
512,Real Time with Bill Maher,SHOW,['US'],2003,TV-MA,21.0,6.015
513,Flordelis: A Family Crime,SHOW,['BR'],2022,Unknown,1.0,6.0
514,"Bilardo, the Soccer Doctor",SHOW,['AR'],2022,TV-MA,1.0,6.0
515,Halfworlds,SHOW,['ID'],2015,Unknown,3.0,6.0
516,Adventure of the Ring,SHOW,['TW'],2020,TV-14,1.0,6.0
517,Mamon,SHOW,['CZ'],2015,TV-MA,1.0,6.0
518,Hangin' with Mr. Cooper,SHOW,['US'],1992,TV-PG,5.0,6.0
519,Saving My Tomorrow,SHOW,['US'],2014,TV-G,1.0,6.0
520,Ballmastrz: 9009,SHOW,['US'],2018,TV-14,2.0,6.0
521,Dream Raider,SHOW,['TW'],2020,TV-MA,1.0,6.0
522,The Weight Of The Nation For Kids,SHOW,['US'],2012,Unknown,1.0,6.0
523,PAUSE with Sam Jay,SHOW,['US'],2021,TV-MA,2.0,6.0
524,Unveiled: Surviving La Luz del Mundo,SHOW,['US'],2022,TV-MA,1.0,6.0
525,I Don't Like Driving,SHOW,['ES'],2022,Unknown,1.0,6.0
526,Happily Ever After: Fairy Tales for Every Child,SHOW,['US'],1995,TV-Y,3.0,6.0
527,El Pionero,SHOW,['ES'],2019,Unknown,1.0,6.0
528,2 Dope Queens,SHOW,['US'],2018,TV-MA,2.0,5.9
529,Bugs Bunny Builders,SHOW,['US'],2022,TV-Y,1.0,5.9
530,Room 104,SHOW,['US'],2017,TV-MA,4.0,5.882
531,Queen Stars Brazil,SHOW,['BR'],2022,TV-14,1.0,5.8
532,4 Blocks,SHOW,['DE'],2017,TV-PG,3.0,5.748
533,Grisse,SHOW,['ID'],2018,Unknown,1.0,5.6
534,Apple & Onion,SHOW,['US'],2018,TV-Y7,3.0,5.6
535,The Hype,SHOW,['US'],2021,Unknown,2.0,5.5
536,Sweet Life: Los Angeles,SHOW,['US'],2021,Unknown,2.0,5.5
537,Black and Missing,SHOW,['US'],2021,TV-MA,1.0,5.5
538,The Anarchists,SHOW,['US'],2022,TV-MA,1.0,5.5
539,Other Parents,SHOW,['DE'],2019,Unknown,2.0,5.4
540,One Perfect Shot,SHOW,['US'],2022,TV-MA,1.0,5.4
541,Oh Hell,SHOW,['DE'],2022,TV-MA,1.0,5.4
542,Black Jesus,SHOW,['US'],2014,TV-MA,3.0,5.4
543,How to Screw It All Up,SHOW,['ES'],2022,TV-MA,1.0,5.3
544,Possessions,SHOW,['FR',2020,Unknown,1.0,5.25
545,Possessions,SHOW, 'IL'],2020,Unknown,1.0,5.25
546,Rachel Dratch's Late Night Snack,SHOW,['US'],2016,Unknown,2.0,5.0
547,Hack My Life,SHOW,['US'],2015,TV-14,6.0,5.0
548,Irina Rimes: On My Way,SHOW,['RO'],2022,TV-MA,1.0,5.0
549,Low Country: The Murdaugh Dynasty,SHOW,['US'],2022,TV-MA,1.0,5.0
550,Total DramaRama,SHOW,['CA'],2018,TV-Y7,3.0,5.0
551,Level Playing Field,SHOW,['US'],2021,TV-14,1.0,5.0
552,Food Lore,SHOW,['SG'],2019,Unknown,1.0,5.0
553,The Powerpuff Girls,SHOW,['US'],1998,TV-Y7,7.0,7.539
554,The Powerpuff Girls,SHOW,['US'],2016,TV-Y7,3.0,4.865
555,Menudo: Forever Young,SHOW,['US'],2022,TV-MA,1.0,4.7
556,Head Over Heels,SHOW,['CZ'],2014,Unknown,2.0,4.5
557,Not So Pretty,SHOW,['US'],2022,TV-14,1.0,4.5
558,The Big Brunch,SHOW,['US'],2022,TV-MA,1.0,4.5
559,The Jellies,SHOW,['US'],2017,TV-MA,2.0,4.5
560,Game Theory with Bomani Jones,SHOW,['US'],2022,TV-MA,2.0,4.3
561,Tom Swift,SHOW,['US'],2022,TV-14,1.0,4.2
562,Funny or Die Presents,SHOW,['US'],2010,TV-MA,3.0,4.0
563,Sex Diaries,SHOW,['US'],2015,Unknown,1.0,4.0
564,El gran sarao,SHOW,['ES'],2022,Unknown,1.0,4.0
565,Chillin Island,SHOW,['US'],2021,TV-MA,1.0,4.0
566,The Chris Rock Show,SHOW,['US'],1997,TV-MA,4.0,4.0
567,Maine Cabin Masters,SHOW,['US'],2017,TV-PG,8.0,3.7
568,Singletown,SHOW,['GB'],2019,Unknown,1.0,3.5
569,Velma,SHOW,['US'],2023,TV-MA,1.0,3.399
570,Hostages,SHOW,['US'],2022,TV-MA,1.0,3.0
571,HBO Comedy Half Hour,SHOW,['US'],1995,Unknown,5.0,3.0
572,Fast Foodies,SHOW,['US'],2021,TV-14,2.0,3.0
573,Dane Cook's Tourgasm,SHOW,['US'],2006,TV-MA,1.0,3.0
574,Who's Talking to Chris Wallace?,SHOW,['US'],2022,TV-MA,1.0,3.0
575,Teenage Euthanasia,SHOW,['US'],2021,TV-14,2.0,2.5
576,Blippi,SHOW,['US'],2014,TV-Y7,3.0,2.0
577,Branson,SHOW,['US'],2022,TV-14,1.0,2.0
578,Take Out with Lisa Ling,SHOW,['US'],2022,TV-PG,1.0,2.0
579,Lellobee City Farm,SHOW,['US'],2022,TV-Y,1.0,2.0
580,Brené Brown: Atlas of the Heart,SHOW,['US'],2022,Unknown,1.0,2.0
581,Mecha Builders,SHOW,['US'],2022,TV-Y,1.0,2.0
582,12 Dates of Christmas,SHOW,['US'],2020,TV-MA,2.0,2.0
583,Blippi Wonders,SHOW,['US'],2021,TV-Y,1.0,1.583
584,Inn the Works,SHOW,['US'],2021,Unknown,1.0,1.0
585,Family Dinner,SHOW,['US'],2022,TV-G,3.0,1.0
586,Through Our Eyes,SHOW,['US'],2021,TV-PG,1.0,1.0
