,Title,Type,Country,Release Year,Rating,Duration,Vote Average
106,Nothing Left Unsaid: Gloria Vanderbilt & Anderson Cooper,MOVIE,['US'],2016,PG,108,8.1
107,Varda by Agnès,MOVIE,['FR'],2019,Unknown,115,8.1
108,The Tale of The Princess Kaguya,MOVIE,['JP'],2013,PG,137,8.1
109,Codename: Kids Next Door - Operation Z.E.R.O.,MOVIE,['US'],2006,G,73,8.1
110,The Passion of Joan of Arc,MOVIE,['FR'],1928,Unknown,110,8.1
111,Rashomon,MOVIE,['JP'],1950,Unknown,88,8.1
112,2001: A Space Odyssey,MOVIE,['GB',1968,G,149,8.083
113,2001: A Space Odyssey,MOVIE, 'US'],1968,G,149,8.083
114,Paris Is Burning,MOVIE,['US'],1991,R,71,8.08
115,The 400 Blows,MOVIE,['FR'],1959,Unknown,99,8.079
116,Pather Panchali,MOVIE,['IN'],1955,Unknown,125,8.074
117,My Neighbor Totoro,MOVIE,['JP'],1988,G,87,8.068
118,Dave Chappelle: Killin' Them Softly,MOVIE,['US'],2000,Unknown,58,8.067
119,The Grand Budapest Hotel,MOVIE,['DE',2014,R,99,8.057
120,The Grand Budapest Hotel,MOVIE, 'US'],2014,R,99,8.057
121,Late Spring,MOVIE,['JP'],1949,Unknown,108,8.04
122,The Gold Rush,MOVIE,['US'],1925,Unknown,81,8.03
123,The Gold Rush,MOVIE,['US'],1942,Unknown,72,8.0
124,Which Way Home,MOVIE,['GT',2009,Unknown,90,8.029
125,Which Way Home,MOVIE, 'MX',2009,Unknown,90,8.029
126,Which Way Home,MOVIE, 'US'],2009,Unknown,90,8.029
127,The Wages of Fear,MOVIE,['FR',1953,PG-13,153,8.027
128,The Wages of Fear,MOVIE, 'IT'],1953,PG-13,153,8.027
129,Citizen Kane,MOVIE,['US'],1941,PG,119,8.022
130,Weathering with You,MOVIE,['JP',2019,PG-13,112,8.016
131,Weathering with You,MOVIE, 'CN'],2019,PG-13,112,8.016
132,Autumn Sonata,MOVIE,['DE',1978,PG,99,8.003
133,Autumn Sonata,MOVIE, 'SE'],1978,PG,99,8.003
134,The Treasure of the Sierra Madre,MOVIE,['US'],1948,Unknown,126,8.002
135,"Batman: The Dark Knight Returns, Part 2",MOVIE,['US'],2013,PG-13,78,8.0
136,Culpa,MOVIE,['US'],2022,Unknown,7,8.0
137,The Gold Rush,MOVIE,[],1925,Unknown,81,8.03
138,The Gold Rush,MOVIE,[],1942,Unknown,72,8.0
139,Ron's Gone Wrong,MOVIE,['GB',2021,PG,107,8.0
140,Ron's Gone Wrong,MOVIE, 'US'],2021,PG,107,8.0
141,Fists of Freedom: The Story of the '68 Summer Games,MOVIE,['US'],1999,Unknown,59,8.0
142,Queen of the World,MOVIE,['GB'],2018,PG,89,8.0
143,At the Ready,MOVIE,['US'],2021,PG-13,96,8.0
144,Bleed Out,MOVIE,['US'],2018,PG,87,8.0
145,Three Colors: Red,MOVIE,['FR',1994,R,99,8.0
146,Three Colors: Red,MOVIE, 'PL',1994,R,99,8.0
147,Three Colors: Red,MOVIE, 'CH'],1994,R,99,8.0
148,Moses Storm: Trash White,MOVIE,['US'],2022,R,60,8.0
149,On the Waterfront,MOVIE,['US'],1954,Unknown,108,8.0
150,The Latino List,MOVIE,['US'],2011,PG,60,8.0
151,"Rome, Open City",MOVIE,['IT'],1945,Unknown,100,8.0
152,By Design: The Joe Caroff Story,MOVIE,['US'],2022,Unknown,52,8.0
153,The Circus,MOVIE,['US'],1928,G,71,8.0
154,Cries and Whispers,MOVIE,['SE'],1973,R,91,8.0
155,Chungking Express,MOVIE,['HK'],1994,PG-13,97,8.0
156,Room,MOVIE,['GB',2015,R,117,8.0
157,Room,MOVIE, 'US',2015,R,117,8.0
158,Room,MOVIE, 'CA',2015,R,117,8.0
159,Room,MOVIE, 'IE'],2015,R,117,8.0
160,"Siempre, Luis",MOVIE,['US'],2020,Unknown,95,8.0
161,War Dog: A Soldier's Best Friend,MOVIE,['US'],2017,Unknown,69,8.0
162,Stolen Daughters: Kidnapped By Boko Haram,MOVIE,['GB'],2018,PG-13,79,8.0
163,Whitmer Thomas: The Golden One,MOVIE,['US'],2020,Unknown,63,8.0
164,Gone with the Wind,MOVIE,['US'],1940,G,238,8.0
165,Spring Awakening: Those You've Known,MOVIE,['US'],2022,R,83,8.0
166,Century of Animation Showcase: 1922,MOVIE,['US'],2022,G,60,8.0
167,Shouting Fire: Stories from the Edge of Free Speech,MOVIE,['US'],2009,Unknown,75,8.0
168,Last Letters Home,MOVIE,['US'],2004,Unknown,60,8.0
169,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,MOVIE,['US'],2021,Unknown,72,8.0
170,The Lord of the Rings: The Fellowship of the Ring (Extended Edition),MOVIE,['US'],2002,PG-13,208,8.0
171,Foster's Home for Imaginary Friends: Destination Imagination,MOVIE,['US'],2008,PG,66,8.0
172,Dark Light: The Art of Blind Photographers,MOVIE,['US'],2009,Unknown,30,8.0
173,The Red Shoes,MOVIE,['GB'],1948,Unknown,133,8.0
174,What I Feel for You,MOVIE,['PR',2018,Unknown,90,8.0
175,What I Feel for You,MOVIE, 'DO'],2018,Unknown,90,8.0
176,The Hero,MOVIE,['IN'],1966,Unknown,118,8.0
177,Chris Redd: Why Am I Like This?,MOVIE,['US'],2022,Unknown,59,8.0
178,A Trip to the Moon,MOVIE,['FR'],1902,Unknown,15,8.0
179,Castle in the Sky,MOVIE,['JP'],1986,PG,124,8.0
180,"War and Peace, Part IV: Pierre Bezukhov",MOVIE,['SU'],1967,Unknown,97,8.0
181,The Slow Hustle,MOVIE,['US'],2021,Unknown,90,8.0
182,Scooby-Doo! Camp Scare,MOVIE,['US'],2010,PG,72,7.998
183,Ugetsu,MOVIE,['JP'],1953,Unknown,96,7.99
184,George Carlin: Jammin' in New York,MOVIE,['US'],1992,Unknown,59,7.982
185,The Hidden Fortress,MOVIE,['JP'],1958,Unknown,139,7.98
186,When Marnie Was There,MOVIE,['JP'],2014,PG,103,7.979
187,Lawrence of Arabia,MOVIE,['GB'],1962,Unknown,228,7.977
188,Flipped,MOVIE,['US'],2010,PG,89,7.977
189,The Cranes Are Flying,MOVIE,['SU'],1957,Unknown,97,7.973
190,Raging Bull,MOVIE,['US'],1980,R,129,7.972
191,La Strada,MOVIE,['IT'],1954,Unknown,115,7.966
192,Limelight,MOVIE,['US'],1952,G,137,7.965
193,Before Sunrise,MOVIE,['US',1995,R,105,7.964
194,Before Sunrise,MOVIE, 'AT',1995,R,105,7.964
195,Before Sunrise,MOVIE, 'CH'],1995,R,105,7.964
196,Million Dollar Baby,MOVIE,['US'],2004,PG-13,132,7.962
197,Catch Me If You Can,MOVIE,['US'],2002,PG-13,141,7.96
198,For All Mankind,MOVIE,['US'],1989,PG-13,80,7.959
199,"War and Peace, Part I: Andrei Bolkonsky",MOVIE,['SU'],1966,Unknown,147,7.958
200,Hearts and Minds,MOVIE,['US'],1975,R,112,7.958
201,Throne of Blood,MOVIE,['JP'],1957,Unknown,110,7.956
202,La Notte,MOVIE,['FR',1961,Unknown,122,7.946
203,La Notte,MOVIE, 'IT'],1961,Unknown,122,7.946
204,Friends: The Reunion,MOVIE,['US'],2021,Unknown,104,7.939
205,What Ever Happened to Baby Jane?,MOVIE,['US'],1962,Unknown,134,7.937
206,Amarcord,MOVIE,['IT'],1973,R,123,7.934
207,No Country for Old Men,MOVIE,['US'],2007,R,122,7.934
208,Braveheart,MOVIE,['US'],1995,R,178,7.93
209,Whisper of the Heart,MOVIE,['JP'],1995,G,111,7.929
210,Nausicaä of the Valley of the Wind,MOVIE,['JP'],1984,PG,117,7.928
211,Divorce Italian Style,MOVIE,['IT'],1962,Unknown,108,7.926
212,Young Frankenstein,MOVIE,['US'],1974,PG,106,7.92
213,Scooby-Doo! Mask of the Blue Falcon,MOVIE,['US'],2013,G,78,7.911
214,The Battle of Algiers,MOVIE,['DZ',1966,Unknown,121,7.91
215,The Battle of Algiers,MOVIE, 'IT'],1966,Unknown,121,7.91
216,Teen Titans Go! vs. Teen Titans,MOVIE,['US'],2019,PG,76,7.9
217,Honeyland,MOVIE,['MK'],2019,Unknown,89,7.9
218,The Great Escape,MOVIE,['US'],1963,Unknown,172,7.9
219,Belle,MOVIE,['FR',2021,PG,122,7.9
220,Belle,MOVIE,['FR',2014,PG,104,7.2
221,Belle,MOVIE, 'JP'],2021,PG,122,7.9
222,Belle,MOVIE, 'JP'],2014,PG,104,7.2
223,The Shop on Main Street,MOVIE,['XC'],1965,PG,128,7.9
224,Diabolique,MOVIE,['FR'],1955,Unknown,118,7.9
225,Aparajito,MOVIE,['IN'],1956,Unknown,110,7.9
226,Solaris,MOVIE,['SU'],1972,PG,167,7.9
227,Umberto D.,MOVIE,['IT'],1952,Unknown,91,7.9
228,Le Samouraï,MOVIE,['FR',1967,PG,105,7.9
229,Le Samouraï,MOVIE, 'IT'],1967,PG,105,7.9
230,Pseudo,MOVIE,['BO'],2022,R,90,7.9
231,Robin Williams: Come Inside My Mind,MOVIE,['US'],2018,Unknown,116,7.9
232,The Oslo Diaries,MOVIE,['CA',2018,PG-13,94,7.9
233,The Oslo Diaries,MOVIE, 'IL'],2018,PG-13,94,7.9
234,Scooby-Doo! Shaggy's Showdown,MOVIE,['US'],2017,PG,80,7.9
235,Safety Last!,MOVIE,['US'],1923,Unknown,70,7.9
236,Justice League: The Flashpoint Paradox,MOVIE,['US'],2013,PG-13,75,7.9
237,To Be or Not to Be,MOVIE,['US'],1942,G,99,7.898
238,To Be or Not to Be,MOVIE,['US'],1983,PG,107,6.8
239,Gone Girl,MOVIE,['US'],2014,R,145,7.891
240,Scooby-Doo! and the Samurai Sword,MOVIE,['US'],2009,G,74,7.878
241,The Notebook,MOVIE,['US'],2004,PG-13,123,7.878
242,The Miracle Worker,MOVIE,['US'],1962,Unknown,106,7.875
243,Tampopo,MOVIE,['JP'],1987,Unknown,114,7.868
244,Batman and Superman: Battle of the Super Sons,MOVIE,['US'],2022,PG-13,79,7.867
245,Scooby-Doo! and the Goblin King,MOVIE,['US'],2008,G,75,7.862
246,Dances with Wolves,MOVIE,['US',1990,PG-13,181,7.86
247,Dances with Wolves,MOVIE, 'GB'],1990,PG-13,181,7.86
248,Scooby-Doo! Legend of the Phantosaur,MOVIE,['US'],2011,Unknown,75,7.851
249,Romeo Santos: Utopia Live from MetLife Stadium,MOVIE,['PR'],2021,Unknown,103,7.851
250,Kiki's Delivery Service,MOVIE,['JP'],1989,G,103,7.845
251,We Bare Bears: The Movie,MOVIE,['US'],2020,G,69,7.837
252,Dog Day Afternoon,MOVIE,['US'],1975,R,125,7.825
253,The Normal Heart,MOVIE,['US'],2014,NC-17,124,7.816
254,Spotlight,MOVIE,['CA',2015,R,129,7.813
255,Spotlight,MOVIE, 'US'],2015,R,129,7.813
256,Something the Lord Made,MOVIE,['US'],2004,PG,110,7.811
257,George Carlin: It's Bad for Ya!,MOVIE,['US'],2008,R,70,7.81
258,Through a Glass Darkly,MOVIE,['SE'],1961,Unknown,89,7.81
259,Wings of Desire,MOVIE,['FR',1993,PG-13,128,7.806
260,Wings of Desire,MOVIE, 'DE'],1993,PG-13,128,7.806
261,An Autumn Afternoon,MOVIE,['JP'],1962,Unknown,114,7.803
262,Brief Encounter,MOVIE,['GB'],1945,Unknown,86,7.8
263,Constantine: City of Demons - The Movie,MOVIE,['US'],2018,R,90,7.8
264,Terror at the Mall,MOVIE,[],2014,Unknown,60,7.8
265,Porco Rosso,MOVIE,['JP'],1992,PG,94,7.8
266,Ben-Hur,MOVIE,['US'],1959,G,212,7.8
267,Misery,MOVIE,['US'],1990,R,107,7.8
268,Farruko: En letra de otro,MOVIE,['US',2019,Unknown,47,7.8
269,Farruko: En letra de otro,MOVIE, 'PR'],2019,Unknown,47,7.8
270,The Bridge on the River Kwai,MOVIE,['GB',1957,PG,156,7.8
271,The Bridge on the River Kwai,MOVIE, 'US'],1957,PG,156,7.8
272,Who's Afraid of Virginia Woolf?,MOVIE,['US'],1966,Unknown,131,7.8
273,The Emperor's Newest Clothes,MOVIE,['US'],2018,Unknown,26,7.8
274,Scooby-Doo! Moon Monster Madness,MOVIE,['US'],2015,PG,72,7.8
275,The Art of Political Murder,MOVIE,['US'],2020,PG-13,89,7.8
276,Rosie O'Donnell: A Heartfelt Stand Up,MOVIE,['US'],2015,Unknown,59,7.8
277,Monsieur Verdoux,MOVIE,['US'],1947,Unknown,119,7.8
278,Mel Brooks and Dick Cavett Together Again,MOVIE,['US'],2011,Unknown,60,7.8
279,Vivre Sa Vie,MOVIE,['FR'],1962,Unknown,84,7.8
280,Scooby-Doo! Stage Fright,MOVIE,['US'],2013,PG,75,7.8
281,Before Sunset,MOVIE,['US'],2004,R,80,7.8
282,93Queen,MOVIE,['US'],2018,Unknown,90,7.8
283,Early Summer,MOVIE,['JP'],1951,Unknown,125,7.8
284,Tapia,MOVIE,['US'],2013,Unknown,81,7.8
285,Z,MOVIE,['DZ',1969,Unknown,127,7.8
286,Z,MOVIE, 'FR'],1969,Unknown,127,7.8
287,Magic & Bird: A Courtship of Rivals,MOVIE,['US'],2010,Unknown,88,7.8
288,Fanny and Alexander,MOVIE,['SE',1982,R,188,7.8
289,Fanny and Alexander,MOVIE, 'DE',1982,R,188,7.8
290,Fanny and Alexander,MOVIE, 'FR'],1982,R,188,7.8
291,Scooby-Doo! Frankencreepy,MOVIE,['US'],2014,PG,74,7.8
292,Scooby-Doo! Music of the Vampire,MOVIE,['US'],2012,G,79,7.8
293,Jane Fonda in Five Acts,MOVIE,['US'],2018,PG-13,133,7.8
294,Regular Show: The Movie,MOVIE,['US'],2015,Unknown,70,7.8
295,The Wind Rises,MOVIE,['JP'],2013,PG-13,126,7.786
296,Batman: Under the Red Hood,MOVIE,['US'],2010,PG-13,75,7.784
297,Donnie Darko,MOVIE,['US'],2001,R,113,7.784
298,They Shall Not Grow Old,MOVIE,['GB',2018,R,99,7.781
299,They Shall Not Grow Old,MOVIE, 'NZ',2018,R,99,7.781
300,They Shall Not Grow Old,MOVIE, 'TR'],2018,R,99,7.781
301,Scooby-Doo! Abracadabra-Doo,MOVIE,['US'],2010,G,75,7.78
302,A Woman Under the Influence,MOVIE,['US'],1974,R,155,7.776
303,The Dark Knight Rises,MOVIE,['US'],2012,PG-13,165,7.774
304,Fantastic Mr. Fox,MOVIE,['US'],2009,PG,87,7.774
305,The Color Purple,MOVIE,['US'],1985,PG-13,154,7.773
306,Elvis: That's the Way It Is,MOVIE,['US'],1970,G,97,7.766
307,King Richard,MOVIE,['US'],2021,PG-13,145,7.76
308,Rain Man,MOVIE,['US'],1988,R,133,7.759
309,Mystic River,MOVIE,['US'],2003,R,138,7.746
310,Selena,MOVIE,['US'],1997,PG,127,7.745
311,Dune,MOVIE,['US'],2021,PG-13,156,7.744
312,"Batman: The Dark Knight Returns, Part 1",MOVIE,['US'],2012,PG-13,76,7.744
313,Platoon,MOVIE,['US',1986,R,120,7.744
314,Platoon,MOVIE, 'GB'],1986,R,120,7.744
315,Ali: Fear Eats the Soul,MOVIE,['DE'],1974,Unknown,93,7.741
316,Ponyo,MOVIE,['JP',2008,G,101,7.734
317,Ponyo,MOVIE, 'US'],2008,G,101,7.734
318,Fallen Angels,MOVIE,['HK'],1995,Unknown,90,7.733
319,Kwaidan,MOVIE,['JP'],1965,Unknown,183,7.728
320,Temple Grandin,MOVIE,['US'],2010,Unknown,108,7.727
321,Berlin: Symphony of a Great City,MOVIE,['DE'],1927,Unknown,69,7.719
322,Cléo from 5 to 7,MOVIE,['FR',1962,Unknown,90,7.714
323,Cléo from 5 to 7,MOVIE, 'IT'],1962,Unknown,90,7.714
324,Hotel Rwanda,MOVIE,['US',2005,PG-13,121,7.71
325,Hotel Rwanda,MOVIE, 'IT',2005,PG-13,121,7.71
326,Hotel Rwanda,MOVIE, 'ZA',2005,PG-13,121,7.71
327,Hotel Rwanda,MOVIE, 'GB'],2005,PG-13,121,7.71
328,The Batman,MOVIE,['US'],2022,PG-13,175,7.709
329,The Red Balloon,MOVIE,['FR'],1956,Unknown,34,7.709
330,Cat on a Hot Tin Roof,MOVIE,['US'],1958,Unknown,108,7.705
331,Godzilla vs. Kong,MOVIE,['US'],2021,PG-13,113,7.702
332,Stagecoach,MOVIE,['US'],1939,Unknown,96,7.7
333,The Young Girls of Rochefort,MOVIE,['FR'],1967,G,120,7.7
334,Living With Lincoln,MOVIE,['US'],2015,Unknown,60,7.7
335,Slumdog Millionaire,MOVIE,['GB',2008,R,120,7.7
336,Slumdog Millionaire,MOVIE, 'US',2008,R,120,7.7
337,Slumdog Millionaire,MOVIE, 'FR'],2008,R,120,7.7
338,Good Morning,MOVIE,['JP'],1959,Unknown,94,7.7
339,A Streetcar Named Desire,MOVIE,['US'],1951,PG,125,7.7
340,Scooby-Doo! and WWE: Curse of the Speed Demon,MOVIE,['US'],2016,PG,72,7.7
341,Linda Ronstadt: The Sound of My Voice,MOVIE,['US'],2019,PG-13,95,7.7
342,"Crazy, Not Insane",MOVIE,['US'],2020,Unknown,117,7.7
343,Mildred Pierce,MOVIE,['US'],1945,Unknown,111,7.7
344,Little Miss Sunshine,MOVIE,['US'],2006,R,101,7.7
345,White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,MOVIE,['US'],2007,Unknown,86,7.7
346,Bright Lights: Starring Carrie Fisher and Debbie Reynolds,MOVIE,['US'],2017,Unknown,95,7.7
347,Scooby-Doo! The Sword and the Scoob,MOVIE,['US'],2021,Unknown,72,7.7
348,The Wild Bunch,MOVIE,['US'],1969,R,145,7.7
349,When We Were Kings,MOVIE,['US'],1997,PG,89,7.7
350,Belichick & Saban: The Art of Coaching,MOVIE,['US'],2019,PG,90,7.7
351,The Bee Gees: How Can You Mend a Broken Heart,MOVIE,['US'],2020,Unknown,111,7.7
352,The Big City,MOVIE,['IN'],1963,Unknown,136,7.7
353,Cobain: Montage of Heck,MOVIE,['US'],2015,Unknown,132,7.7
354,The Big Sleep,MOVIE,['US'],1946,Unknown,114,7.7
355,The Elephant God,MOVIE,['IN'],1979,Unknown,120,7.7
356,The Fallout,MOVIE,['US'],2022,R,92,7.7
357,Late Autumn,MOVIE,['JP'],1960,Unknown,128,7.7
358,The Walk,MOVIE,['GB'],2015,R,89,7.7
359,"Germany, Year Zero",MOVIE,['DE',1949,Unknown,72,7.7
360,"Germany, Year Zero",MOVIE, 'IT',1949,Unknown,72,7.7
361,"Germany, Year Zero",MOVIE, 'FR'],1949,Unknown,72,7.7
362,Teen Titans: Trouble in Tokyo,MOVIE,['US'],2006,G,75,7.7
363,Life of Crime 2,MOVIE,['US'],1998,Unknown,119,7.7
364,George Lopez: America's Mexican,MOVIE,['US'],2007,R,65,7.7
365,Onibaba,MOVIE,['JP'],1964,NC-17,105,7.699
366,My Night at Maud's,MOVIE,['FR'],1969,Unknown,100,7.698
367,Nightcrawler,MOVIE,['US'],2014,R,117,7.697
368,Batman Begins,MOVIE,['US',2005,PG-13,140,7.694
369,Batman Begins,MOVIE, 'GB'],2005,PG-13,140,7.694
370,Three Colors: Blue,MOVIE,['PL',1993,R,98,7.683
371,Three Colors: Blue,MOVIE, 'CH',1993,R,98,7.683
372,Three Colors: Blue,MOVIE, 'FR'],1993,R,98,7.683
373,All the President's Men,MOVIE,['US'],1976,PG,138,7.681
374,Under the Same Moon,MOVIE,['MX',2008,PG-13,106,7.674
375,Under the Same Moon,MOVIE, 'US'],2008,PG-13,106,7.674
376,What's Eating Gilbert Grape,MOVIE,['US'],1993,PG-13,118,7.672
377,Fantastic Planet,MOVIE,['FR',1973,PG,72,7.672
378,Fantastic Planet,MOVIE, 'XC'],1973,PG,72,7.672
379,I Vitelloni,MOVIE,['FR',1954,Unknown,103,7.671
380,I Vitelloni,MOVIE, 'IT'],1954,Unknown,103,7.671
