,Type,Title,Country,Director,Cast,Release Year,Date Added,Rating,Duration,Genres,Vote Average
843,TV Show,Magic for Humans,United States,Unknown,Justin Willman,2020,"May 15, 2020",TV-14,3 Seasons,"Reality TV, TV Comedies",8.6
1380,TV Show,Rilakkuma and Kaoru,"Japan, United States",Unknown,"Mikako Tabe, Soki Matsumoto, Takayuki Yamada, Mai Kanazawa, Shigeru Sugimoto, Issei Takubo, Kanako Nishiyama, Yuzuha Kobayashi, Masako Matsuno, Kana Odaira, Hitoshi Honma, Ayano Kinashi",2019,"April 19, 2019",TV-PG,1 Season,"Anime Series, International TV Shows",8.6
714,TV Show,Dérè: An African Tale,Unknown,Unknown,"Weruche Opia, Gbenro Ajibade, Ireti Doyle, Keppy Ekpenyong, Carol King, Shaffy Bello, Tosan Edremoda Ugbeye, Nina Iphechukwude Anyianuka, Pearl Nkiru Waturuocha, Emmanuel Ikubese, Omowunmi Dada, Paul Adams, Charles Ukpong, Monica Friday, Kevin Ushi",2016,"August 15, 2020",TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",8.6
2190,TV Show,Hotel Beau Séjour,Belgium,Unknown,"Lynn Van Royen, Inge Paulussen, Jan Hammenecker, Kris Cuppens, Johan van Assche, Katrin Lohmann, Mieke De Groote, Roel Vanderstukken, Joren Seldeslachts, Joke Emmers, Charlotte Timmers, Guus Bullen, Tiny Bertels, Reinhilde Decleir, Barbara Sarafian",2017,"March 16, 2017",TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",8.599
1285,TV Show,DreamWorks Kung Fu Panda Awesome Secrets,United States,Unknown,"Jack Black, Dustin Hoffman, Dennis Haysbert, Paul Scheer, Randall Duk Kim, David Cross, Jessica DiCicco, Jaycee Chan, Angelina Jolie, Seth Rogen, Tony Leondis",2008,"July 1, 2019",TV-PG,1 Season,"Kids' TV, TV Action & Adventure, TV Comedies",8.586
434,TV Show,Buried by the Bernards,United States,Unknown,Unknown,2021,"February 12, 2021",TV-14,1 Season,Reality TV,8.576
2444,TV Show,The Lady in Dignity,South Korea,Unknown,"Hee-seon Kim, Seon-a Kim, Sang-hun Jeong, Tae-im Lee, Ki-woo Lee",2017,"January 30, 2018",TV-MA,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",8.572
2349,TV Show,Power Rangers Zeo,"United States, France, Japan",Unknown,"Catherine Sutherland, Nakia Burrise, Steve Cardenas, Johnny Yong Bosch, Jason David Frank, David Yost, Austin St. John, Paul Schrier, Jason Narvy, Namihei Koshige, Danny Wayne, Akira Madden, David Stenstrom, Tadahiro Nakamura, Kerrigan Mahan",1996,"January 1, 2016",TV-Y7,1 Season,Kids' TV,8.567
121,TV Show,Hunter X Hunter (2011),Japan,Unknown,"Megumi Han, Mariya Ise, Keiji Fujiwara, Miyuki Sawashiro, Daisuke Namikawa",2014,"August 1, 2021",TV-14,6 Seasons,"Anime Series, International TV Shows",8.552
123,TV Show,Centaurworld,Unknown,Unknown,"Kimiko Glenn, Megan Hilty, Parvesh Cheena, Chris Diamantopoulos, Megan Nicole Dong, Jessie Mueller, Josh Radnor",2021,"July 30, 2021",TV-Y7,1 Season,"Kids' TV, TV Comedies",8.552
1634,TV Show,On Children,Taiwan,Unknown,"Chuan-Chen Yeh, Chung Hsin-ling, Frances Wu, Chiung-Hsuan Hsieh, Su-Yun Ko, Ivy Yin, Gingle Wang, Hsiu-Fu Liu, Tzu-Chuan Liu, Yu-Xuan Wang",2018,"August 5, 2018",TV-14,1 Season,"International TV Shows, TV Dramas, TV Mysteries",8.548
1174,TV Show,Creeped Out,"United Kingdom, Canada",Unknown,"Victoria Diamond, William Romain, Sydney Wade, Jennifer James, Daniel Ryan, Robert Styles, Rhys Gannon, Maeve Larkin, Margaret Jackman, Katie Proctor, Jonathan Blake, Maximus Evans, Anya Lawrence, Tiffany Elefano, Diya Kittur, Berkley Silverman, Malen Clarkson, Jason Done, Rosina Carbone, Boris Burnell Anderson, Macey Howarth, Rebecca Hanssen, William Haresceugh, Chris Jack, Zita Sattar, Acushla-Tara Kupe, Tillie Amartey, Isabella Pinto, Bella Band, Lola Ogunyemi, Elizabeth Bower, Gianluca Gallucci, Jacob Henshaw, Amelia Curtis, Romy Weltman, Justin Paul Kelly, Jordan Poole, Thamela Mpumlwana, Jake Sim, Leah Choudhry, Daniel Ogbeide-John, Emma Gregory, Rachel Leskovac, Andonis Anthony, Kyle Breitkopf, Julian Richings, Kathryn Emily Douglas",2019,"October 4, 2019",TV-PG,2 Seasons,"British TV Shows, Kids' TV, TV Thrillers",8.533
154,TV Show,My Unorthodox Life,Unknown,Unknown,Unknown,2021,"July 14, 2021",TV-MA,1 Season,Reality TV,8.531
2022,TV Show,American Experience: The Circus,United States,Sharon Grimberg,Unknown,2018,"May 2, 2019",TV-PG,1 Season,Docuseries,8.528
1908,TV Show,Star Trek: Deep Space Nine,United States,Unknown,"Avery Brooks, Nana Visitor, Rene Auberjonois, Cirroc Lofton, Alexander Siddig, Colm Meaney, Armin Shimerman, Terry Farrell, Michael Dorn",1999,"January 1, 2017",TV-14,7 Seasons,"TV Action & Adventure, TV Sci-Fi & Fantasy",8.528
516,TV Show,Marvel Anime: X-Men,Japan,Unknown,"Toshiyuki Morikawa, Rikiya Koyama, Katsunosuke Hori, Aya Hisakawa, Kaori Yamagata, Yoshiko Sakakibara, Yurika Hino, Yukari Tamura, Hideyuki Tanaka",2011,"December 16, 2020",TV-14,1 Season,"Anime Series, International TV Shows",8.525
700,TV Show,I AM A KILLER: RELEASED,"United Kingdom, United States",Unknown,Unknown,2020,"August 28, 2020",TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",8.518
1804,TV Show,Real Rob,United States,Unknown,"Rob Schneider, Patricia Schneider, Jamie Lissow, Miranda Scarlett Schneider",2017,"September 29, 2017",TV-MA,2 Seasons,TV Comedies,8.518
2078,TV Show,Castle of Stars,Unknown,Unknown,"Chaiyapol Pupart, Jintanutda Lummakanon, Worrawech Danuwong, Ornjira Lamwilai, Yong Armchair, Keerati Mahapreukpong, Akarat Nimitchai, Kornpassorn Duaysianklao, Nattapong Chartpong",2015,"September 7, 2018",TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",8.502
1091,TV Show,Narcoworld: Dope Stories,United States,Unknown,Unknown,2019,"November 22, 2019",TV-MA,1 Season,"Crime TV Shows, Docuseries",8.5
97,TV Show,Valeria,Spain,Inma Torrente,"Diana Gómez, Silma López, Paula Malia, Teresa Riott, Maxi Iglesias, Ibrahim Al Shami",2021,"August 13, 2021",TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",8.5
322,TV Show,Angelina Ballerina,Unknown,Unknown,Unknown,2010,"May 1, 2021",TV-Y,2 Seasons,"British TV Shows, Kids' TV",8.5
533,TV Show,The Expanding Universe of Ashley Garcia,United States,Unknown,"Paulina Chávez, Jencarlos Canela",2020,"December 9, 2020",TV-PG,3 Seasons,"Kids' TV, TV Comedies, Teen TV Shows",8.5
627,TV Show,Kipo and the Age of Wonderbeasts,United States,Unknown,"Karen Fukuhara, Sydney Mikayla, Deon Cole, Coy Stewart, Dee Bradley Baker, Sterling K. Brown, Dan Stevens, Jake Green, Steve Blum",2020,"October 12, 2020",TV-Y7,3 Seasons,"Kids' TV, TV Comedies",8.497
82,TV Show,Manifest,United States,Unknown,"Melissa Roxburgh, Josh Dallas, Athena Karkanis, J.R. Ramirez, Luna Blaise, Jack Messina, Parveen Kaur",2021,"August 21, 2021",TV-14,3 Seasons,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",8.484
676,TV Show,The Barrier,Spain,Unknown,"Unax Ugalde, Olivia Molina, Eleonora Wexler, Abel Folk, Ángela Molina, Manu Fullola, Daniel Ibáñez, Laura Quirós, Nicolás Illoro, Belén Écija, Juan Blanco, Yaima Ramos",2020,"September 11, 2020",TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",8.475
2408,TV Show,Tales of the City (1993),"United Kingdom, United States",Unknown,"Olympia Dukakis, Donald Moffat, Laura Linney, Marcus D'Amico, Billy Campbell, Thomas Gibson, Paul Gross, Barbara Garrick, Chloe Webb, Nina Foch, Parker Posey, Stanley DeSantis",1993,"June 28, 2019",TV-MA,1 Season,TV Dramas,8.466
370,TV Show,This Is a Robbery: The World's Biggest Art Heist,Unknown,Unknown,Unknown,2021,"April 7, 2021",TV-MA,1 Season,"Crime TV Shows, Docuseries, TV Mysteries",8.43
286,TV Show,The Adventures of Sonic the Hedgehog,"United States, Canada",Unknown,"Jaleel White, Long John Baldry, Garry Chalk",1993,"June 2, 2021",TV-Y7,1 Season,Kids' TV,8.419
1483,TV Show,The Paper,Croatia,Unknown,"Branka Katić, Trpimir Jurkic, Aleksandar Cvetković, Zijad Gračić, Olga Pakalović, Goran Markovic, Edita Karađole, Zdenko Jelcic, Tihana Lazovic, Mijo Jurišić, Dajana Čuljak, Alen Liverić, Anja Matković, Dragan Despot",2018,"January 1, 2019",TV-MA,2 Seasons,"International TV Shows, TV Dramas",8.413
1210,TV Show,The Spy,France,Unknown,"Sacha Baron Cohen, Noah Emmerich, Hadar Ratzon Rotem, Alexander Siddig, Waleed Zuaiter, Nassim Lyes",2019,"September 6, 2019",TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers",8.405
2327,TV Show,Planet Earth: The Complete Collection,United Kingdom,Alastair Fothergill,David Attenborough,2006,"April 22, 2015",TV-PG,1 Season,"British TV Shows, Docuseries, International TV Shows",8.4
98,TV Show,AlRawabi School for Girls,Jordan,Unknown,"Andria Tayeh, Rakeen Sa'ad, Noor Taher, Yara Mustafa, Joanna Arida, Salsabiela, Nadera Emran, Reem Saadeh",2021,"August 12, 2021",TV-14,1 Season,"International TV Shows, TV Dramas, Teen TV Shows",8.4
1952,TV Show,Be with You,Taiwan,Unknown,"Bobby Dou, Peijia Huang, Nylon Chen, Vivi Lee, Edison Wang, Serena Fang",2015,"October 1, 2016",TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",8.4
111,TV Show,Autumn's Concerto,Taiwan,Unknown,"Ady An, Vanness Wu, Ann Hsu, Wu Kang-ren, Xiao Xiao Bin",2009,"August 3, 2021",TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",8.4
1746,TV Show,Pokémon: Indigo League,Japan,Unknown,"Rica Matsumoto, Ikue Otani, Mayumi Iizuka, Megumi Hayashibara, Unsho Ishizuka",2000,"January 1, 2018",TV-Y7,1 Season,"Anime Series, Kids' TV",8.4
686,TV Show,Spirit Riding Free: Riding Academy,United States,Unknown,"Amber Frank, Bailey Gambertoglio, Sydney Park, Darcy Rose Byrnes, Rhys Darby",2020,"September 4, 2020",TV-Y7,2 Seasons,Kids' TV,8.4
435,TV Show,Chappelle's Show,United States,Unknown,Dave Chappelle,2005,"February 12, 2021",TV-MA,2 Seasons,TV Comedies,8.385
1864,TV Show,Singles Villa,China,Unknown,"Joe Cheng, Lulu Xu, Jiro Wang, Viann Zhang, Han Chengyu",2015,"June 10, 2017",TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",8.377
2462,TV Show,The Road to Calvary,Russia,Unknown,"Anna Chipovskaya, Yulia Snigir, Leonid Bichevin, Pavel Trubiner",2017,"September 1, 2018",TV-14,1 Season,"International TV Shows, TV Dramas",8.369
1758,TV Show,Halt and Catch Fire,United States,Unknown,"Lee Pace, Scoot McNairy, Mackenzie Davis, Kerry Bishé, Toby Huss, Aleksa Palladino, David Wilson Barnes, Morgan Hinkleman, James Cromwell, Manish Dayal, Annabeth Gish",2017,"December 14, 2017",TV-14,4 Seasons,TV Dramas,8.364
1834,TV Show,The IT Crowd,United Kingdom,Unknown,"Chris O'Dowd, Richard Ayoade, Katherine Parkinson, Matt Berry",2013,"August 1, 2017",TV-MA,5 Seasons,"British TV Shows, Classic & Cult TV, International TV Shows",8.363
1044,TV Show,Robot Trains,South Korea,Unknown,"Bill Rogers, Carrie Savage, Ken Spassione, Angela Mulligan, Mark Szabo, Daniel J. Edwards, Mike Pollock, Anthony Salerno",2018,"December 31, 2019",TV-Y7,2 Seasons,"Kids' TV, Korean TV Shows",8.363
832,TV Show,Especial 20 años Fútbol de Primera,Unknown,Unknown,Unknown,2020,"May 20, 2020",TV-14,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows",8.352
803,TV Show,ONE PIECE,Japan,Unknown,"Mayumi Tanaka, Akemi Okamura, Kazuya Nakai, Kappei Yamaguchi, Hiroaki Hirata, Ikue Otani, Yuriko Yamaguchi, Kazuki Yao, Cho",2002,"June 12, 2020",TV-14,4 Seasons,Anime Series,8.341
2388,TV Show,Skin Wars: Fresh Paint,United States,Unknown,RuPaul,2016,"December 15, 2018",TV-14,1 Season,Reality TV,8.34
1182,TV Show,Chicago Typewriter,South Korea,Unknown,"Yoo Ah-in, Im Soo-jung, Ko Kyoung-pyo, Kwak Si-yang, Jo Woo-jin, Yang Jin-sung, Jeon Soo-kyeong, Ji Dae-han, Chun Ho-jin",2017,"October 1, 2019",TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",8.332
2320,TV Show,Pasión de Gavilanes,"Colombia, United States",Unknown,"Danna García, Mario Cimarro, Paola Rey, Jorge Cao, Juan Alfonso Baptista, Michel Brown, Gloria Gómez, Kristina Lilley, Natasha Klauss, Ana Lucía Domínguez, Zharick León, Lorena Meritano",2003,"May 4, 2017",TV-14,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",8.329
425,TV Show,"Hello, Me!",South Korea,Unknown,"Choi Kang-hee, Kim Young-kwang, Lee Re, Um Mun-suk, Kim You-mi, Ji Seung-hyun, Yoon Joo-sang, Baek Hyun-joo, Kim Yong-rim, Kim Byung-choon, Yun Bok-in, Jung Yi-rang, Moon Seong-hyun, Kim Mi-hwa, Kim Do-yeon, Choi Dae-chul, Kang Tae-ju, Park Chul-min, Jung Dae-ro, Shin Mun-seong, Kim Ki-ri, Koh Woo-ri, Choi Tae-hwan",2021,"February 18, 2021",TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",8.318
2180,TV Show,Herrens veje,Denmark,Unknown,"Lars Mikkelsen, Ann Eleonora Jorgensen, Simon Sears, Morten Hee Andersen, Fanny Bernth, Joen Højerslev, Camilla Lau, Maj-Britt Mathiesen, Solbjørg Højfeldt, Johanne Dal-Lewkovitch",2018,"June 1, 2019",TV-MA,2 Seasons,"International TV Shows, TV Dramas",8.317
1169,TV Show,Beyblade Burst Turbo,Unknown,Unknown,"Laura Stahl, Billy Kametz, Derek Stephen Prince, Kyle McCarley, Brandon Winckler, Kimlinh Tran",2018,"October 10, 2019",TV-Y7,1 Season,"Anime Series, Kids' TV",8.316
1693,TV Show,Charité,Germany,Unknown,"Alicia von Rittberg, Maximilian Meyer-Bretschneider, Justus von Dohnányi, Matthias Koeberlin, Christoph Bach, Ernst Stötzner, Klara Deutschmann, Ramona Kunze-Libnow, Daniel Sträßer, Tanja Schleiff, Monika Oschek, Emilia Schüle, Matthias Brenner, Thomas Loibl",2017,"April 19, 2018",TV-MA,1 Season,"International TV Shows, TV Dramas",8.305
