,Type,Title,Country,Director,Cast,Release Year,Date Added,Rating,Duration,Genres,Vote Average
2020,Movie,Undercover Brother 2,United States,Leslie Small,"Michael Jai White, Vince Swann, Barry Bostwick, Laila Odom, Gary Owen, Affion Crockett, Steven Lee Johnson, Lindsay Lamb, Zac Zedalis, Cj Sykes",2019,"November 5, 2019",R,85 min,Comedies,9.0
1823,Movie,"Faith, Hope & Love",United States,Robert Krantz,"Robert Krantz, Peta Murgatroyd, Corbin Bernsen, Michael Richards, Nancy Stafford",2019,"February 4, 2020",PG,106 min,"Comedies, Faith & Spirituality, Romantic Movies",9.0
4835,Movie,Monster High: Fright On!,United States,"Victor Dal Chele, Alfred Gimeno","Kate Higgins, Debi Derryberry, Salli Saffioti, Laura Bailey, Yuri Lowenthal, Audu Paden, Cindy Robinson, Erin Fitzgerald, America Young, Ogie Banks",2011,"January 1, 2018",TV-Y7,46 min,Children & Family Movies,8.992
1857,Movie,Legend,"United Kingdom, France, United States",Brian Helgeland,"Tom Hardy, Emily Browning, David Thewlis, Duffy, Christopher Eccleston, Chazz Palminteri, Paul Bettany, Taron Egerton, Colin Morgan, Tara Fitzgerald",2015,"January 16, 2020",R,132 min,"Dramas, International Movies, Thrillers",8.905
1887,Movie,Road Trip: Beer Pong,United States,Steve Rash,"Nestor Aaron Absera, Julianna Guill, Preston Jones, Julia Levy-Boeken, Danny Pudi, Michael Trotter, Daniel Newman, DJ Qualls",2009,"January 1, 2020",R,97 min,Comedies,8.9
3681,Movie,'89,United Kingdom,Unknown,"Lee Dixon, Ian Wright, Paul Merson",2017,"May 16, 2018",TV-PG,87 min,Sports Movies,8.9
958,Movie,Bobbleheads The Movie,United States,Kirk Wise,"Jennifer Coolidge, Karen Fukuhara, Khary Payton, Julian Sands, Brenda Song, Luke Wilson, Cher",2020,"December 8, 2020",PG,83 min,"Children & Family Movies, Comedies",8.75
1577,Movie,Roped,United States,Shaun Paul Piccinino,"Josh Swickard, Casper Van Dien, Lorynn York, Christina Moore, John Schneider, Michael Roark, Shane Graham, Cooper Lundeen, Javicia Leslie, Spencer Neville",2020,"May 2, 2020",PG,90 min,"Children & Family Movies, Dramas, Romantic Movies",8.729
1580,Movie,Cracked Up: The Darrell Hammond Story,United States,Michelle Esrick,Darrell Hammond,2018,"May 1, 2020",TV-MA,97 min,Documentaries,8.7
1805,Movie,The Ghost and the Tout,Nigeria,Charles Uwagbai,"Toyin Abraham, Sambasa Nzeribe, Chioma Chukwuka Akpotha, Chioma Omeruah, Chiwetalu Agu, Dele Odule, Femi Adebayo, Bayray McNwizu, Biodun Stephen",2018,"February 14, 2020",TV-14,100 min,"Comedies, International Movies",8.6
2491,Movie,Virsa,"India, Pakistan",Pankaj Batra,"Arya Babbar, Kanwaljeet Singh, Gulshan Grover, Mehreen Raheel, Aparna Sharma, Aman Dhaliwal, Noman Ijaz",2010,"January 30, 2019",TV-14,127 min,"Dramas, International Movies, Music & Musicals",8.6
3906,Movie,Barbie in Princess Power,United States,Zeke Norton,"Kelly Sheridan, Britt Irvin, Michael Kopsa, Rebecca Husain, Kira Tozer",2015,"October 1, 2017",TV-Y,74 min,Children & Family Movies,8.6
1807,Movie,French Toast,South Africa,"Paul Krüger, Anél Stolp","Lika Berning, Thierry Ballarin, Deon Lotz, Heléne Lombard, Paul du Toit, Roberta Fox, Trudi Conradie, Rod Alexander, Lochner De Kock, Tony Caprari",2015,"February 12, 2020",TV-PG,86 min,"Comedies, International Movies, Romantic Movies",8.6
2844,Movie,Bareilly Ki Barfi,India,Ashwiny Iyer Tiwari,"Ayushmann Khurrana, Kriti Sanon, Rajkummar Rao, Pankaj Tripathi, Seema Pahwa, Rohit Chaudhury, Swati Semwal",2017,"August 21, 2018",TV-14,110 min,"Comedies, Dramas, International Movies",8.586
4050,Movie,Catwalk: Tales from the Cat Show Circuit,Canada,"Aaron Hancox, Michael McNamara",Unknown,2018,"January 7, 2019",TV-PG,75 min,"Documentaries, International Movies",8.545
1886,Movie,Riot,,John Lyde,"Matthew Reese, Dolph Lundgren, Danielle Chuchran, Chuck Liddell, Michael Flynn, Renny Grames, Eve Mauro, Melanie Stone, Michaela McAllister, Amy Sturdivant",2015,"January 1, 2020",TV-MA,88 min,Action & Adventure,8.5
3874,Movie,Avengers: Infinity War,United States,"Anthony Russo, Joe Russo","Robert Downey Jr., Josh Brolin, Mark Ruffalo, Tom Hiddleston, Chris Evans, Chris Hemsworth, Jeremy Renner, Chris Pratt, Elizabeth Olsen, Sebastian Stan, Benedict Cumberbatch, Paul Bettany, Cobie Smulders, Benedict Wong, Zoe Saldana, Karen Gillan, Vin Diesel, Dave Bautista, Bradley Cooper, Pom Klementieff, Scarlett Johansson, Benicio Del Toro, Anthony Mackie, Chadwick Boseman, Danai Gurira, Paul Rudd, Don Cheadle, Tom Holland",2018,"December 25, 2018",PG-13,150 min,"Action & Adventure, Sci-Fi & Fantasy",8.5
2927,Movie,Jani Dueñas: Grandes fracasos de ayer y hoy,Chile,"Raúl Campos, Jan Suter",Jani Dueñas,2018,"June 29, 2018",TV-MA,77 min,Stand-Up Comedy,8.5
1561,Movie,Have a Good Trip: Adventures in Psychedelics,United States,Donick Cary,"Nick Offerman, Adam Scott",2020,"May 11, 2020",TV-MA,86 min,Documentaries,8.5
983,Movie,Natalie Palamides: Nate - A One Man Show,United States,Phil Burgers,Natalie Palamides,2020,"December 1, 2020",TV-MA,60 min,Comedies,8.462
2589,Movie,Vir Das: Losing It,United States,Marcus Raboy,Vir Das,2018,"December 11, 2018",TV-MA,68 min,Stand-Up Comedy,8.436
4242,Movie,End of Watch,United States,David Ayer,"Jake Gyllenhaal, Michael Peña, Natalie Martinez, Anna Kendrick, David Harbour, Frank Grillo, America Ferrera, Cle Sloan, Jaime FitzSimons, Cody Horn, Shondrella Avery, America Ferrara",2012,"November 23, 2019",R,109 min,Action & Adventure,8.41
3773,Movie,Aarakshan,India,Prakash Jha,"Amitabh Bachchan, Saif Ali Khan, Manoj Bajpayee, Deepika Padukone, Prateik, Tanvi Azmi, Saurabh Shukla, Darshan Jariwala, Yashpal Sharma, Mukesh Tiwari",2011,"December 31, 2019",TV-14,164 min,"Dramas, International Movies",8.402
4100,Movie,Clouds of Sils Maria,"France, Germany, Switzerland",Olivier Assayas,"Juliette Binoche, Kristen Stewart, Chloë Grace Moretz, Lars Eidinger, Johnny Flynn, Angela Winkler, Hanns Zischler, Brady Corbet",2014,"February 12, 2017",R,124 min,"Dramas, International Movies",8.4
166,Movie,Untold: Deal With the Devil,,Laura Brownson,Unknown,2021,"August 18, 2021",TV-MA,78 min,"Documentaries, LGBTQ Movies, Sports Movies",8.4
4280,Movie,Fifty,Nigeria,Biyi Bandele,"Dakore Akande, Ireti Doyle, Nse Ikpe-Etim, Omoni Oboli",2015,"December 28, 2015",NR,101 min,"Dramas, International Movies",8.385
1138,Movie,Disco Dancer,India,B. Subhash,"Mithun Chakraborty, Kim, Kalpana Iyer, Om Puri, Gita Siddharth, Yusuf Khan, Bob Christo, Om Shivpuri, Karan Razdan",1982,"October 12, 2020",TV-14,134 min,"Cult Movies, Dramas, International Movies",8.383
340,Movie,Hampstead,"United Kingdom, Belgium",Joel Hopkins,"Diane Keaton, Brendan Gleeson, Lesley Manville, Jason Watkins, James Norton, Phil Davis",2019,"July 1, 2021",PG-13,103 min,"Comedies, Dramas, International Movies",8.365
2489,Movie,Hantu Kak Limah,Malaysia,Mamat Khalid,"Awie, Arab Khalid, Sharwani Ns, Tj Isa, Delimawati, Zul Ariffin, Uqasha Senrose, Ropie Cecupak",2018,"January 31, 2019",TV-PG,110 min,"Comedies, Horror Movies, International Movies",8.333
4075,Movie,China Salesman,China,Tan Bing,"Li Dong Xue, Mike Tyson, Steven Seagal, Janicke Askevold, Li Ai, Eriq Ebouaney, Clovis Fouin, Wang Zijian",2017,"September 24, 2018",TV-MA,111 min,"Action & Adventure, International Movies",8.32
3728,Movie,50/50,United States,Jonathan Levine,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard, Anjelica Huston, Serge Houde, Andrew Airlie, Matt Frewer, Philip Baker Hall, Marie Avgeropoulos, Jessica Parker Kennedy",2011,"June 1, 2019",R,100 min,"Comedies, Dramas, Independent Movies",8.3
476,Movie,Million Dollar Baby,United States,Clint Eastwood,"Clint Eastwood, Hilary Swank, Morgan Freeman, Anthony Mackie, Jay Baruchel, Mike Colter, Lucia Rijker, Brían F. O'Byrne, Margo Martindale, Riki Lindhome",2004,"June 2, 2021",PG-13,133 min,"Dramas, Sports Movies",8.3
334,Movie,Boogie Nights,United States,Paul Thomas Anderson,"Mark Wahlberg, Burt Reynolds, Julianne Moore, Heather Graham, William H. Macy, Don Cheadle, Philip Seymour Hoffman, Luis Guzmán, John C. Reilly, Philip Baker Hall",1997,"July 1, 2021",R,155 min,"Comedies, Dramas, Independent Movies",8.281
1421,Movie,Kasanova,Nigeria,Oluseyi Asurf,"Wale Ojo, Ireti Doyle, Alvin Abayomi, Toyin Abraham, Ruby Akubueze, Chimezie Imo, Tomiwa Tegbe",2019,"June 26, 2020",TV-14,117 min,"Comedies, International Movies, Romantic Movies",8.278
2823,Movie,Reversing Roe,United States,Unknown,"Ricki Stern, Annie Sundberg",2018,"September 13, 2018",TV-14,100 min,Documentaries,8.274
849,Movie,Homefront,United States,Gary Fleder,"Jason Statham, James Franco, Izabela Vidovic, Kate Bosworth, Marcus Hester, Clancy Brown, Winona Ryder, Omar Benson Miller, Rachelle Lefevre, Frank Grillo, Chuck Zito, Pruitt Taylor Vince",2013,"January 18, 2021",R,100 min,Action & Adventure,8.265
2071,Movie,Eli,United States,Ciarán Foy,"Charlie Shotwell, Lili Taylor, Kelly Reilly, Max Martini, Sadie Sink, Deneen Tyler, Katia Gomez",2019,"October 18, 2019",TV-MA,98 min,Horror Movies,8.261
3273,Movie,Enter the Warriors Gate,"France, Canada, China, Cambodia",Matthias Hoene,"Jeff Daniels, Jack O'Connell, Michelle Dockery, Scoot McNairy, Merritt Wever, Thomas Brodie-Sangster, Francis Ng, Ni Ni",2016,"August 5, 2017",PG-13,105 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy",8.246
1856,Movie,Jezebel,United States,Numa Perrier,"Tiffany Tenille, Numa Perrier, Stephen Barrington, Bobby Field, Rockwelle Dortch, Zoe Tyson, Dennis Jaffee, Jessa Zarubica, RiRia, Charlie Taylor, Amy Aitken, Brett Gelman",2019,"January 16, 2020",TV-MA,86 min,"Dramas, Independent Movies",8.24
5031,Movie,Pimpal,India,Gajendra Ahire,"Dilip Prabhavalkar, Priya Bapat, Kishore Kadam, Vrinda Gajendra, Alok Rajwade, Sakhi Gokhale",2017,"November 15, 2018",TV-PG,92 min,"Dramas, Independent Movies, International Movies",8.224
2904,Movie,The Legacy of a Whitetail Deer Hunter,United States,Jody Hill,"Josh Brolin, Danny McBride, Montana Jordan, Scoot McNairy, Carrie Coon",2018,"July 6, 2018",TV-14,83 min,"Action & Adventure, Comedies, Dramas",8.214
2714,Movie,How to Get Over a Breakup,Peru,"Joanna Lombardi, Bruno Ascenzo","Gisela Ponce de León, Karina Jordán, Jely Reátegui, Andrés Salas, Christopher Von Uckermann, Carlos Carlín",2018,"October 20, 2018",TV-MA,104 min,"Comedies, International Movies, Romantic Movies",8.2
2624,Movie,The World Is Yours,France,Romain Gavras,"Isabelle Adjani, Karim Leklou, François Damiens, Vincent Cassel, Oulaya Amamra",2018,"November 30, 2018",TV-MA,101 min,"Action & Adventure, Comedies, International Movies",8.2
3947,Movie,Beyond the Clouds,"India, Iran",Majid Majidi,"Ishaan Khattar, Malavika Mohanan, Goutam Ghose, Sharada, Tannishtha Chatterjee, Shashank Shende, Hema Singh, Akash Gopal",2018,"August 10, 2018",TV-14,120 min,"Dramas, Independent Movies, International Movies",8.2
1136,Movie,Fida,India,Ken Ghosh,"Fardeen Khan, Kareena Kapoor, Shahid Kapoor, Kim Sharma, Akhilendra Mishra",2004,"October 13, 2020",TV-14,117 min,"International Movies, Romantic Movies, Thrillers",8.2
4019,Movie,Bullitt County,United States,David McCracken,"Mike C. Nelson, Jenni Melear, David McCracken, Napoleon Ryan, Dorothy Lyman, Richard Riehle",2018,"June 1, 2019",TV-MA,98 min,"Independent Movies, Thrillers",8.2
870,Movie,Charming,"Canada, United States, Cayman Islands",Ross Venokur,"Wilmer Valderrama, Demi Lovato, Sia, Nia Vardalos, Ashley Tisdale, Avril Lavigne, G.E.M., John Cleese, Chris Harrison, Dee Bradley Baker, Carlos Alazraqui",2021,"January 8, 2021",TV-Y7,85 min,"Children & Family Movies, Comedies",8.2
3907,Movie,Barbie in Rock 'N Royals,United States,Karen J. Lloyd,"Kelly Sheridan, Chiara Zanni, Bethany Brown, Devyn Dalton, Michael Dobson, Brynna Drummond, Rachel Harrison, Alessandro Juliani, Peter Kelamis, Omari Newton, Ingrid Nilson, Nicole Oliver, Shaun Smyth, Kira Tozer",2015,"October 1, 2017",TV-Y,83 min,Children & Family Movies,8.2
3683,Movie,​Maj Rati ​​Keteki,India,Santwana Bardoloi,"Adil Hussain, Shakil Imtiaz, Mahendra Rabha, Sulakshana Baruah, Rahul Gautam Sarma, Kulada Bhattacharjya, Indu Mohan Das, Moumita Talukdar",2017,"September 15, 2018",TV-14,117 min,"Dramas, International Movies",8.2
1660,Movie,Born Beautiful,Philippines,Perci Intalan,"Martin del Rosario, Lou Veloso, Chai Fonacier, Kiko Matos, Akihiro Blanco, Paolo Ballesteros",2019,"April 8, 2020",TV-MA,96 min,"Comedies, Dramas, International Movies",8.2
1358,Movie,Sylvia,Nigeria,Daniel Oriahi,"Chris Attoh, Zainab Balogun, Ini Dima-Okojie, Udoka Onyeka, Lord Frank, Bolaji Ogunmola, Ijeoma Grace Agu, Omotunde Adebowale David",2018,"July 15, 2020",TV-14,104 min,"Dramas, International Movies, Thrillers",8.199
3104,Movie,The Open House,"Canada, United States","Matt Angel, Suzanne Coote","Dylan Minnette, Piercey Dalton, Patricia Bethune, Sharif Atkins, Aaron Abrams, Edward Olson, Katie Walder, Paul Rae",2018,"January 19, 2018",TV-MA,95 min,"Horror Movies, Thrillers",8.196
