,Type,Title,Country,Director,Cast,Release Year,Rating,Duration,Genres,Vote Average
503,TV Show,Man's World,IN,Unknown,"Gaurav Pandey, Gurpreet Saini, Shikha Talsania, Nivedita Shukla, Ramakant Dayma, Ranjini Chakraborty, Silky Khanna, Parineeti Chopra, Kalki Koechlin, Richa Chadda, Soni Razdan, Pritish Nandy, Rhea Chakraborty, Bhumi Pednekar, Miss Malini, Cyrus Sahukar, Shweta Tripathi, Priyanka Bose, Nidhi Singh, Naveen Kasturia, Meiyang Chang, Aditi Singh Sharma, Anupama Chopra, Aditi Mittal",2015,16+,1 Season,Comedy,8.588
1019,TV Show,Dolly's Stories,CN,Unknown,Unknown,2018,ALL,1 Season,"Animation, Kids",8.583
800,TV Show,Colourcloud Palace,IN,Unknown,Unknown,2006,13+,1 Season,"Action, Animation, Anime",8.564
183,TV Show,The First 48 Presents: Homicide Squad Atlanta,US,Unknown,Adam III Lee,2019,TV-14,1 Season,TV Shows,8.558
1374,TV Show,The Z Virus,Unknown,Unknown,Freddie De Grate,2017,18+,1 Season,"Action, Science Fiction",8.5
730,TV Show,Elfen Lied,JP,Unknown,"Kira Vincent-Davis, Adam Conlon",2005,TV-NR,1 Season,Anime,8.472
906,TV Show,Anzac Girls,AU,Unknown,"Georgia Flood, Antonia Prebble, Laura Brent",2014,TV-MA,1 Season,Drama,8.353
75,TV Show,Tom's Paint Shop,Unknown,Unknown,Unknown,2019,ALL,2 Seasons,"Animation, Kids",8.333
78,TV Show,Tom Gleeson: Joy,Unknown,Unknown,Tom Gleeson,2020,16+,1 Season,TV Shows,8.333
1202,TV Show,Founding,CN,Unknown,"Sergey Denga, Euphrosyne Melnik, Ksenia Mishina, Olesya Vlasova, Daniil Mireshkin, Shorena Shonia",2019,16+,1 Season,Drama,8.328
1201,TV Show,Shadow Society,CN,Unknown,"Christopher Reilly, Paul Venier, Jenna Jace, Christopher Pickhardt, Steve Lugo, Alberto Couto",2021,18+,1 Season,Science Fiction,8.328
285,TV Show,Shock and Awe: The Story of Electricity,GB,Unknown,Jim Al-Khalili,2011,ALL,1 Season,Documentary,8.317
1246,TV Show,Love And War,JP,Unknown,"Jay Thomas, Annie Potts, Joanna Gleaon",1995,TV-14,1 Season,TV Shows,8.3
1230,TV Show,Outrageous Vacation Videos,IE,Unknown,Eric Boardman,1999,TV-G,1 Season,Documentary,8.29
363,TV Show,Prime Rewind: Inside The Boys,Unknown,Unknown,"Aisha Tyler, Karl Urban, Laz Alonso",2020,18+,1 Season,Talk Show and Variety,8.286
1418,TV Show,Last Frontier,US,Unknown,"Lon Chaney jr, Dorothy Gulliver",1932,TV-NR,1 Season,"Special Interest, Western",8.28
1275,TV Show,LOL - Enga Siri Paappom,IN,Unknown,"Padmashri Vivek,  Shiva,  Abishek,  Baggy,  Harathi,  Maya S,  Powerstar Srinivasan,  Premgi,  Pugazh,  Sathish,  Syama Harini,  RJ Vignesh",2021,16+,1 Season,Unscripted,8.274
838,TV Show,Busytown Mysteries,CA,Unknown,"Kevin Dennis, Joanne Vannicola, Paul Wensley, Ellie Ellwand, Julie Lemieux, Richard Binsley",2009,ALL,1 Season,"Animation, Kids",8.242
867,TV Show,"Big Dreams, Small Spaces",GB,Unknown,Monty Don,2014,ALL,1 Season,"Special Interest, Unscripted",8.208
660,TV Show,God of Lost Fantasy,CN,Unknown,"Shen Yilun, Wang Ziwen",2020,13+,1 Season,"Action, Drama",8.2
30,TV Show,Wild Kratts,CA,Unknown,"Chris Kratt, Martin Kratt, Athena Karkanis, Jonathan Malen, Heather Bambrick, Zachary Bennett, Eva Almos, Cory Doran, Gavin Kratt, Aidan Kratt, Ronan Kratt, Addison Holley, Maya Lowe, Paige Roughely, Emilia McCarthy, Zoe Fraser, Rachel Marcus, Nolan Kratt, Julie Lemieux, Amariah Faulkner, Christian Martyn, Jacob Ewaniuk, Jaclyn Forbes, Ian Hanson, Aiden Kratt, Charles Vandervaart, Jenna Warren",2011,TV-Y,1 Season,Kids,8.2
1028,TV Show,Foxpro Hunting,CN,Unknown,"Mike Dillon, Al Morris, Abner Druckenmiller",2018,13+,1 Season,Sports,8.196
1031,TV Show,A Murderous Affair in Horizon Tower,CN,Unknown,"Yang Zi Shan, Guo Tao, Angelababy, Lu Yu Lai, Rexen Cheng, Baby Zhang, Ma Liang, Ma Xiao Yuan",2020,13+,1 Season,Drama,8.196
1346,TV Show,Pet Alien Season 1,GB,Unknown,Unknown,2005,TV-Y7,1 Season,"Animation, Comedy, Kids",8.143
542,TV Show,Learn with Ted The Train,CN,Unknown,Unknown,2017,ALL,1 Season,"Animation, Kids, Special Interest",8.126
626,TV Show,Hoarders,US,Unknown,"Matt Paxton, Robin Zasio",2012,TV-PG,5 Seasons,"Documentary, Drama, Unscripted",8.125
389,TV Show,Pinkfong! Halloween Songs,GB,Unknown,Unknown,2017,ALL,3 Seasons,"Animation, Kids",8.125
1390,TV Show,Preacher,US,Unknown,Unknown,2019,TV-MA,4 Seasons,TV Shows,8.117
403,TV Show,Pinkfong! Baby Shark Special,GB,Unknown,Unknown,2017,ALL,1 Season,Kids,8.1
1352,TV Show,The Collection,GB,Unknown,"Mamie Gummer, Jenna Thiam, Max Deacon, Richard Coyle, Tom Riley, Frances de la Tour",2017,16+,1 Season,"Drama, Historical",8.1
1353,TV Show,Momo DIY,GB,Unknown,Unknown,2014,TV-Y,5 Seasons,"Animation, International, Kids",8.1
778,TV Show,Cucumber,GB,Unknown,"Vincent Franklin, Freddie Fox, Julie Hesmondhalgh, Cyril Nri, Fisayo Akinade, Con O'Neill, James Murray, Ceallach Spellman",2015,TV-MA,1 Season,TV Shows,8.091
187,TV Show,The Fades,GB,Unknown,"Iain De Caestecker, Daniel Kaluuya, Tom Ellis, Natalie Dormer",2011,TV-14,1 Season,Drama,8.086
185,TV Show,The FBI Files,US,Unknown,"James Kallstrom, Anthony D. Call, John Alcorn, Charla Bather",2002,16+,7 Seasons,Documentary,8.086
909,TV Show,Anne Edmonds: What's Wrong With You?,CA,Unknown,Anne Edmonds,2020,16+,1 Season,"Arts, Entertainment, and Culture",8.07
910,TV Show,Animal Mechanicals,CA,Unknown,Unknown,2011,TV-Y,2 Seasons,"Animation, Kids",8.07
676,TV Show,Garden Invaders,GB,Unknown,"Charlie Dimmock, Andy Sturgeon, Mark Evans, Joe Swift",2000,13+,1 Season,"Documentary, Special Interest",8.052
1081,TV Show,Flack,GB,Unknown,"Anna Paquin, Lydia Wilson, Sophii Okonedo, Rebecca Benson, Genevieve Angelson, Rufus Jones, Arinze Kene, Andrew Leung",2021,16+,2 Seasons,"Comedy, Drama",8.03
212,TV Show,The Amazing Race,US,Unknown,Phil Keoghan,2017,TV-PG,29 Seasons,TV Shows,8.002
1270,TV Show,Booba,RU,Unknown,"Artem Kretov, Elena Solovieva, Vyacheslav Kataev, Roman Karev, Elena Kareva",2021,ALL,1 Season,"Animation, Kids",8.0
776,TV Show,Cultureshock,Unknown,Unknown,"Judd Apatow, Steve Bannos",2018,TV-14,1 Season,Documentary,8.0
1109,TV Show,Bubble Bip,CN,Unknown,"Marc Gómez, Christina Jopling, Cydney Fam, Michael Mena, Paula Barros",2015,7+,2 Seasons,"Animation, Kids",8.0
292,TV Show,Seven Senses of the Re’Union,JP,Unknown,"Kengo Takanashi, Nichika Ohmori, Akari Kito, Kaito Ishikawa, Takuma Terashima",2018,TV-NR,1 Season,TV Shows,8.0
1253,TV Show,Tayo's Summer Song Series,KR,Unknown,Unknown,2020,ALL,1 Season,"Animation, Kids",8.0
416,TV Show,Peekaboo I See You Series,CA,Unknown,Unknown,2015,ALL,1 Season,"Animation, Kids",8.0
291,TV Show,Shaitaan Haveli,IN,Unknown,"Bhupesh Singh, Varun Thakur, Neha Chauhan, Pippa Hughes, Monica Gupta",2018,TV-NR,1 Season,Comedy,8.0
841,TV Show,Buffy The Vampire Slayer,US,Unknown,"Sarah Michelle Gellar, Nicholas Brendon, Alyson Hannigan",2003,TV-14,7 Seasons,"Action, Adventure, Drama",8.0
418,TV Show,Paula's Home Cooking,US,Unknown,Unknown,2002,TV-G,12 Seasons,Special Interest,8.0
278,TV Show,Sing-Along-Songs For Kids,US,Unknown,Jolly Jingle Works,2013,ALL,1 Season,Kids,8.0
1075,TV Show,Can You Dream of More,GB,Unknown,"Aleksandra Sizonenko, Vlad Nikityuk, Irina Verenich-Ostrovskaya, Sergey Dzyalik",2020,16+,1 Season,Drama,8.0
541,TV Show,Legend of Bruce Lee,CN,Unknown,"Danny Chan, Michael Jai White, Ray Park, Michelle Lang",2008,TV-NR,1 Season,"Action, Adventure, International",7.997
621,TV Show,Honest Men,US,Unknown,"Tripp Ali, Donta Hensley, King David, Gary Lavard, Devon Toran",2017,TV-NR,1 Season,"Drama, LGBTQ, Suspense",7.95
641,TV Show,H2O: Just Add Water,AU,Unknown,"Cariba Heine, Phoebe Tonkin, Angus McLaren",2010,TV-PG,3 Seasons,Kids,7.929
637,TV Show,Hangar 1: The UFO Files,US,Unknown,"Nik Petcov, Cornell Womack",2015,TV-PG,2 Seasons,"Science Fiction, Suspense, Unscripted",7.929
908,TV Show,Annedroids,CA,Unknown,"Addison Holley, Jadiel Dowlin, Adrianna Di Liello",2017,ALL,4 Seasons,Kids,7.9
