,Type,Title,Country,Director,Cast,Release Year,Rating,Duration,Genres,Vote Average
651,TV Show,Grand Prix Driver,US,Unknown,Michael Douglas,2018,7+,1 Season,"Documentary, Sports",7.585
411,TV Show,Peter Allen: Not The Boy Next Door,AU,Unknown,"Joe Jackson, Rebecca Gibney, Sara West, Rob Mills, Ky Baldwin, Sigrid Thornton",2015,18+,1 Season,TV Shows,7.571
546,TV Show,Ladyboys: Inside Thailand's Third Gender,Unknown,Unknown,Unknown,2014,18+,1 Season,"Documentary, International",7.5
687,TV Show,Frontline: Trump's Showdown,CA,Unknown,Unknown,2018,TV-PG,1 Season,"Documentary, Special Interest",7.5
795,TV Show,Comrade Detective,US,Unknown,"Channing Tatum, Joseph Gordon-Levitt, Jenny Slate, Chloe Sevigny, Nick Offerman, Jake Johnson, Jason Mantzoukas, Beck Bennett",2017,18+,1 Season,Comedy,7.5
845,TV Show,Bread Barbershop,KR,Unknown,Unknown,2020,ALL,1 Season,"Animation, Kids",7.5
1126,TV Show,Lucky Fred,ES,Unknown,"Rupert Degas, Paul Kaye, Elizabeth Sankey",2009,7+,1 Season,"Action, Animation, Kids",7.5
461,TV Show,My Kitchen Rules New Zealand,Unknown,Unknown,Ben Bayly,2016,13+,4 Seasons,Special Interest,7.5
793,TV Show,Corazon Contento,MX,Unknown,"Enrique Altamira, Blanca Echeverria, Jimena Picos, Augusto Palma",2018,TV-NR,1 Season,Comedy,7.5
404,TV Show,Pinkfong! Baby Shark Sing Along,GB,Unknown,Unknown,2019,ALL,3 Seasons,"Animation, Kids",7.464
1419,TV Show,Killer Kids,Unknown,Unknown,Unknown,2013,TV-14,1 Season,"Documentary, Special Interest",7.464
407,TV Show,Picnic at Hanging Rock,AU,Unknown,"Natalie Dormer, Lily Sullivan, Lola Bessis, Harrison Gilbertson, Samara Weaving",2018,16+,1 Season,Drama,7.464
293,TV Show,Series_Project_UN_Test_UHD,JP,Unknown,"Test Actor 1, Test Actor 2",2020,TV-G,1 Season,"Comedy, Drama",7.452
297,TV Show,Seeing Canada,Unknown,Unknown,Brandy Yanchyk,2019,13+,2 Seasons,"Documentary, Special Interest",7.452
691,TV Show,Free Meek,US,Unknown,Meek Mill,2019,18+,1 Season,"Documentary, Drama, Special Interest",7.436
840,TV Show,Burn Notice,US,Unknown,"Bruce Campbell, Kiele Sanchez, RonReaco Lee",2011,TV-PG,8 Seasons,Drama,7.417
1131,TV Show,The Adventures of Joe Coodryette,GB,Unknown,"Jason Pasnikowski, Ed Hennessy, Bernard Friedland",2021,7+,1 Season,"Animation, Kids",7.417
27,TV Show,Wipeout Australia,AU,Unknown,"James Brayshaw, Josh Lawson, Kelly Landry",2009,7+,1 Season,"Comedy, Documentary, Unscripted",7.412
991,TV Show,GameOn Titans,AT,Unknown,"Sam Seum, Lance ""Powerbang"" Frisbee, Andrea AKA AleDreamGameOn, Coda AKA GymLeaderCoda, Eric AKA TygurStyle, Lukas AKA RealBluTV, Nola AKA NovaLightSky, Reese AKA LowKeyRG, Tanya AKA TanyaLynett, Tim AKA TimTheBrodie",2021,13+,1 Season,TV Shows,7.4
1001,TV Show,Casting The Net,GB,Unknown,"Linara Washington, Apryl Jones, Siena Goines",2021,18+,1 Season,Comedy,7.4
988,TV Show,Gritty Reboots,JP,Unknown,Unknown,2013,18+,1 Season,"Action, Adventure, Comedy",7.4
101,TV Show,The Wilds,US,Unknown,"Rachel Griffiths, Sophia Ali, Reign Edwards, Helena Howard, Mia Healey, Jenna Clause, Erana James, Shannon Berry, Sarah Pidgeon",2020,16+,1 Season,"Drama, Suspense, Young Adult Audience",7.4
980,TV Show,'Allo 'Allo!,GB,Unknown,"Gorden Kaye, Guy Siner, Jeremy Lloyd, Kirsten Cooke",1992,13+,9 Seasons,Comedy,7.4
972,TV Show,3 Caminos,ES,Unknown,"Andrea Bosca, Álex González, Verónica Echegui",2021,Unknown,1 Season,TV Shows,7.4
664,TV Show,Girls' Last Tour,JP,Unknown,Unknown,2017,TV-14,1 Season,"Anime, Drama, International",7.4
569,TV Show,Just Add Magic: Mystery City,US,Unknown,"Jolie Hoang-Rappaport, Tyler Sanders, Jenna Qureshi",2020,ALL,1 Season,"Animation, Kids",7.4
251,TV Show,Steven Seagal Lawman,US,Unknown,"Steven Seagal, Larry Dyess",2010,TV-14,2 Seasons,"Documentary, Special Interest",7.4
971,TV Show,3 Caminos (4K UHD),DE,Unknown,"Álex González, Verónica Echegui, Andrea Bosca",2021,Unknown,1 Season,Drama,7.4
445,TV Show,Nursery Rhymes with Color Crew (Spanish audio),US,Unknown,Unknown,2018,ALL,1 Season,"Animation, Kids",7.4
1198,TV Show,Pinkfong! Job Songs,KR,Unknown,Unknown,2021,TV-G,1 Season,"Animation, Kids",7.4
1197,TV Show,Series before 1C onboarding - 1,AU,Unknown,1,2021,13+,1 Season,TV Shows,7.4
1192,TV Show,La Familia,MX,Unknown,"Pau Gasol, Marc Gasol, Jorge Garbajosa, Juan Carlos Navarro, Felipe Reyes, Raül López, José Manuel Calderón, Rudy Fernández, Ricky Rubio, Víctor Claver, Sergio Rodríguez, Alex Mumbrú, Willy Hernangómez, Juancho Hernangómez, Berni Rodríguez",2021,TV-G,1 Season,Sports,7.4
796,TV Show,Cómo Sobrevivir Soltero,MX,Unknown,"Sebastián Zurita, Tato Alexander, Roberto Flores, Fabrizio Santini, Octavio Hinojosa, Lucía Gómez-Robledo, Pamela Almanza",2020,16+,1 Season,Comedy,7.4
802,TV Show,Cody,US,Unknown,"Gary Sweet, Robert Mammone, Heather Mitchell",1995,16+,2 Seasons,"Action, Suspense",7.4
803,TV Show,Cobra Puma Golf All-Access Show,US,Unknown,Unknown,2021,TV-NR,1 Season,Sports,7.4
1117,TV Show,Da Kink In My Hair,CA,Unknown,"Ordena Stephens, Trey Anthony, Ngozi Paul",2009,TV-14,2 Seasons,Comedy,7.4
112,TV Show,The Tick,US,Unknown,"Peter Serafinowicz, Griffin Newman, Valorie Curry, Brendan Hines, Yara Martinez, Scott Speiser",2019,18+,2 Seasons,"Action, Comedy",7.37
65,TV Show,Transparent,US,Unknown,"Trace Lisette, Missi Pyle, Tig Notaro, Jay Duplass, Jerry Adler, Gaby Hoffmann, Judith Light, Richard Kind, Michaela Watkins, Erik Liberman, Jo Lambert, Alia Shawkat, Cherry Jones, Rob Huebel, Melora Hardin, Leslie Margherita, Bradley Whitford, Rainn Wilson, Jenny O'Hara, Kathryn Hahn, Amy Landecker",2019,18+,5 Seasons,"Comedy, Drama, LGBTQ",7.345
454,TV Show,Napoleon: The Man Who Would Rule Europe,US,Unknown,Unknown,2019,13+,1 Season,"Documentary, Special Interest",7.333
553,TV Show,Kung Fu Panda: The Paws of Destiny,US,Unknown,"Gunnar Sizemore, Haley Tju, Chrissy Metz, Makana Say, James Hong, Mick Wingert, Laya DeLeonHayes",2019,7+,2 Seasons,Kids,7.309
526,TV Show,Little Women: Dallas,US,Unknown,"Steve Helling, Bri Barlup",2017,TV-14,2 Seasons,TV Shows,7.308
206,TV Show,The Ave,GB,Unknown,"Brett Puryear, Shaniqua J West",2021,18+,2 Seasons,Suspense,7.307
493,TV Show,Mayday,CA,Unknown,"Koko Anglo, Sophie Okonedo, Peter Firth, Aidan Gillen, Lesley Manville, Matthew Ashforde, Caroline Berry, Daniel Coonan, Tom Fisher, Max Fowler, Richard Hawley, Leila Mimmack",2013,16+,1 Season,"Drama, Fantasy, Suspense",7.301
494,TV Show,Match Game,US,Unknown,Gene Rayburn,1978,TV-PG,3 Seasons,"Special Interest, Unscripted",7.301
1217,TV Show,Oh No! It's An Alien Invasion,CA,Unknown,"Eden Gamliel, Al Mukadam, Dan Chameroy",2013,TV-G,3 Seasons,"Animation, Kids",7.3
421,TV Show,Patriot,US,Unknown,"Chris Conrad, Kurtwood Smith, Michael Dorman, Michael Chernus, Kathleen Munroe, Terry O'Quinn, Aliette Opheim",2018,18+,2 Seasons,"Drama, Suspense",7.3
1358,TV Show,Tugged,CN,Unknown,"Liam Gist, Zakiya Mathews, Ashley Mathaw, Chelley Chelle",2021,18+,1 Season,"Drama, Romance",7.3
1135,TV Show,The Border,CA,Unknown,"James McGowan, Graham Abbey, Nazneen Contractor",2009,16+,3 Seasons,"Drama, Suspense",7.3
162,TV Show,The Kacey Musgraves Christmas Show,US,Unknown,"Dan Levy, Troye Sivan, The Radio City Rockettes, Fred Armisen, Kendall Jenner, Camila Cabello, Lana Del Rey, Leon Bridges, James Corden, Zooey Deschanel",2019,7+,1 Season,Comedy,7.3
241,TV Show,Sunshine Sento-Sake (Subbed) (4k UHD),Unknown,Unknown,Unknown,2016,TV-NR,1 Season,TV Shows,7.3
1361,TV Show,Holby Blue,GB,Unknown,"Cal MacAninch, Jimmy Akingbola, Richard Harrington, Zoe Lucker, Kacey Ainsworth, Tim Pigott-Smith, James Hillier, Chloe Howman, Kieran O'Brien, Sara Powell, Joe Jacobs, Elaine Glover, David Sterne",2007,16+,1 Season,Drama,7.3
1413,TV Show,Terror Lake Drive,US,Unknown,"Shannon Kane, Donielle T. Hansley, Malik Yoba, Lamaan Rucker, Michael Chenevert, Brely Evans, Jen Harper",2020,TV-MA,1 Season,Drama,7.3
1360,TV Show,Rafa Nadal Academy,ES,Unknown,Unknown,2021,7+,1 Season,"Documentary, Sports",7.3
538,TV Show,Legendary Cities,FR,Unknown,Unknown,2014,7+,1 Season,TV Shows,7.284
1068,TV Show,Underbelly: Chopper,AU,Unknown,"Aaron Jeffery, Todd Lasance, Vince Colosimo, Ella Scott Lynch, Jane Allsop",2018,18+,1 Season,Drama,7.275
506,TV Show,MAGI  The Tensho Boys’ Embassy (4K UHD) (Japanese Ver),JP,Unknown,"Shuhei Nomura, Yuki Morinaga, Kai Inowaki, Atsushi Ogata, Gaku Sano, Naoto Ogata, Koji Kikkawa",2019,TV-NR,1 Season,"Drama, International",7.27
507,TV Show,MAGI  The Tensho Boys’ Embassy (4K UHD),JP,Unknown,"Shuhei Nomura, Yuki Morinaga, Kai Inowaki, Atsushi Ogata, Gaku Sano, Naoto Ogata, Koji Kikkawa",2019,TV-NR,1 Season,"Drama, International",7.27
1397,TV Show,Love Story of Court Enemies,CN,Unknown,"Wu Jia Yi, Zhao Yi Qin, Han Jiu Nuo",2021,13+,1 Season,"Drama, Romance",7.263
1272,TV Show,Sing Along with Pinkfong & Hogi,CN,Unknown,Unknown,2021,ALL,4 Seasons,"Animation, Kids",7.25
1233,TV Show,Con Man,US,Unknown,"Alan Tudyk, Jack Donner, Nathan Fillion, Alison Haislip, Vik Sahay, Merrin Dungey, Echo Kellum, Beth Grant, Carol Mansell",2017,TV-MA,2 Seasons,Comedy,7.25
255,TV Show,Star Trek: Voyager,US,Unknown,"Kate Mulgrew, Robert Beltran, Roxann Biggs-Dawson, Jennifer Lien, Robert Duncan McNeill, Ethan Phillips, Robert Picardo, Tim Russ, Garrett Wang, Jeri Ryan",2001,TV-PG,7 Seasons,"Drama, Science Fiction, Special Interest",7.239
281,TV Show,Silk,SA,Unknown,"Maxine Peake, Rupert Penry-Jones, Neil Stuke, Alex Jennings, Phil Davis, Frances Barber",2014,TV-14,3 Seasons,Drama,7.231
361,TV Show,Princess Principal,JP,Unknown,Unknown,2017,TV-14,1 Season,"Action, Adventure, Anime",7.2
904,TV Show,Arthur,US,Unknown,"Cameron Ansell, Jason Szwimer, Daniel Brochu, Bruce Dinsmore, Jodie Resther, Melissa Altro, Sonja Ball, Paul-Stuart Brown, Holly G. Frankel, Eleanor Noble, Arthur Holden, Ryan Tilson, Tyler Brody-Stein, Tamar Kozlov, Ellen David, Jessica Kardos, Sally Taylor-Isherwood, A.J. Henderson, Joanna Noyes, Mark Camacho, Hayley Reynolds, Robert Naylor",2006,TV-G,1 Season,"Animation, Kids",7.2
1427,TV Show,The Alchemists,JP,Unknown,"Grant Show, Ruth Gemmell, Edward Hardwicke",1999,TV-14,1 Season,"Drama, Suspense",7.2
897,TV Show,Baby U (Spanish audio),GB,Unknown,Unknown,2018,ALL,1 Season,"Animation, Kids",7.2
574,TV Show,Jim Henson's Jack and the Beanstalk: The Real Story,US,Unknown,"Matthew Modine, Vanessa Redgrave, Mia Sara, Daryl Hannah, Jon Voight, Richard Attenborough, James Corden, Freddie Highmore",2001,ALL,1 Season,"Adventure, Fantasy",7.179
671,TV Show,Getting On,US,Unknown,"Jo Brand, Joanna Scanlan, Vicki Pepperdine",2012,TV-14,3 Seasons,Comedy,7.176
1357,TV Show,Uprising,GB,Unknown,Unknown,2021,16+,1 Season,Documentary,7.17
535,TV Show,Life In A Tide Pool,US,Unknown,"Danielle Zacher, Bruno Pernet, Jay Smith, Mike Schaadt, Kasey Eunice",2015,ALL,1 Season,"Documentary, Special Interest",7.156
1337,TV Show,Voltaire High,FR,Unknown,"Pierre Deladonchamps, Nina Meurisse, Maud Wyler, Anne Le Ny, Gérald Laroche, François Rollin, Léonie Souchaud, Anouk Villemin, Lula Cotton Frapier, Nathan Parent, Baptiste Masseline, Gaspard Meier-Chaurand, Vassili Schneider",2021,18+,1 Season,Drama,7.12
1304,TV Show,Goliath,US,Unknown,"Billy Bob Thornton, Nina Arianda, Tania Raymonde",2021,TV-MA,4 Seasons,"Drama, Suspense",7.1
1312,TV Show,Fernando 4K UHD,JP,Unknown,Unknown,2021,7+,2 Seasons,"Documentary, Sports",7.1
1320,TV Show,Action Figure Adventure,GB,Unknown,"Jay Bartlett, Rob McCallum, Kevin Smith, Steve Sansweet, William T. Benecke, Tom Kalinske, Brian Flynn, Jordan C. Morris, Glenn Stanway, Mark Taylor",2020,16+,1 Season,Science Fiction,7.1
1319,TV Show,Monty & Co,GB,Unknown,"Nigel Plaskitt, Heather Tobias, Nix Wood, Andrew Linnie",2020,7+,1 Season,Kids,7.1
1318,TV Show,Super Wings,KR,Unknown,"Chasden Gilson-Walker, Cassandra Lee Morris, Bill Rogers, Travis Burnett, Braylyx Rivera-Babbey, Sophia Vernon",2019,TV-Y,4 Seasons,"Animation, Kids",7.1
1317,TV Show,The Harvard Psychologist,JP,Unknown,"Tommy Fury, Mauricio Viteri, Mark Wither",2021,TV-MA,1 Season,TV Shows,7.1
1316,TV Show,Dragon Half,JP,Unknown,"Kotono Mitsuishi, Mariko Kouda, Taeko Kawata",1993,16+,1 Season,"Action, Comedy, Science Fiction",7.1
1315,TV Show,If Paris Downcast,CN,Unknown,"Kan Qing Zhi, Zhang Han",2018,13+,1 Season,"Drama, Romance",7.1
1313,TV Show,Fernando (Dubbed),JP,Unknown,Unknown,2021,7+,2 Seasons,"Documentary, Sports",7.1
1309,TV Show,Paranormal Signs Investigations,JP,Unknown,"Alexander L., Jürgen H., Corinna P., Kurt T., Alexander P.",2021,16+,2 Seasons,"Documentary, Suspense, Unscripted",7.1
1311,TV Show,Fernando 4K UHD (Dubbed),JP,Unknown,Unknown,2021,7+,2 Seasons,"Documentary, Sports",7.1
1305,TV Show,Gigglebug,US,Unknown,Santtu Karvonen,2017,ALL,2 Seasons,"Animation, Kids",7.1
1308,TV Show,RIDE ON TIME,JP,Unknown,Unknown,2021,NR,3 Seasons,Documentary,7.1
1307,TV Show,Rupi Kaur Live,Unknown,Unknown,Rupi Kaur,2021,TV-NR,1 Season,"Arts, Entertainment, and Culture",7.1
1298,TV Show,Raymond & Miguel,US,Unknown,"Raymond Pozo, Miguel Céspedes, Brasheli Santos, Pedro Pérez, Urdaneli Capell",2017,TV-14,1 Season,Comedy,7.1
1306,TV Show,Byron,Unknown,Unknown,"Jonny Lee Miller, Vanessa Redgrave, Natasha Little, Julie Cox",2003,18+,1 Season,Drama,7.1
1300,TV Show,Bluestone Four Two,US,Unknown,"Oliver Chris, Gary Carr, Tony Gardner, Kelly Adams, Stephen Wight, Katie Lyons, Scott Hoatson, Jamie Quinn",2015,16+,3 Seasons,Comedy,7.1
1301,TV Show,Wallpaper,GB,Unknown,Unknown,2020,ALL,2 Seasons,"Documentary, Special Interest",7.1
1302,TV Show,Packed To The Rafters,AU,Unknown,"Rebecca Gibney, Erik Thomson, Michael Caton, George Houvardas, Hugh Sheridan, Angus McLaren",2013,13+,5 Seasons,"Comedy, Drama, Romance",7.1
1303,TV Show,Mumbai Diaries,IN,Unknown,"Mohit Raina, Konkona Sen Sharma, Shreya Dhanwanthary, Sikander Khan, Harpreet Singh, Amit Verma, Abhinav Ranga, Akshay Kohli, Kunj Anand, Pushkaraj Chirputkar, Natasha Bharadwaj, Satyajeet Dubey, Mrunmayee Deshpande, Adithi Kalkunte, Gauri Balaji, Prakash Belawadi, Akshar Kothari, Sucharita Juvekar, Mohini Sharma, Harssh Singh, Mishal Raheja, Tina Desai, Indraneel Bhattacharya, Aditi Gulati, Vasundhara Kaul",2021,16+,1 Season,"Drama, Suspense",7.1
1321,TV Show,Girl Chill,GB,Unknown,"Robert Michael, Roz Stanley, Janine Gateland, Katherine Munroe, Delanie Weidrich, Dionne Neish, Sandra De Sousa, Shante Reece, Benjamin Keller, Luke Steinborn",2021,13+,1 Season,TV Shows,7.1
1310,TV Show,My Magic Pet Morphle - Songs for Kids,JP,Unknown,Unknown,2021,ALL,1 Season,Kids,7.1
514,TV Show,Love of Thousand Years,CN,Unknown,"Zheng Yecheng, Zhao Lusi, Wang Mengli, Liu Yitong",2020,16+,1 Season,"Drama, Romance",7.1
1323,TV Show,Future is Wild,CA,Unknown,"Taylor Abrahamse, Marc Donato, Rob Tinkler, Rick Jones, Julie Lemieux, Paul Haddad, Sunday Muse, Stacey DePass",2008,TV-G,1 Season,"Animation, Kids",7.1
1325,TV Show,KasaK Rahay Gi,CA,Unknown,"Noor Hasan, Zainab Ahmed, Faizan Khawaja, Adla Khan, Sakina Samoo",2018,13+,1 Season,"Drama, Romance",7.1
1324,TV Show,Top Gear (UK),CA,Unknown,"Matt Leblanc, Chris Harris, Rory Reid",2018,TV-14,15 Seasons,"Comedy, Documentary, Special Interest",7.1
1322,TV Show,The Californians,US,Unknown,"Richard Cooga, Sean McClory, Carole Mathews",1959,13+,2 Seasons,Western,7.1
1326,TV Show,JARRETTS,CA,Unknown,"WILLIE D DAVIS, JANELL HUGHES-CHANEY, SHAWN PIERCE, CORLISS REESE",2021,16+,1 Season,TV Shows,7.1
419,TV Show,Paul Chowdhry Live Innit (4K UHD),US,Unknown,Unknown,2019,18+,1 Season,TV Shows,7.03
420,TV Show,Paul Chowdhry Live Innit,US,Unknown,Unknown,2019,18+,1 Season,TV Shows,7.03
819,TV Show,Chacha Vidhayak Hain Humare,IN,Unknown,"Zakir Khan, Vyom Sharma, Kumar Varun, Zakir Hussain, Alka Amin, Abimanyu Singh, Sunny Hinduja, Pritha Bakshi, Venus, Onima Kashyap, Shashi Varma, Susheel Bothiyal, Rahul Subramaniam",2021,13+,2 Seasons,"Comedy, Drama",7.024
57,TV Show,Undeniable,GB,Unknown,"Claire Goose, Peter Firth, Felix Scott, Pippa Haywood",2014,16+,1 Season,"Drama, Suspense",7.0
410,TV Show,Philip K. Dick's Electric Dreams,GB,Unknown,"Terrence Howard, Bryan Cranston, Anna Paquin",2018,18+,1 Season,"Drama, Science Fiction",7.0
409,TV Show,Phonics School,Unknown,Unknown,Unknown,2017,ALL,1 Season,"Animation, Kids, Special Interest",7.0
69,TV Show,Total Wipeout,GB,Unknown,"Richard Hammond, Amanda Byram",2012,ALL,6 Seasons,"Comedy, Documentary, Unscripted",7.0
1350,TV Show,Kitchen,US,Unknown,"Frank Gallagher, Eddie Izzard, Natalie J Robb, James Young, Charlene McKenna",2007,16+,1 Season,"Drama, Suspense",7.0
71,TV Show,Top Gear: Ambitious But Rubbish,Unknown,Unknown,Richard Hammond,2014,TV-PG,1 Season,Documentary,7.0
903,TV Show,Asawa Ko Karibal Ko,PH,Unknown,"Kris Bernal, Rayver Cruz, Thea Tolentino",2019,7+,1 Season,"Kids, LGBTQ, Romance",7.0
1351,TV Show,Grenzlichter - Contact to the Otherworld,US,Unknown,"René, Maria, Sarah, Andreas",2021,16+,1 Season,"Drama, Horror, Suspense",7.0
573,TV Show,Jim Henson's The Storyteller,US,Unknown,"John Hurt, Brian Henson, Sean Bean, Miranda Richardson, Jonathan Pryce, Jennifer Saunders, Gabrielle Anwar, Jane Horrocks",1989,TV-PG,1 Season,"Drama, Fantasy, Kids",7.0
282,TV Show,Silent Witness,GB,Unknown,"Emilia Fox, Richard Lintern, David Caves",2018,TV-MA,21 Seasons,"Drama, Suspense",7.0
572,TV Show,Jim Henson's The Storyteller: Greek Myths,US,Unknown,"Michael Gambon, Brian Henson, Derek Jacobi, Art Malik, Frances Barber, David Morrissey, Gina Bellman, John Wood, Lindsay Duncan",1991,TV-PG,1 Season,"Drama, Fantasy, Kids",7.0
1082,TV Show,Crash Canyon,CA,Unknown,"Tara Strong, Jennifer Irwin, Martin Roach, Patrick McKenna, Peter Keleghan, Joanne Vannicola, Bryn McAuley",2013,TV-14,2 Seasons,"Animation, Comedy",7.0
836,TV Show,Cajun Pawn Stars,Unknown,Unknown,Unknown,2013,TV-14,4 Seasons,TV Shows,7.0
699,TV Show,Flo and Joan: Alive on Stage,US,Unknown,Unknown,2019,16+,1 Season,"Arts, Entertainment, and Culture",7.0
833,TV Show,Car Crash TV,Unknown,Unknown,Chris Barrie,2016,13+,2 Seasons,"Action, Documentary",7.0
765,TV Show,Dark Angel,US,Unknown,"Joanne Froggatt, Jonas Armstrong, Laura Morgan, Emma Fielding, Sam Hoare, Alun Armstrong",2017,TV-14,1 Season,"Documentary, Drama, Special Interest",7.0
1142,TV Show,The Pursuit of Love,GB,Unknown,"LILY JAMES, EMILY BEECHAM, DOMINIC WEST, ANDREW SCOTT, EMILY MORTIMER, DOLLY WELLS, JOHN HEFFERNAN, SHAZAD LATIF, ANNABEL MULLION",2021,TV-PG,1 Season,"Drama, Historical, Romance",7.0
659,TV Show,Gogo Dino Explorers,IN,Unknown,Unknown,2018,ALL,2 Seasons,"Action, Animation, Kids",7.0
1006,TV Show,Beautiful Reborn Flower,CN,Unknown,"Lin Yun, Song Wei Long, Peter Ho",2020,13+,1 Season,"Romance, Suspense",7.0
1171,TV Show,Detentionaire,CA,Unknown,"Jonathan Tan, Zachary Bennett, Ryan Belleville, Seán Cullen",2015,TV-Y7,2 Seasons,"Animation, Comedy, Kids",7.0
1146,TV Show,Four Senses,CA,Unknown,"Christine Ha, Carl Heinrich, Corbin Tomaszeski, Laura Calder, Erin Davis, Wanda Beaver, Claire Tansey, Farzam Fallah, Amira Becarevic, Carole Bearg, Luke Hayes-Alexander, Michael Hunter, Mike Ward, Mairlyn Smith, Frankie Ferragine",2016,TV-G,2 Seasons,Special Interest,7.0
672,TV Show,Generation War,DE,Unknown,"Tom Schilling, Volker Bruch, Katharina Schüttler, Ludwig Trepte, Miriam Stein",2014,13+,1 Season,"Action, Drama, Military and War",7.0
742,TV Show,Downton Abbey,GB,Unknown,"Huge Bonneville, Michelle Dockery, Maggie Smith, Jim Carter, Robert James-Collier, Dan Stevens, Elizabeth McGovern",2016,TV-14,6 Seasons,"Drama, Historical",6.967
743,TV Show,Dororo,JP,Unknown,"Hiroki Suzuki, Rio Suzuki, Naoya Uchida, Shoya Chiba, Mutsumi Sasaki",2019,TV-NR,1 Season,TV Shows,6.967
744,TV Show,Dora the Explorer,US,Unknown,"Dora the Explorer, Day,  Howie",2007,TV-Y,2 Seasons,Kids,6.967
1071,TV Show,"Gattu, Chinkli Aur Adventures",FR,Unknown,Unknown,2021,ALL,1 Season,"Animation, Kids",6.955
1073,TV Show,"LOL: Qui rit, sort!",FR,Unknown,"Phlippe Lacheau, Julien Arruti, Tarek Boudali, Fadily Camara, Reem Kherici, Kyan Khojandi, Bérengère Krief, Hakim Jemili, Gérard Jugnot, Alexandra Lamy, Inès Reg",2021,16+,1 Season,"Comedy, Unscripted",6.955
805,TV Show,Clifford the Big Red Dog,US,Unknown,"Hannah Levinson, Adam Sanders",2021,ALL,6 Seasons,Kids,6.947
525,TV Show,Little Women: NY,Unknown,Unknown,"Lila Call, Misty Irwin",2016,TV-14,2 Seasons,TV Shows,6.939
652,TV Show,Grand Blue Dreaming,JP,Unknown,"Yuma Uchida, Ryohei Kimura",2018,NR,1 Season,TV Shows,6.93
129,TV Show,The Passing Bells,PL,Unknown,"Patrick Gibson, Jack Lowden, Sabrina Bartlett, Eryka Karkuszewska, Jennifer Hennessy, Simon Kunz, Matthew Aubrey",2014,13+,1 Season,TV Shows,6.9
984,TV Show,Paradise City,US,Unknown,"Bella Thorne, Cameron Boyce, Drea de Matteo, Andy Biersack, Ryan Hurst, Fairuza Balk, Mark Boone Junior, Booboo Stewart",2021,18+,1 Season,"Arts, Entertainment, and Culture, Drama",6.9
1265,TV Show,Let's enjoy Kenya safari like a popular online tour!,Unknown,Unknown,Unknown,2020,TV-NR,1 Season,Documentary,6.886
327,TV Show,Rev & Roll,GB,Unknown,Unknown,2019,TV-Y,1 Season,"Animation, Kids",6.88
770,TV Show,Dangerous Roads,GB,Unknown,"Angus Deayton, Mariella Frostrup, Hugh Bonneville, Jessica Hynes",2012,TV-14,3 Seasons,"Documentary, Special Interest",6.875
74,TV Show,Tommy Little: Self-Diagnosed Genius,US,Unknown,Tommy Little,2020,16+,1 Season,"Arts, Entertainment, and Culture",6.846
663,TV Show,Glee,US,Unknown,Unknown,2015,TV-PG,7 Seasons,"Comedy, Drama",6.845
28,TV Show,Wildest Places,AU,Unknown,Unknown,2019,ALL,3 Seasons,"Documentary, Special Interest",6.8
540,TV Show,Legend of Fuyao,CN,Unknown,"Yang Mi, Ethan Juan, Zhang Dongshen, Hu Ke",2018,18+,1 Season,"Drama, Romance",6.8
937,TV Show,All or Nothing: Tottenham Hotspur,GB,Unknown,Unknown,2020,16+,1 Season,"Documentary, Sports, Unscripted",6.8
1244,TV Show,Tales From The Cryptkeeper,CA,Unknown,John Kassir,1999,TV-G,3 Seasons,"Animation, Kids",6.792
1243,TV Show,The Coleman Show,US,Unknown,"Eric Epps, Khadijah Freeman, Cayen Martin, Angelic Prom, Danny Froze, Henri Sallis, Xander Coleman, Calvin Coleman, Timothy ""Prince T Dub"" Hayes",2021,13+,1 Season,"Comedy, Drama",6.792
67,TV Show,Tougher In Alaska,US,Unknown,Geo Beach,2008,TV-PG,1 Season,TV Shows,6.75
604,TV Show,I Survived . . .,JP,Unknown,Unknown,2008,TV-14,1 Season,TV Shows,6.75
72,TV Show,Top Gear America (2017),Unknown,Unknown,"William Fichtner, Tom Ford, Antron Brown",2017,TV-14,1 Season,Special Interest,6.75
1332,TV Show,Subete a mi Moto,PR,Unknown,"Yamil Ureña, Braulio Castillo, Sisan Chiong, Edgar Cuevas, Joseette Vidal, Rocio Verdejo, Azul Guaita, Elaine Haro",2020,TV-NR,1 Season,Drama,6.748
1379,TV Show,ACT 2 - Series 9,IT,Unknown,1,2021,ALL,1 Season,TV Shows,6.725
589,TV Show,INXS: Never Tear Us Apart,AU,Unknown,"Luke Arnold, Damon Herriman, Hugh Sheridan, Andrew Ryan, Alex Williams, Ido Drent, Nick Masters",2014,16+,1 Season,"Drama, Romance",6.722
608,TV Show,Hustle,GB,Unknown,"Robert Glenister, Robert Vaughn, Rob Jarvis, Adrian Lester, Marc Warren, Jaime Murray, Matt Di Angelo, Kelly Adams, Bill Bailey",2012,16+,8 Seasons,"Action, Comedy, Drama",6.714
1288,TV Show,Lotus Cup Europe Championship,GB,Unknown,Unknown,2021,TV-Y7,1 Season,"Documentary, Sports",6.7
1005,TV Show,Pastel Yumi: The Magic Idol,JP,Unknown,Mariko Shiga,2020,7+,1 Season,"Animation, Comedy, Kids",6.7
644,TV Show,Growing Up Gotti,US,Unknown,"Carmine Agnello Jr, Frank Agnello, John Agnello",2005,TV-PG,3 Seasons,TV Shows,6.7
