,Type,Title,Country,Release Year,Rating,Seasons,Genres,Vote Average
447,SHOW,The White Lotus,['US'],2021,TV-MA,2.0,"['crime', 'drama', 'comedy']",7.561
87,SHOW,The Middle,['US'],2009,TV-PG,9.0,"['comedy', 'family']",7.556
457,SHOW,The Sex Lives of College Girls,['US'],2021,TV-MA,2.0,"['comedy', 'drama']",7.554
133,SHOW,Batman: The Brave and the Bold,['US'],2008,TV-Y7,3.0,"['action', 'fantasy', 'scifi', 'animation', 'crime', 'family']",7.545
350,SHOW,The Undoing,['US'],2020,TV-MA,1.0,"['drama', 'thriller', 'crime']",7.544
417,SHOW,Our Boys,"['IL', 'US']",2019,TV-MA,1.0,['drama'],7.54
43,SHOW,The Powerpuff Girls,['US'],1998,TV-Y7,7.0,"['animation', 'action', 'family', 'fantasy', 'scifi', 'comedy']",7.539
146,SHOW,Men of a Certain Age,['US'],2009,TV-MA,2.0,"['comedy', 'drama']",7.525
29,SHOW,Dawson's Creek,['US'],1998,TV-PG,6.0,"['drama', 'romance']",7.5
253,SHOW,Chewing Gum,['GB'],2015,TV-MA,2.0,"['comedy', 'european']",7.5
303,SHOW,The Shivering Truth,['US'],2018,TV-MA,2.0,"['comedy', 'animation', 'fantasy', 'horror', 'scifi']",7.5
187,SHOW,Witness,['US'],2012,TV-MA,1.0,"['documentation', 'crime']",7.5
307,SHOW,Crashing,['US'],2017,TV-MA,3.0,"['comedy', 'drama']",7.5
40,SHOW,Real Sports with Bryant Gumbel,['US'],1995,TV-PG,29.0,['sport'],7.5
199,SHOW,George Harrison: Living in the Material World,['US'],2011,Unknown,1.0,['documentation'],7.5
353,SHOW,The Head,"['ES', 'JP']",2020,TV-14,2.0,['drama'],7.495
9,SHOW,Scooby-Doo and Scrappy-Doo,['US'],1979,TV-G,6.0,"['comedy', 'animation', 'thriller', 'crime', 'family']",7.483
123,SHOW,The Comeback,['US'],2005,TV-MA,2.0,"['comedy', 'drama']",7.472
230,SHOW,Beware the Batman,['US'],2013,TV-PG,1.0,"['action', 'scifi', 'animation', 'crime', 'drama']",7.451
379,SHOW,Awkwafina Is Nora from Queens,['US'],2020,TV-MA,3.0,['comedy'],7.435
528,SHOW,Harry Potter: Hogwarts Tournament of Houses,['US'],2021,TV-PG,1.0,"['reality', 'action']",7.423
583,SHOW,The Republic of Sarah,['US'],2021,TV-14,1.0,['drama'],7.417
451,SHOW,Hacks,['US'],2021,TV-MA,2.0,"['drama', 'comedy']",7.407
460,SHOW,We Own This City,['US'],2022,TV-MA,1.0,"['crime', 'drama']",7.4
139,SHOW,Frisky Dingo,['US'],2006,TV-MA,2.0,"['animation', 'comedy', 'scifi']",7.4
58,SHOW,The Brak Show,"['US', 'CA']",2000,TV-PG,3.0,"['comedy', 'animation', 'scifi']",7.4
378,SHOW,Three Busy Debras,['US'],2020,TV-MA,2.0,['comedy'],7.4
225,SHOW,Tim and Eric's Bedtime Stories,['US'],2014,TV-14,2.0,"['comedy', 'horror']",7.4
398,SHOW,I'll Be Gone in the Dark,['US'],2020,TV-MA,1.0,"['documentation', 'crime']",7.4
571,SHOW,"PCC, Secret Power",['BR'],2022,TV-MA,1.0,"['crime', 'documentation']",7.4
217,SHOW,The Carbonaro Effect,['US'],2014,TV-14,6.0,['comedy'],7.4
519,SHOW,A Brutal Pact: The Murder of Daniella Perez,['BR'],2022,TV-MA,1.0,"['documentation', 'crime']",7.4
26,SHOW,Sex and the City,['US'],1998,TV-MA,6.0,"['comedy', 'drama', 'romance']",7.4
142,SHOW,12 oz. Mouse,['US'],2005,TV-MA,3.0,"['comedy', 'action', 'fantasy', 'thriller', 'animation']",7.4
420,SHOW,gen:LOCK,['US'],2019,TV-14,2.0,"['animation', 'action', 'scifi', 'fantasy']",7.4
120,SHOW,"Tim and Eric Awesome Show, Great Job!",['US'],2007,TV-MA,5.0,"['comedy', 'music']",7.4
119,SHOW,Without a Trace,['US'],2002,TV-14,7.0,"['action', 'drama', 'crime', 'thriller']",7.4
569,SHOW,Wahl Street,['US'],2021,TV-MA,2.0,['documentation'],7.4
395,SHOW,Two Weeks to Live,['GB'],2020,TV-MA,1.0,"['comedy', 'crime', 'drama', 'action']",7.395
28,SHOW,Aqua Teen Hunger Force,['US'],2000,TV-MA,11.0,"['animation', 'comedy']",7.387
191,SHOW,Loiter Squad,['US'],2012,TV-MA,3.0,['comedy'],7.385
71,SHOW,Top Gear,['GB'],2002,TV-PG,33.0,"['comedy', 'reality', 'european', 'music']",7.38
348,SHOW,The Outsider,['US'],2020,TV-MA,1.0,"['crime', 'drama', 'thriller', 'fantasy', 'documentation', 'action']",7.378
172,SHOW,Veep,['US'],2012,TV-MA,7.0,['comedy'],7.373
3,SHOW,The Flintstones,['US'],1960,TV-G,6.0,"['comedy', 'animation', 'family']",7.371
471,SHOW,Somebody Somewhere,['US'],2022,TV-MA,2.0,"['comedy', 'drama']",7.364
340,SHOW,The Flight Attendant,['US'],2020,TV-MA,2.0,"['drama', 'thriller', 'comedy']",7.36
79,SHOW,Eastbound & Down,['US'],2009,TV-MA,4.0,"['comedy', 'drama', 'sport']",7.342
112,SHOW,Bored to Death,['US'],2009,TV-MA,3.0,"['crime', 'comedy', 'drama', 'thriller']",7.341
152,SHOW,How to Make It in America,['US'],2010,TV-MA,2.0,"['drama', 'comedy']",7.337
557,SHOW,The Lady and the Dale,['US'],2021,TV-14,1.0,"['crime', 'documentation']",7.333
194,SHOW,"The Heart, She Holler",['US'],2011,TV-MA,3.0,"['comedy', 'horror']",7.333
114,SHOW,Entourage,['US'],2004,TV-MA,8.0,"['drama', 'comedy']",7.329
397,SHOW,White House Farm,['GB'],2020,TV-MA,1.0,"['drama', 'crime', 'history', 'thriller']",7.329
406,SHOW,La Jauría,['CL'],2020,TV-MA,2.0,"['drama', 'crime', 'thriller']",7.327
499,SHOW,George Carlin's American Dream,['US'],2022,TV-MA,1.0,"['documentation', 'comedy']",7.308
546,SHOW,Q: Into the Storm,['US'],2021,TV-MA,1.0,['documentation'],7.304
5,SHOW,The Jetsons,['US'],1962,TV-G,3.0,"['animation', 'comedy', 'scifi', 'family']",7.3
63,SHOW,In the House,['US'],1995,TV-14,5.0,"['reality', 'comedy', 'documentation']",7.3
423,SHOW,The Trial of Christine Keeler,['GB'],2019,Unknown,1.0,"['drama', 'history', 'war']",7.3
159,SHOW,"Lucy, the Daughter of the Devil",['US'],2005,TV-MA,1.0,"['comedy', 'animation', 'horror']",7.3
428,SHOW,Patria,['ES'],2020,TV-14,1.0,"['war', 'drama']",7.3
319,SHOW,Being Serena,['US'],2018,TV-PG,1.0,"['documentation', 'sport']",7.3
185,SHOW,Major Crimes,['US'],2012,TV-14,6.0,"['drama', 'action', 'crime']",7.3
216,SHOW,Looking,['US'],2014,TV-MA,2.0,"['comedy', 'drama', 'romance']",7.3
207,SHOW,Anthony Bourdain: Parts Unknown,['US'],2013,TV-PG,12.0,['documentation'],7.3
101,SHOW,Torchwood,['GB'],2006,TV-MA,4.0,"['action', 'drama', 'scifi', 'fantasy', 'horror', 'thriller', 'european']",7.292
380,SHOW,Betty,['US'],2020,TV-MA,2.0,"['drama', 'comedy']",7.273
342,SHOW,Lovecraft Country,['US'],2020,TV-MA,1.0,"['drama', 'scifi', 'thriller', 'fantasy', 'horror']",7.266
175,SHOW,Enlightened,['US'],2011,TV-MA,2.0,"['drama', 'comedy', 'romance']",7.238
50,SHOW,The Wayans Bros.,['US'],1995,TV-14,5.0,['comedy'],7.232
552,SHOW,We Baby Bears,['US'],2022,TV-Y7,2.0,['animation'],7.23
549,SHOW,Undercurrent: The Disappearance of Kim Wall,['US'],2022,TV-MA,1.0,"['documentation', 'crime']",7.222
311,SHOW,Mosaic,['US'],2018,TV-MA,1.0,"['drama', 'thriller', 'crime', 'documentation']",7.205
473,SHOW,The Tourist,['GB'],2022,TV-MA,1.0,"['thriller', 'drama']",7.2
367,SHOW,Tuca & Bertie,['US'],2019,TV-MA,3.0,"['comedy', 'animation']",7.2
222,SHOW,Your Pretty Face Is Going to Hell,['US'],2013,TV-MA,4.0,"['comedy', 'fantasy', 'animation']",7.2
502,SHOW,The Murders at Starved Rock,['US'],2021,TV-14,1.0,"['crime', 'documentation']",7.2
351,SHOW,The Vow,['US'],2020,TV-MA,2.0,"['documentation', 'crime']",7.2
10,SHOW,Aquaman,['US'],1967,TV-Y,1.0,"['animation', 'action', 'family', 'fantasy']",7.2
286,SHOW,Wellington Paranormal,['NZ'],2018,TV-14,4.0,"['comedy', 'crime', 'fantasy', 'horror']",7.2
331,SHOW,Perry Mason,['US'],2020,TV-MA,2.0,"['drama', 'history', 'crime']",7.2
45,SHOW,Home Movies,['US'],1999,TV-MA,4.0,"['comedy', 'drama', 'animation', 'family']",7.2
182,SHOW,Mildred Pierce,['US'],2011,TV-MA,1.0,['drama'],7.199
405,SHOW,La Unidad,['ES'],2020,Unknown,3.0,"['crime', 'drama', 'thriller', 'action']",7.188
401,SHOW,30 Coins,['ES'],2020,TV-MA,2.0,"['thriller', 'drama', 'fantasy', 'horror', 'scifi']",7.187
149,SHOW,The Sarah Jane Adventures,['GB'],2007,TV-PG,5.0,"['scifi', 'action', 'drama', 'family', 'fantasy']",7.187
474,SHOW,Scenes from a Marriage,['US'],2021,TV-MA,1.0,['drama'],7.168
338,SHOW,The Righteous Gemstones,['US'],2019,TV-MA,3.0,"['comedy', 'drama']",7.147
462,SHOW,Walker,['US'],2021,TV-14,3.0,"['drama', 'action', 'crime', 'western']",7.121
389,SHOW,McMillions,['US'],2020,TV-14,1.0,"['history', 'documentation', 'crime']",7.115
305,SHOW,Miss Sherlock,['JP'],2018,TV-14,1.0,"['drama', 'crime']",7.109
257,SHOW,Show Me a Hero,['US'],2015,TV-MA,1.0,"['crime', 'war', 'history', 'drama']",7.108
370,SHOW,Batwoman,['US'],2019,TV-14,3.0,"['scifi', 'action', 'crime', 'drama']",7.104
241,SHOW,The Great Pottery Throw Down,['GB'],2015,TV-14,6.0,['reality'],7.1
7,SHOW,The Yogi Bear Show,['US'],1961,TV-G,4.0,"['comedy', 'animation', 'family']",7.1
581,SHOW,Queer You Are,['ES'],2021,Unknown,1.0,"['comedy', 'drama']",7.1
183,SHOW,Eagleheart,['US'],2011,TV-MA,3.0,"['action', 'comedy']",7.1
500,SHOW,Rap Sh!t,['US'],2022,TV-MA,2.0,"['comedy', 'music']",7.1
526,SHOW,Housing Complex C,['US'],2022,TV-MA,1.0,"['animation', 'thriller', 'horror']",7.1
296,SHOW,The Bronze Garden,['AR'],2017,TV-MA,3.0,"['drama', 'crime', 'horror', 'thriller']",7.1
375,SHOW,The Case Against Adnan Syed,['US'],2019,TV-14,1.0,"['crime', 'documentation']",7.1
265,SHOW,New Looney Tunes,['US'],2015,TV-Y7,3.0,"['comedy', 'family', 'animation']",7.1
287,SHOW,I'm Sorry,['US'],2017,TV-MA,3.0,['comedy'],7.1
385,SHOW,The Investigation,['DK'],2020,TV-14,1.0,"['drama', 'thriller', 'crime']",7.1
46,SHOW,Lois & Clark: The New Adventures of Superman,['US'],1993,TV-PG,4.0,"['drama', 'scifi', 'action', 'comedy', 'romance']",7.098
157,SHOW,Epitaphs,['AR'],2004,TV-MA,2.0,"['drama', 'crime', 'horror', 'thriller']",7.089
174,SHOW,Falling Skies,['US'],2011,TV-14,5.0,"['action', 'drama', 'scifi', 'thriller']",7.074
588,SHOW,Tom and Jerry in New York,['US'],2021,TV-PG,2.0,"['comedy', 'family', 'action', 'animation']",7.068
563,SHOW,Jellystone,['US'],2021,TV-Y7,2.0,"['comedy', 'family', 'animation']",7.058
390,SHOW,Tiger,['US'],2020,TV-MA,1.0,"['documentation', 'sport']",7.056
349,SHOW,Industry,['US'],2020,TV-MA,3.0,"['drama', 'comedy', 'reality']",7.036
246,SHOW,Vice Principals,['US'],2016,TV-MA,2.0,['comedy'],7.028
449,SHOW,Station Eleven,['US'],2021,TV-MA,1.0,"['drama', 'fantasy', 'scifi', 'thriller']",7.027
117,SHOW,Big Love,['US'],2006,TV-MA,5.0,['drama'],7.025
337,SHOW,Miracle Workers,['US'],2019,TV-14,4.0,"['comedy', 'drama', 'fantasy', 'romance']",7.02
387,SHOW,Catherine the Great,['GB'],2019,TV-MA,1.0,"['war', 'drama', 'history']",7.012
4,SHOW,Sesame Street,['US'],1969,TV-Y,53.0,"['comedy', 'animation', 'family', 'fantasy', 'music']",7.008
593,SHOW,Love Spells,['MX'],2021,TV-MA,1.0,"['drama', 'romance', 'comedy']",7.0
580,SHOW,Para - We Are King,['DE'],2021,Unknown,1.0,['drama'],7.0
507,SHOW,Rich & Shameless,['US'],2022,TV-14,1.0,['documentation'],7.0
242,SHOW,Good Behavior,['US'],2016,TV-MA,2.0,"['drama', 'thriller', 'crime']",7.0
161,SHOW,On the Record with Bob Costas,['US'],2001,TV-14,5.0,['sport'],7.0
64,SHOW,The Parent 'Hood,['US'],1995,TV-PG,5.0,['comedy'],7.0
444,SHOW,Tropical Cop Tales,['US'],2019,TV-MA,1.0,['comedy'],7.0
226,SHOW,Grace,['SG'],2014,Unknown,2.0,"['thriller', 'drama', 'horror']",7.0
297,SHOW,Folklore,['SG'],2018,Unknown,2.0,"['thriller', 'drama', 'horror']",7.0
597,SHOW,Who's By Your Side,['TW'],2021,Unknown,1.0,['drama'],7.0
539,SHOW,Obama: In Pursuit of a More Perfect Union,['US'],2021,TV-14,1.0,['documentation'],7.0
391,SHOW,David Makes Man,['US'],2019,Unknown,2.0,['drama'],7.0
554,SHOW,Ten Year Old Tom,['US'],2021,TV-14,1.0,"['animation', 'comedy']",7.0
544,SHOW,The Great Soul Food Cook-Off,[],2021,Unknown,1.0,[],7.0
461,SHOW,The Staircase,['US'],2022,TV-MA,1.0,"['crime', 'thriller', 'drama']",7.0
102,SHOW,Hard Knocks,['US'],2001,TV-MA,18.0,"['documentation', 'reality', 'sport']",7.0
8,SHOW,Wonder Woman,['US'],1975,TV-PG,3.0,"['scifi', 'action', 'drama', 'fantasy', 'family']",7.0
13,SHOW,The Smurfs,['US'],1981,TV-Y,9.0,"['scifi', 'animation', 'comedy', 'family', 'fantasy']",6.999
386,SHOW,Jett,['US'],2019,TV-MA,1.0,"['drama', 'thriller', 'action', 'crime']",6.993
173,SHOW,Happy Endings,['US'],2011,TV-14,3.0,"['comedy', 'romance']",6.992
244,SHOW,Search Party,['US'],2016,TV-MA,5.0,"['comedy', 'crime', 'drama', 'thriller', 'romance']",6.959
508,SHOW,Visitors,['FR'],2022,TV-MA,1.0,"['scifi', 'comedy']",6.957
47,SHOW,Tenacious D,['US'],1997,TV-14,1.0,"['comedy', 'music']",6.947
37,SHOW,Mortal Kombat: Conquest,['US'],1998,TV-PG,1.0,"['scifi', 'action', 'fantasy']",6.939
553,SHOW,The Invisible Pilot,['US'],2022,TV-MA,1.0,"['documentation', 'crime', 'history']",6.938
256,SHOW,High Maintenance,['US'],2016,TV-MA,4.0,"['comedy', 'documentation', 'drama']",6.924
421,SHOW,Agents of Chaos,['US'],2020,TV-MA,1.0,"['documentation', 'history']",6.917
501,SHOW,The Prince,['US'],2021,TV-MA,1.0,"['comedy', 'animation']",6.917
479,SHOW,Irma Vep,['US'],2022,TV-MA,1.0,"['drama', 'comedy']",6.906
147,SHOW,The No. 1 Ladies' Detective Agency,['GB'],2009,Unknown,1.0,"['drama', 'crime', 'comedy', 'family']",6.905
531,SHOW,The Girl Before,['GB'],2021,TV-MA,1.0,"['romance', 'thriller', 'drama']",6.9
267,SHOW,El Hipnotizador,"['AR', 'BR', 'UY']",2015,TV-MA,2.0,"['scifi', 'drama', 'fantasy', 'documentation']",6.9
278,SHOW,C.B. Strike,['GB'],2017,TV-MA,5.0,"['drama', 'crime', 'thriller']",6.9
135,SHOW,Squidbillies,['US'],2004,TV-14,13.0,"['comedy', 'war', 'scifi', 'drama', 'action', 'animation', 'fantasy', 'thriller']",6.9
261,SHOW,Togetherness,['US'],2015,TV-MA,2.0,"['comedy', 'romance', 'drama']",6.9
144,SHOW,Tom Goes to the Mayor,['US'],2004,TV-PG,2.0,"['comedy', 'animation']",6.9
184,SHOW,Mortal Kombat: Legacy,"['CA', 'US']",2011,TV-MA,2.0,"['action', 'scifi', 'crime', 'fantasy', 'thriller']",6.9
407,SHOW,Perfect Life,['ES'],2019,TV-MA,2.0,"['drama', 'comedy']",6.9
49,SHOW,Arliss,['US'],1996,TV-MA,7.0,"['comedy', 'sport']",6.9
498,SHOW,Catch and Kill: The Podcast Tapes,['US'],2021,TV-MA,1.0,['documentation'],6.9
374,SHOW,"I Love You, Now Die: The Commonwealth v. Michelle Carter",['US'],2019,TV-MA,1.0,"['documentation', 'crime']",6.879
369,SHOW,The Plot Against America,['US'],2020,TV-MA,1.0,"['scifi', 'drama', 'thriller']",6.845
186,SHOW,Parade's End,['GB'],2012,TV-MA,1.0,"['drama', 'war', 'history', 'action', 'romance', 'european']",6.837
366,SHOW,Los Espookys,['US'],2019,TV-MA,2.0,"['comedy', 'fantasy', 'horror']",6.818
480,SHOW,The Last Movie Stars,['US'],2022,TV-MA,1.0,['documentation'],6.8
354,SHOW,I Hate Suzie,['GB'],2020,TV-MA,2.0,"['comedy', 'drama']",6.8
486,SHOW,Landscapers,['US'],2021,TV-MA,1.0,"['crime', 'drama', 'comedy']",6.8
304,SHOW,Gunpowder,['GB'],2017,TV-MA,1.0,"['war', 'drama', 'history', 'european']",6.8
148,SHOW,Tell Me You Love Me,['US'],2007,TV-MA,1.0,"['drama', 'comedy', 'family', 'romance']",6.8
514,SHOW,Starstruck,['GB'],2021,TV-MA,2.0,"['comedy', 'reality']",6.8
218,SHOW,Teen Titans Go!,['US'],2013,TV-PG,8.0,"['scifi', 'comedy', 'action', 'family', 'crime', 'animation', 'fantasy']",6.8
232,SHOW,Hello Ladies,['US'],2013,TV-MA,1.0,['comedy'],6.8
17,SHOW,Tanner '88,['US'],1988,Unknown,2.0,"['reality', 'war', 'comedy', 'drama']",6.8
408,SHOW,Heaven's Gate: The Cult of Cults,['US'],2020,TV-MA,1.0,"['documentation', 'crime']",6.792
289,SHOW,Stath Lets Flats,['GB'],2018,TV-MA,3.0,['comedy'],6.789
504,SHOW,Trixie Motel,['US'],2022,TV-14,1.0,['reality'],6.75
14,SHOW,Family Matters,['US'],1989,TV-G,9.0,"['comedy', 'family', 'scifi', 'drama']",6.746
249,SHOW,Ballers,['US'],2015,TV-MA,5.0,"['drama', 'comedy', 'sport']",6.712
104,SHOW,Mike & Molly,['US'],2010,TV-14,6.0,"['comedy', 'romance']",6.704
62,SHOW,The Jamie Foxx Show,['US'],1996,TV-14,5.0,['comedy'],6.7
178,SHOW,Billy on the Street,['US'],2011,TV-14,6.0,"['comedy', 'reality']",6.7
16,SHOW,A Different World,['US'],1987,TV-14,6.0,['comedy'],6.7
229,SHOW,Getting On,['US'],2013,TV-MA,3.0,['comedy'],6.68
595,SHOW,Isabel,['CL'],2021,TV-MA,1.0,['drama'],6.679
522,SHOW,Birdgirl,['US'],2021,TV-MA,2.0,"['fantasy', 'animation', 'comedy']",6.667
578,SHOW,This Is Luna,['BR'],2022,TV-MA,1.0,"['drama', 'comedy', 'romance']",6.667
192,SHOW,Luck,['US'],2012,TV-MA,2.0,"['drama', 'sport']",6.656
537,SHOW,100 Foot Wave,['US'],2021,TV-14,2.0,"['sport', 'documentation']",6.6
511,SHOW,Mind Over Murder,['US'],2022,TV-MA,1.0,"['documentation', 'crime']",6.6
517,SHOW,DMZ,['US'],2022,TV-MA,1.0,"['drama', 'scifi', 'thriller', 'war', 'action']",6.6
364,SHOW,The Third Day,['US'],2020,TV-MA,1.0,"['scifi', 'drama', 'horror', 'thriller']",6.6
136,SHOW,If God Is Willing and da Creek Don't Rise,['US'],2010,TV-MA,1.0,['documentation'],6.6
341,SHOW,Avenue 5,['US'],2020,TV-MA,2.0,"['comedy', 'scifi']",6.594
360,SHOW,We're Here,['US'],2020,TV-MA,3.0,['reality'],6.548
234,SHOW,Family Tree,"['US', 'GB']",2013,TV-MA,1.0,['comedy'],6.536
422,SHOW,Adult Material,['GB'],2020,TV-MA,1.0,['drama'],6.526
198,SHOW,Garfunkel and Oates,['US'],2012,TV-MA,1.0,['comedy'],6.5
584,SHOW,Dolores: The Truth About the Wanninkhof Case,['ES'],2021,TV-14,1.0,"['documentation', 'crime']",6.5
158,SHOW,Delocated,['US'],2008,TV-MA,3.0,['comedy'],6.5
515,SHOW,Small Town News: KPVM Pahrump,['US'],2021,TV-14,1.0,['documentation'],6.5
325,SHOW,Mostly 4 Millennials,['US'],2018,TV-MA,1.0,['comedy'],6.5
419,SHOW,Expecting Amy,['US'],2020,TV-MA,1.0,"['documentation', 'comedy']",6.5
197,SHOW,"China, IL",['US'],2011,TV-14,3.0,"['animation', 'comedy']",6.5
487,SHOW,Phoenix Rising,['US'],2022,TV-MA,1.0,"['documentation', 'crime']",6.5
266,SHOW,The Casual Vacancy,['GB'],2015,TV-14,1.0,['drama'],6.5
543,SHOW,Allen v. Farrow,['US'],2021,TV-MA,1.0,"['documentation', 'crime']",6.48
128,SHOW,John from Cincinnati,['US'],2007,TV-MA,1.0,"['scifi', 'drama', 'fantasy']",6.45
371,SHOW,YOLO,['US'],2020,TV-14,2.0,"['comedy', 'fantasy', 'animation']",6.444
547,SHOW,Saving the King,['ES'],2022,Unknown,1.0,['documentation'],6.4
118,SHOW,Wipeout,['US'],2008,TV-14,7.0,"['reality', 'comedy', 'family']",6.4
251,SHOW,Divorce,['US'],2016,TV-MA,3.0,"['comedy', 'drama']",6.4
478,SHOW,Edge of the Earth,['US'],2022,TV-MA,1.0,"['documentation', 'sport', 'action']",6.4
291,SHOW,Random Acts of Flyness,['US'],2018,TV-MA,2.0,"['comedy', 'scifi', 'drama', 'fantasy']",6.4
494,SHOW,Naomi,['US'],2022,TV-PG,1.0,"['scifi', 'action', 'drama', 'animation']",6.4
425,SHOW,Laetitia,['FR'],2020,Unknown,1.0,"['drama', 'thriller', 'crime']",6.35
491,SHOW,The Baby,['US'],2022,TV-MA,1.0,"['comedy', 'horror']",6.33
145,SHOW,Hung,['US'],2009,Unknown,3.0,"['comedy', 'drama']",6.3
497,SHOW,María Marta: The Country Club Crime,['AR'],2022,Unknown,1.0,"['drama', 'thriller', 'crime']",6.3
454,SHOW,Call Me Kat,"['US', 'GB']",2021,TV-14,3.0,['comedy'],6.3
431,SHOW,A World of Calm,['US'],2020,TV-G,1.0,['documentation'],6.3
193,SHOW,Profugos,['CL'],2011,TV-MA,2.0,"['action', 'crime', 'drama', 'thriller']",6.3
570,SHOW,Paradise,['ES'],2021,TV-MA,2.0,"['drama', 'scifi', 'action']",6.3
516,SHOW,The Thaw,['PL'],2022,TV-14,1.0,"['drama', 'crime']",6.278
258,SHOW,Ben 10,['US'],2016,TV-Y7,5.0,"['comedy', 'action', 'scifi', 'animation', 'family', 'documentation']",6.259
48,SHOW,The Sylvester & Tweety Mysteries,['US'],1995,TV-Y7,5.0,"['comedy', 'crime', 'family', 'animation']",6.253
260,SHOW,Animals.,['US'],2016,TV-MA,3.0,"['animation', 'comedy']",6.235
559,SHOW,Gaming Wall St,['US'],2022,TV-MA,1.0,['documentation'],6.222
181,SHOW,Girls,['US'],2012,TV-MA,6.0,"['drama', 'comedy']",6.2
489,SHOW,Sort Of,['CA'],2021,TV-MA,3.0,"['comedy', 'drama']",6.2
259,SHOW,Full Frontal with Samantha Bee,['US'],2016,TV-MA,8.0,['comedy'],6.2
309,SHOW,15: A Quinceañera Story,['US'],2017,TV-PG,1.0,['documentation'],6.2
542,SHOW,"What Happened, Brittany Murphy?",['US'],2021,TV-MA,1.0,"['documentation', 'crime']",6.158
121,SHOW,Five Days,['GB'],2007,TV-MA,2.0,"['drama', 'crime', 'thriller']",6.143
368,SHOW,Leaving Neverland,['US'],2019,TV-MA,1.0,['documentation'],6.137
506,SHOW,García!,['ES'],2022,TV-MA,1.0,"['scifi', 'drama', 'thriller', 'action']",6.1
138,SHOW,Project Greenlight,['US'],2001,TV-MA,4.0,"['documentation', 'reality']",6.1
411,SHOW,Vote for Juan,['ES'],2019,TV-14,3.0,['comedy'],6.067
315,SHOW,The Teenage Psychic,['TW'],2017,Unknown,2.0,"['drama', 'romance', 'comedy', 'fantasy']",6.05
86,SHOW,Real Time with Bill Maher,['US'],2003,TV-MA,21.0,['comedy'],6.015
551,SHOW,Flordelis: A Family Crime,['BR'],2022,Unknown,1.0,['documentation'],6.0
550,SHOW,"Bilardo, the Soccer Doctor",['AR'],2022,TV-MA,1.0,['documentation'],6.0
264,SHOW,Halfworlds,['ID'],2015,Unknown,3.0,"['thriller', 'fantasy', 'horror']",6.0
436,SHOW,Adventure of the Ring,['TW'],2020,TV-14,1.0,"['drama', 'comedy', 'romance']",6.0
268,SHOW,Mamon,['CZ'],2015,TV-MA,1.0,"['crime', 'thriller', 'european']",6.0
61,SHOW,Hangin' with Mr. Cooper,['US'],1992,TV-PG,5.0,"['comedy', 'family', 'sport']",6.0
237,SHOW,Saving My Tomorrow,['US'],2014,TV-G,1.0,"['documentation', 'family']",6.0
317,SHOW,Ballmastrz: 9009,['US'],2018,TV-14,2.0,"['animation', 'action', 'comedy', 'scifi', 'sport']",6.0
393,SHOW,Dream Raider,['TW'],2020,TV-MA,1.0,"['thriller', 'crime', 'scifi']",6.0
200,SHOW,The Weight Of The Nation For Kids,['US'],2012,Unknown,1.0,['documentation'],6.0
534,SHOW,PAUSE with Sam Jay,['US'],2021,TV-MA,2.0,[],6.0
488,SHOW,Unveiled: Surviving La Luz del Mundo,['US'],2022,TV-MA,1.0,"['documentation', 'crime']",6.0
503,SHOW,I Don't Like Driving,['ES'],2022,Unknown,1.0,['comedy'],6.0
65,SHOW,Happily Ever After: Fairy Tales for Every Child,['US'],1995,TV-Y,3.0,"['animation', 'drama', 'horror', 'fantasy', 'thriller', 'comedy', 'family']",6.0
433,SHOW,El Pionero,['ES'],2019,Unknown,1.0,['documentation'],6.0
300,SHOW,2 Dope Queens,['US'],2018,TV-MA,2.0,['comedy'],5.9
589,SHOW,Bugs Bunny Builders,['US'],2022,TV-Y,1.0,"['animation', 'comedy', 'family']",5.9
302,SHOW,Room 104,['US'],2017,TV-MA,4.0,"['thriller', 'drama', 'fantasy', 'horror', 'scifi', 'comedy']",5.882
561,SHOW,Queen Stars Brazil,['BR'],2022,TV-14,1.0,['reality'],5.8
293,SHOW,4 Blocks,['DE'],2017,TV-PG,3.0,"['drama', 'crime', 'european']",5.748
295,SHOW,Grisse,['ID'],2018,Unknown,1.0,"['action', 'drama']",5.6
310,SHOW,Apple & Onion,['US'],2018,TV-Y7,3.0,"['animation', 'comedy', 'family', 'music']",5.6
545,SHOW,The Hype,['US'],2021,Unknown,2.0,['reality'],5.5
585,SHOW,Sweet Life: Los Angeles,['US'],2021,Unknown,2.0,['reality'],5.5
566,SHOW,Black and Missing,['US'],2021,TV-MA,1.0,"['documentation', 'crime']",5.5
529,SHOW,The Anarchists,['US'],2022,TV-MA,1.0,['documentation'],5.5
435,SHOW,Other Parents,['DE'],2019,Unknown,2.0,['comedy'],5.4
512,SHOW,One Perfect Shot,['US'],2022,TV-MA,1.0,['documentation'],5.4
476,SHOW,Oh Hell,['DE'],2022,TV-MA,1.0,"['drama', 'comedy']",5.4
228,SHOW,Black Jesus,['US'],2014,TV-MA,3.0,['comedy'],5.4
582,SHOW,How to Screw It All Up,['ES'],2022,TV-MA,1.0,['drama'],5.3
429,SHOW,Possessions,"['FR', 'IL']",2020,Unknown,1.0,['drama'],5.25
274,SHOW,Rachel Dratch's Late Night Snack,['US'],2016,Unknown,2.0,['comedy'],5.0
270,SHOW,Hack My Life,['US'],2015,TV-14,6.0,"['documentation', 'reality', 'comedy']",5.0
