,Type,Title,Country,Release Year,Rating,Seasons,Genres,Vote Average
453,SHOW,Peacemaker,['US'],2022,TV-MA,1.0,"['action', 'scifi', 'comedy', 'crime', 'fantasy', 'family']",8.343
18,SHOW,South Park,['US'],1997,TV-MA,26.0,"['comedy', 'animation']",8.34
388,SHOW,Prodigal Son,['US'],2019,TV-14,2.0,"['drama', 'crime', 'thriller']",8.319
156,SHOW,Ben 10: Alien Force,['US'],2008,TV-Y7,3.0,"['scifi', 'action', 'animation', 'comedy', 'drama', 'family']",8.318
413,SHOW,Joint Venture,['BR'],2019,TV-MA,2.0,"['drama', 'crime', 'comedy']",8.308
53,SHOW,From the Earth to the Moon,['US'],1998,TV-PG,1.0,"['action', 'drama', 'history', 'thriller']",8.3
347,SHOW,South Side,['US'],2019,TV-MA,3.0,['comedy'],8.3
41,SHOW,Living Single,['US'],1993,TV-14,5.0,['comedy'],8.3
103,SHOW,Teen Titans,['US'],2003,TV-Y7,5.0,"['action', 'animation', 'comedy', 'family', 'fantasy', 'scifi', 'thriller']",8.3
106,SHOW,Justice League Unlimited,['US'],2004,TV-Y7,3.0,"['action', 'animation', 'family', 'fantasy', 'scifi']",8.296
21,SHOW,The West Wing,['US'],1999,TV-14,7.0,['drama'],8.292
203,SHOW,True Detective,['US'],2014,TV-MA,4.0,"['drama', 'crime', 'thriller']",8.289
404,SHOW,Katy Keene,['US'],2020,TV-14,1.0,"['comedy', 'drama']",8.287
78,SHOW,Rome,['US'],2005,TV-MA,2.0,"['action', 'drama', 'romance', 'war', 'history', 'european']",8.28
151,SHOW,Chowder,['US'],2007,TV-Y7,4.0,"['animation', 'comedy', 'family', 'fantasy']",8.279
452,SHOW,Mare of Easttown,['US'],2021,TV-MA,1.0,"['crime', 'drama']",8.268
490,SHOW,"The Way Down: God, Greed, and the Cult of Gwen Shamblin",['US'],2021,TV-MA,2.0,['documentation'],8.25
154,SHOW,Capadocia,['MX'],2008,TV-MA,3.0,['drama'],8.244
513,SHOW,To Your Eternity,['JP'],2021,TV-MA,2.0,"['action', 'animation', 'drama', 'fantasy']",8.244
93,SHOW,Scooby-Doo! Mystery Incorporated,['US'],2010,TV-PG,4.0,"['animation', 'horror', 'drama', 'thriller', 'comedy', 'crime', 'action', 'family', 'fantasy']",8.218
362,SHOW,Tacoma FD,['US'],2019,TV-14,3.0,['comedy'],8.216
124,SHOW,Codename: Kids Next Door,['US'],2002,TV-Y7,6.0,"['animation', 'action', 'comedy', 'family', 'scifi']",8.204
189,SHOW,Ben 10: Omniverse,['US'],2012,TV-Y7,8.0,"['action', 'scifi', 'family', 'animation', 'comedy']",8.202
313,SHOW,The Shop: Uninterrupted,['US'],2018,TV-PG,5.0,"['comedy', 'documentation']",8.2
343,SHOW,Bob Hearts Abishola,['US'],2019,TV-PG,5.0,"['romance', 'comedy']",8.2
250,SHOW,Nuclear Family,['US'],2016,TV-MA,1.0,['documentation'],8.2
439,SHOW,Property Brothers: Forever Home,['US'],2019,TV-G,7.0,['reality'],8.2
591,SHOW,Las Bravas F.C.,['MX'],2022,TV-MA,1.0,"['comedy', 'action', 'sport']",8.2
153,SHOW,Ben 10: Ultimate Alien,['US'],2010,TV-Y7,3.0,"['scifi', 'family', 'animation', 'action']",8.2
280,SHOW,Succession,['US'],2018,TV-MA,4.0,"['drama', 'reality']",8.2
524,SHOW,Painting With John,['US'],2021,TV-MA,2.0,"['documentation', 'comedy', 'reality']",8.2
219,SHOW,Mr. Pickles,['US'],2014,TV-MA,4.0,"['animation', 'comedy', 'horror']",8.2
373,SHOW,How To with John Wilson,['US'],2020,TV-MA,2.0,"['documentation', 'comedy']",8.2
437,SHOW,Steven Universe Future,['US'],2019,TV-PG,1.0,"['fantasy', 'scifi', 'comedy', 'drama', 'family', 'action', 'animation']",8.181
32,SHOW,Courage the Cowardly Dog,['US'],1999,TV-Y7,4.0,"['scifi', 'comedy', 'horror', 'animation', 'family', 'fantasy']",8.169
36,SHOW,Batman Beyond,['US'],1999,TV-Y7,3.0,"['action', 'scifi', 'thriller', 'animation', 'crime', 'drama']",8.164
52,SHOW,"Harvey Birdman, Attorney at Law",['US'],2000,TV-14,4.0,"['action', 'crime', 'scifi', 'animation', 'comedy']",8.158
132,SHOW,Ben 10,['US'],2005,TV-Y7,4.0,"['comedy', 'scifi', 'action', 'family', 'animation']",8.144
171,SHOW,The Newsroom,['US'],2012,TV-MA,3.0,['drama'],8.131
403,SHOW,Valley of Tears,['IL'],2020,Unknown,1.0,['war'],8.13
208,SHOW,Silicon Valley,['US'],2014,TV-MA,6.0,['comedy'],8.129
68,SHOW,Fringe,['US'],2008,TV-14,5.0,"['scifi', 'drama', 'thriller']",8.107
35,SHOW,Space Ghost Coast to Coast,['US'],1994,TV-PG,12.0,"['comedy', 'animation', 'scifi', 'family']",8.106
464,SHOW,Superman & Lois,['US'],2021,TV-14,3.0,"['scifi', 'action', 'drama', 'romance']",8.103
27,SHOW,The Nanny,['US'],1993,TV-PG,6.0,"['comedy', 'family', 'romance']",8.1
279,SHOW,Young Sheldon,['US'],2017,TV-PG,6.0,['comedy'],8.1
271,SHOW,Impractical Jokers: Inside Jokes,['US'],2016,TV-14,1.0,"['reality', 'comedy']",8.1
76,SHOW,Deadwood,['US'],2004,TV-MA,3.0,"['western', 'drama', 'crime', 'history']",8.1
227,SHOW,Sr. Ávila,['MX'],2013,TV-MA,4.0,"['action', 'crime', 'drama', 'thriller']",8.1
82,SHOW,Six Feet Under,['US'],2001,TV-MA,5.0,"['drama', 'comedy']",8.1
209,SHOW,Nathan For You,['US'],2013,TV-14,4.0,"['documentation', 'comedy']",8.1
107,SHOW,Justice League,['US'],2001,TV-PG,2.0,"['action', 'scifi', 'thriller', 'family', 'fantasy', 'animation', 'romance', 'drama']",8.094
22,SHOW,Curb Your Enthusiasm,['US'],2000,TV-MA,11.0,['comedy'],8.09
214,SHOW,Gomorrah,['IT'],2014,TV-MA,5.0,"['drama', 'thriller', 'crime', 'european']",8.09
143,SHOW,The Marvelous Misadventures of Flapjack,['US'],2008,TV-Y7,3.0,"['scifi', 'comedy', 'horror', 'animation', 'family', 'fantasy']",8.086
456,SHOW,The Rehearsal,['US'],2022,TV-MA,1.0,"['comedy', 'documentation']",8.076
538,SHOW,The Crime of the Century,['US'],2021,TV-MA,1.0,"['crime', 'documentation']",8.067
30,SHOW,Oz,['US'],1997,TV-MA,6.0,"['drama', 'crime', 'thriller', 'scifi', 'animation']",8.063
54,SHOW,Static Shock,['US'],2000,TV-Y7,4.0,"['animation', 'action', 'family', 'scifi', 'crime', 'drama']",8.058
97,SHOW,The Boondocks,['US'],2005,TV-MA,4.0,"['animation', 'action', 'comedy', 'drama']",8.058
